peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K9me3_Rep1_S1	Naive_P14_Day30_H3K9me3_Rep2_S2	Naive_P14_Day30_H3K9me3_Rep3_S1	Naive_P14_Day30_H3K9me3_Rep4_S2	Naive_P14_Day32_H3K9me3_Rep1_S5	Naive_P14_Day32_H3K9me3_Rep2_S6	Naive_P14_Day32_H3K9me3_Rep3_S7	Naive_P14_Day32_H3K9me3_Rep4_S8	Arm_P14_Day30_H3K9me3_Rep1_S3	Arm_P14_Day30_H3K9me3_Rep2_S4	Arm_P14_Day30_H3K9me3_Rep3_S1	Arm_P14_Day30_H3K9me3_Rep4_S2	Cl13_P14_Day32_H3K9me3_Rep1_S5	Cl13_P14_Day32_H3K9me3_Rep2_S6	Cl13_P14_Day32_H3K9me3_Rep3_S7	Cl13_P14_Day32_H3K9me3_Rep4_S8
peak23	chr1	5077096	5082329	.	5234	75.16	56.97	66.89	67.78	57	70.04	75.66	68.28	78.42	64.58	69.74	73.72	86.05	66.66	68.9	63.33
peak24	chr1	5165084	5905407	.	740324	12014.72	11775.65	11807.42	12171.04	11869.24	12077.09	12302.91	11838.48	5528.73	5380.35	5585.4	5586.22	4093.06	4056.22	4628.51	4197.6
peak25	chr1	5919158	6132568	.	213411	2951.58	2917.88	2980	3002.52	3085.15	3020.59	2963.1	2966.65	1264.55	1200.03	1256.56	1308.44	823.14	858.89	999.12	860.55
peak26	chr1	6138480	6178690	.	40211	497.91	487.8	495.17	481.22	477.7	499.93	458.34	474.76	435	386.47	386.63	415.8	482.34	432.72	452.63	426.32
peak27	chr1	6252976	6254727	.	1752	11.96	16.91	19.58	12.71	13.57	13.13	16.52	6.43	11.03	18.75	11.01	21.88	13.59	10.93	17.82	20.35
peak28	chr1	6264648	6269558	.	4911	23.06	19.58	32.63	22.87	18.09	19.26	19.13	13.66	33.08	47.92	35.48	39.16	57.74	61.19	55.84	47.49
peak29	chr1	6291750	6303114	.	11365	106.76	90.79	96.26	106.75	111.28	112.07	99.15	85.95	45.34	57.29	53.84	50.68	50.95	45.89	67.72	52.02
peak30	chr1	6309908	6311990	.	2083	14.52	23.14	15.5	17.79	21.71	11.38	13.05	12.85	11.03	6.25	7.34	9.21	12.45	6.56	9.5	5.65
peak31	chr1	6331785	6341922	.	10138	112.73	132.63	120.73	108.44	119.43	99.81	119.15	106.84	69.84	63.54	73.41	72.56	75.86	62.29	68.9	70.11
peak32	chr1	6423360	6426093	.	2734	58.08	58.75	48.95	56.76	63.33	49.91	56.53	57.84	47.79	52.08	41.6	25.34	60.01	33.87	41.58	39.58
peak33	chr1	6430337	6437486	.	7150	95.65	92.57	89.73	113.53	100.43	97.18	114.8	96.4	136.01	133.34	126.02	134.76	133.6	169.37	122.37	136.83
peak34	chr1	6508749	6517239	.	8491	74.3	60.53	73.42	62.69	69.66	56.91	74.8	77.92	58.82	61.46	64.85	69.11	44.16	50.27	71.28	75.76
peak35	chr1	6532112	6541275	.	9164	75.16	82.78	69.34	79.64	82.33	53.41	63.49	74.71	47.79	37.5	45.27	46.07	41.89	40.43	46.33	44.1
peak36	chr1	6556328	6577828	.	21501	217.78	189.6	174.57	197.4	178.23	158.47	181.77	183.96	111.51	100	113.79	129	114.36	108.18	92.67	114.21
peak37	chr1	6580280	6584528	.	4249	33.31	12.46	30.18	29.65	25.33	24.51	29.57	23.3	6.13	12.5	12.24	8.06	10.19	10.93	7.13	6.78
peak38	chr1	6586995	6588924	.	1930	18.79	19.58	9.79	11.01	9.05	9.63	7.83	13.66	6.13	5.21	3.67	4.61	10.19	12.02	4.75	4.52
peak39	chr1	6607350	6612018	.	4669	29.89	30.26	22.84	26.26	28.05	16.64	30.44	29.72	7.35	5.21	9.79	6.91	10.19	4.37	11.88	12.44
peak40	chr1	6616404	6638056	.	21653	189.6	194.94	207.21	213.5	206.28	196.99	222.65	201.63	93.13	106.25	101.55	101.36	103.03	113.64	128.31	106.3
peak41	chr1	6641890	6711445	.	69556	622.6	650.69	614.27	645.58	588.98	577.85	609.67	605.7	232.81	263.55	248.38	292.56	235.51	232.75	258.99	246.52
peak42	chr1	6714434	6732665	.	18232	119.57	117.5	100.34	96.58	117.62	117.32	106.97	127.73	23.28	25	36.71	57.59	31.7	22.95	32.08	27.14
peak43	chr1	6737657	6742275	.	4619	40.14	38.28	46.5	25.42	27.14	34.15	26.09	24.1	9.8	5.21	8.56	10.37	9.06	7.65	9.5	10.18
peak44	chr1	6745638	6759858	.	14221	84.55	97.92	57.1	68.62	72.38	66.54	78.27	85.95	12.25	21.88	14.68	34.55	22.64	18.58	34.45	22.62
peak45	chr1	6766576	6771754	.	5179	39.29	26.7	31.81	28.81	32.57	35.02	24.35	31.33	6.13	4.17	13.46	9.21	7.93	4.37	14.26	12.44
peak46	chr1	6791699	6799670	.	7972	49.53	53.41	45.68	53.37	39.81	54.28	46.09	40.17	13.48	15.63	18.35	16.13	10.19	9.83	22.57	11.31
peak47	chr1	6812742	6822253	.	9512	69.18	66.76	66.89	90.65	67.86	60.41	67.84	62.66	12.25	19.79	19.58	16.13	12.45	25.13	28.51	10.18
peak48	chr1	6877728	6887507	.	9780	65.76	49.85	69.34	63.54	53.38	52.53	60.01	50.61	20.83	20.83	22.02	26.49	13.59	15.3	23.76	22.62
peak49	chr1	6895329	6926740	.	31412	308.31	282.17	293.68	307.54	275.04	294.18	308.75	272.32	175.22	170.84	138.26	170.47	152.85	149.7	123.55	130.04
peak50	chr1	6946281	6963854	.	17574	136.65	154.88	152.55	132.17	163.76	133.08	151.33	141.38	102.93	65.63	72.19	82.93	60.01	62.29	81.97	68.98
peak51	chr1	7040480	7043204	.	2725	34.16	21.36	16.32	16.1	28.95	12.26	20	16.87	12.25	14.58	12.24	12.67	11.32	17.48	20.2	15.83
peak52	chr1	7061459	7067869	.	6411	144.33	137.08	134.6	135.55	162.85	161.97	155.68	151.83	165.42	147.92	146.82	141.67	242.3	238.22	207.9	217.12
peak53	chr1	7080151	7085997	.	5847	61.49	75.66	67.71	77.1	68.76	63.91	64.36	68.28	69.84	66.67	56.28	59.89	71.33	81.95	73.66	65.59
peak54	chr1	7093419	7095295	.	1877	11.96	7.12	8.16	10.17	13.57	8.76	10.44	9.64	22.06	19.79	15.91	23.04	32.84	37.15	33.26	31.66
peak55	chr1	7125746	7127344	.	1599	7.69	13.35	9.79	11.86	8.14	9.63	15.65	8.84	9.8	14.58	14.68	9.21	13.59	29.5	27.32	13.57
peak56	chr1	7181655	7184547	.	2893	32.45	38.28	36.71	48.29	41.62	28.02	40.01	44.18	15.93	14.58	25.69	21.88	18.12	19.67	15.44	22.62
peak57	chr1	7190657	7196741	.	6085	85.4	61.42	79.95	61	74.19	87.55	73.93	72.3	111.51	86.46	78.31	82.93	66.8	84.14	81.97	84.81
peak58	chr1	7230717	7260672	.	29956	348.45	363.18	353.23	343.97	351.04	335.33	376.58	328.56	263.45	293.76	310.78	291.4	324.95	336.56	335.02	365.25
peak59	chr1	7262082	7265354	.	3273	17.93	25.81	26.1	20.33	30.76	21.89	23.48	18.48	7.35	8.33	14.68	6.91	12.45	3.28	7.13	4.52
peak60	chr1	7268391	7310230	.	41840	542.32	565.24	485.38	558.31	510.27	473.66	516.61	525.37	354.12	380.22	386.63	359.36	289.85	266.63	320.76	288.36
peak61	chr1	7312722	7374149	.	61428	775.47	802.91	754.59	775.2	752.74	754.71	750.56	735.04	447.25	463.55	455.15	467.63	395.15	416.33	400.36	376.56
peak62	chr1	7389182	7398447	.	9266	37.58	28.48	31	35.58	32.57	29.77	23.48	22.49	56.37	47.92	58.73	65.65	82.65	77.58	68.9	71.24
peak63	chr1	7433553	7438167	.	4615	50.39	55.19	39.16	49.14	39.81	33.27	40.88	42.58	33.08	36.46	26.92	33.4	32.84	26.23	30.89	32.79
peak64	chr1	7453174	7456525	.	3352	22.21	36.5	31	26.26	39.81	42.03	31.31	38.56	14.7	21.88	23.25	34.55	20.38	9.83	13.07	14.7
peak65	chr1	7472245	7488272	.	16028	164.83	170.02	162.34	159.28	151.09	161.1	151.33	152.63	165.42	143.75	141.93	147.43	158.51	163.91	136.62	153.79
peak66	chr1	7494986	7501743	.	6758	52.95	48.96	35.89	43.21	43.43	28.89	30.44	44.99	30.63	25	19.58	26.49	28.31	22.95	26.14	22.62
peak67	chr1	7506959	7516780	.	9822	68.32	56.08	63.63	67.78	52.47	56.03	45.22	49	33.08	31.25	36.71	25.34	21.51	29.5	28.51	24.88
peak68	chr1	7521429	7523857	.	2429	19.64	19.58	18.76	26.26	16.29	15.76	21.74	13.66	7.35	6.25	12.24	9.21	5.66	4.37	10.69	7.92
peak69	chr1	7527097	7542302	.	15206	129.81	128.18	107.68	104.21	106.76	101.56	101.76	131.74	67.39	60.42	83.2	72.56	65.67	63.38	58.21	78.03
peak70	chr1	7547048	9295580	.	1748533	31799.55	31923.05	32032.75	32230.48	33305.16	32617.08	32615.85	33359.35	17953.67	17766.08	18289.29	18359.67	15842.37	16361.45	17076.53	16246.49
peak71	chr1	9303804	9458332	.	154529	1826.8	1771.38	1820.79	1768.98	1757.9	1700.28	1722.03	1782.56	960.67	896.9	1026.54	1008.98	720.11	713.55	800.72	693.19
peak72	chr1	9474068	9480385	.	6318	35.87	26.7	31.81	19.49	25.33	26.27	34.79	30.53	12.25	14.58	15.91	10.37	16.98	13.11	21.38	12.44
peak73	chr1	9483526	9490871	.	7346	60.64	66.76	67.71	65.24	74.19	56.91	69.58	74.71	33.08	45.83	39.15	35.71	41.89	50.27	51.08	55.41
peak74	chr1	9734518	9736313	.	1796	23.06	18.69	22.84	19.49	20.81	24.51	20.87	16.87	18.38	11.46	22.02	27.64	20.38	26.23	19.01	23.75
peak75	chr1	10119131	10123360	.	4230	38.43	38.28	46.5	48.29	35.28	35.9	35.66	40.97	28.18	28.13	36.71	25.34	38.5	34.97	28.51	30.53
peak77	chr1	10196965	10199451	.	2487	29.04	28.48	31.81	19.49	28.05	21.89	26.09	25.71	45.34	46.88	47.72	50.68	39.63	49.17	62.96	71.24
peak78	chr1	10250137	10253094	.	2958	41.85	43.62	40.79	38.12	29.86	35.9	32.18	26.51	28.18	17.71	30.59	27.64	40.76	27.32	32.08	28.27
peak79	chr1	10341132	10346531	.	5400	63.2	74.77	66.08	75.4	67.86	63.91	60.01	67.48	22.06	23.96	36.71	31.1	36.23	39.34	42.77	15.83
peak80	chr1	10356260	10368519	.	12260	117.86	93.46	111.76	93.19	93.19	104.19	100.89	96.4	67.39	54.17	68.52	71.41	58.88	65.56	66.53	55.41
peak81	chr1	10381573	10392768	.	11196	122.13	110.38	113.39	125.39	89.57	109.44	107.84	114.07	96.8	96.88	92.99	114.03	96.24	91.79	97.42	93.86
peak82	chr1	10419341	10427921	.	8581	98.22	96.13	89.73	108.44	93.19	111.19	91.32	91.58	80.87	87.5	94.21	94.45	86.05	110.37	97.42	80.29
peak83	chr1	10430817	10449901	.	19085	157.14	148.65	131.34	149.96	142.04	140.09	142.63	135.76	109.06	98.96	123.58	115.18	96.24	100.53	103.36	121
peak84	chr1	10460884	10472689	.	11806	105.05	100.59	99.52	106.75	105.85	108.57	122.63	96.4	115.18	112.5	119.91	126.7	113.22	113.64	109.3	106.3
peak85	chr1	10494606	10498088	.	3483	20.5	20.47	24.47	16.1	21.71	20.14	17.39	28.92	18.38	31.25	23.25	20.73	13.59	18.58	17.82	14.7
peak86	chr1	10510262	10549089	.	38828	339.91	343.59	361.39	363.45	326.61	333.58	332.23	343.02	307.56	279.17	297.32	317.9	240.04	244.77	263.74	211.46
peak87	chr1	10552168	10562863	.	10696	67.47	77.44	73.42	62.69	74.19	49.91	64.36	46.59	45.34	42.71	53.84	57.59	27.17	26.23	48.71	35.06
peak88	chr1	10572802	10575297	.	2496	21.35	18.69	19.58	20.33	19	14.01	19.13	18.48	17.15	6.25	13.46	11.52	10.19	6.56	10.69	7.92
peak89	chr1	10599489	10604173	.	4685	27.33	18.69	18.76	23.72	19	12.26	32.18	15.26	33.08	19.79	17.13	34.55	9.06	17.48	19.01	21.49
peak90	chr1	10609823	10612728	.	2906	14.52	10.68	8.16	11.86	14.48	21.89	18.26	19.28	13.48	16.67	14.68	17.28	10.19	12.02	13.07	3.39
peak91	chr1	10639206	10755318	.	116113	968.49	970.25	910.4	908.21	917.4	959.58	937.55	874.01	923.91	816.69	904.19	934.11	696.33	680.77	800.72	693.19
peak92	chr1	10758375	10766101	.	7727	52.95	56.08	37.53	44.06	41.62	43.78	42.62	55.43	57.59	53.13	70.96	66.8	50.95	50.27	51.08	54.28
peak93	chr1	10781096	10830613	.	49518	366.39	374.75	389.12	382.94	392.66	371.23	378.32	373.54	406.81	388.55	445.36	442.29	332.88	351.86	400.36	365.25
peak94	chr1	10837155	10850089	.	12935	88.82	107.71	95.44	82.18	75.09	92.81	90.45	90.77	75.97	62.5	58.73	97.9	70.2	66.66	98.61	70.11
peak95	chr1	10854127	10874987	.	20861	127.25	143.31	132.15	141.48	140.23	122.57	140.89	142.19	153.17	154.17	198.21	191.2	124.55	146.43	165.13	137.96
peak96	chr1	10876424	10940951	.	64528	519.26	550.11	491.09	465.12	506.65	466.66	483.56	473.96	631.05	559.39	614.21	596.63	560.46	566.03	616.58	512.26
peak97	chr1	10960998	10989598	.	28601	236.57	218.97	214.55	212.65	225.28	226.76	216.56	208.86	267.12	264.59	267.95	270.67	237.77	248.05	269.68	255.57
peak98	chr1	11000341	11008032	.	7692	32.45	26.7	24.47	23.72	24.43	35.02	37.4	24.1	42.89	35.42	64.85	35.71	50.95	49.17	42.77	42.97
peak99	chr1	11017833	11059725	.	41893	261.34	258.14	257.78	242.3	244.28	266.16	257.43	224.13	354.12	312.51	343.81	332.87	323.82	292.85	330.27	301.93
peak100	chr1	11066765	11087209	.	20445	153.73	137.97	146.02	128.78	144.76	139.21	122.63	129.33	147.04	145.84	151.72	158.95	148.32	137.68	178.2	177.54
peak101	chr1	11090482	11104498	.	14017	46.97	54.3	55.47	55.07	66.05	48.15	56.53	58.64	50.24	67.71	64.85	73.72	58.88	44.8	74.84	58.8
peak102	chr1	11108592	11138494	.	29903	152.02	135.3	151.73	145.72	125.76	117.32	125.24	120.5	187.48	171.88	190.87	194.65	208.33	179.21	217.41	168.49
peak103	chr1	11139757	11147224	.	7468	32.45	23.14	23.66	22.87	22.62	23.64	27.83	24.9	51.46	43.75	50.16	43.77	63.41	40.43	40.39	35.06
peak104	chr1	11151896	11228237	.	76342	443.25	368.52	399.73	390.56	424.32	353.72	367.02	409.69	498.71	484.39	504.09	504.49	465.35	468.78	578.56	491.91
peak105	chr1	11228987	11247734	.	18748	142.63	114.83	106.05	132.17	117.62	115.57	115.67	122.1	145.82	108.34	133.36	139.37	140.4	142.05	171.07	139.09
peak106	chr1	11250995	11470099	.	219105	2154.76	2072.24	2053.29	2130.74	2077.27	2011.1	2102.96	2093.44	1830.66	1792.75	1892.8	1708.12	1588.54	1699.2	1784.4	1675.88
peak107	chr1	11470939	12644343	.	1173405	20431.34	20148.29	20233.49	20671.97	20507.66	20670.44	20791.28	20936.85	12059.79	12085.73	12461.63	12467.07	9925.26	10576.54	10770.55	10586.74
peak108	chr1	12645285	12689889	.	44605	676.4	696.09	659.14	699.8	669.5	687.29	688.81	694.07	468.08	471.89	472.28	480.3	332.88	356.23	340.96	346.03
peak109	chr1	12694015	12716729	.	22715	156.29	171.8	162.34	157.58	156.52	162.85	153.07	143.79	127.44	143.75	126.02	140.52	72.46	77.58	78.41	78.03
peak110	chr1	12720282	12818072	.	97791	840.38	851.86	850.85	840.43	819.69	904.42	884.49	857.94	748.68	841.69	834.45	855.79	400.81	399.94	462.14	384.48
peak111	chr1	12896775	12900893	.	4119	46.12	42.73	39.97	40.67	47.95	42.03	46.96	44.99	24.51	29.17	31.81	26.49	19.25	25.13	21.38	20.35
peak112	chr1	13138514	13139798	.	1285	10.25	9.79	3.26	14.4	12.67	8.76	6.09	7.23	14.7	17.71	24.47	12.67	18.12	22.95	29.7	21.49
peak114	chr1	13207483	13213875	.	6393	59.78	58.75	56.29	49.14	62.43	51.66	55.66	54.63	64.94	70.84	67.29	63.35	81.52	73.21	85.54	87.07
peak115	chr1	13336951	13340337	.	3387	24.77	10.68	17.95	11.86	17.19	24.51	12.18	18.48	29.41	29.17	22.02	33.4	48.69	44.8	38.02	35.06
peak116	chr1	13456987	13463094	.	6108	70.89	86.34	83.21	92.35	108.57	100.69	87.84	98	49.01	41.67	48.94	55.29	79.26	73.21	64.15	54.28
peak117	chr1	13470071	13478178	.	8108	125.54	97.03	126.44	120.3	125.76	139.21	121.76	126.92	72.3	77.09	88.09	90.99	79.26	95.07	79.6	89.33
peak118	chr1	13508176	13510315	.	2140	23.91	25.81	21.21	14.4	22.62	18.39	21.74	19.28	28.18	21.88	29.36	14.97	38.5	32.78	26.14	24.88
peak119	chr1	13514253	13516205	.	1953	15.37	27.59	16.32	22.03	16.29	17.51	16.52	20.89	13.48	14.58	11.01	12.67	13.59	24.04	20.2	12.44
peak120	chr1	13547394	13559501	.	12108	228.88	196.72	172.13	165.21	187.28	181.24	205.25	175.12	194.83	219.8	210.45	217.69	226.45	229.47	234.04	244.26
peak121	chr1	13604736	13606195	.	1460	11.96	16.02	16.32	17.79	18.09	23.64	15.65	16.87	22.06	15.63	12.24	17.28	22.64	24.04	22.57	24.88
peak122	chr1	13616147	13620838	.	4692	119.57	107.71	117.47	119.46	125.76	98.06	113.06	114.87	161.74	152.09	155.39	139.37	153.99	152.98	141.37	150.4
peak124	chr1	13644782	13646139	.	1358	8.54	8.9	6.53	9.32	5.43	6.13	6.09	4.82	7.35	6.25	6.12	3.46	19.25	17.48	20.2	26.01
peak125	chr1	13686398	13688049	.	1652	18.79	16.91	20.39	29.65	20.81	17.51	21.74	30.53	19.61	18.75	20.8	16.13	26.04	16.39	22.57	23.75
peak126	chr1	13719637	13727705	.	8069	53.8	48.07	56.29	54.22	49.76	55.16	53.05	51.41	62.49	58.33	58.73	58.74	66.8	42.62	54.65	50.89
peak127	chr1	13731252	13736876	.	5625	57.22	66.76	75.87	63.54	58.81	65.66	66.97	59.45	49.01	81.25	80.75	55.29	66.8	77.58	68.9	65.59
peak128	chr1	13760068	13769476	.	9409	136.65	133.52	135.42	133.01	104.95	100.69	126.98	107.64	94.35	77.09	89.32	86.38	86.05	90.7	96.23	93.86
peak129	chr1	13791358	13793904	.	2547	25.62	18.69	31	22.87	28.05	17.51	24.35	20.89	8.58	6.25	8.56	8.06	13.59	9.83	14.26	11.31
peak130	chr1	13810017	13822470	.	12454	107.61	118.39	109.31	107.6	119.43	101.56	114.8	118.89	105.38	101.04	107.67	100.21	100.77	97.25	95.04	88.2
peak131	chr1	13884854	13888699	.	3846	36.72	28.48	28.55	25.42	38	34.15	31.31	28.92	12.25	17.71	20.8	16.13	24.91	17.48	17.82	18.09
peak132	chr1	13891483	13899085	.	7603	83.7	92.57	87.29	90.65	96.81	87.55	94.8	82.74	91.9	85.42	81.98	76.02	95.11	88.51	79.6	85.94
peak133	chr1	13906638	13909100	.	2463	23.06	26.7	21.21	23.72	25.33	26.27	21.74	24.9	24.51	13.54	23.25	25.34	19.25	25.13	15.44	19.22
peak134	chr1	13948877	13952800	.	3924	18.79	34.72	15.5	16.94	16.29	23.64	23.48	13.66	19.61	13.54	18.35	25.34	15.85	16.39	9.5	14.7
peak135	chr1	13958138	13967595	.	9458	59.78	57.86	49.76	61	59.71	58.66	55.66	55.43	63.72	59.38	46.49	72.56	49.82	52.45	61.78	21.49
peak136	chr1	13976150	13979745	.	3596	18.79	12.46	12.24	13.56	13.57	6.13	18.26	16.87	25.73	12.5	23.25	11.52	18.12	16.39	8.32	9.05
peak137	chr1	14028654	14035700	.	7047	58.93	47.18	67.71	61	75.09	56.91	67.84	55.43	50.24	67.71	46.49	54.13	44.16	42.62	38.02	50.89
peak138	chr1	14056157	14059812	.	3656	11.1	19.58	16.32	25.42	25.33	29.77	23.48	20.89	12.25	9.38	12.24	17.28	9.06	6.56	10.69	7.92
peak139	chr1	14062052	14069484	.	7433	46.97	50.74	54.66	45.75	37.09	55.16	42.62	42.58	34.31	40.63	40.38	43.77	21.51	21.85	32.08	24.88
peak140	chr1	14075245	14094577	.	19333	178.5	190.49	181.1	189.78	179.14	155.84	166.98	179.14	167.87	180.21	160.28	178.53	127.94	145.33	146.13	167.36
peak141	chr1	14101426	14108206	.	6781	41.85	35.61	35.08	39.82	38.9	34.15	36.53	36.95	30.63	31.25	39.15	28.79	37.36	31.69	38.02	30.53
peak142	chr1	14110877	14119954	.	9078	99.92	104.15	89.73	110.14	76.9	106.81	106.1	92.38	128.66	100	111.34	104.81	113.22	108.18	130.68	94.99
peak143	chr1	14127783	14132190	.	4408	23.06	15.13	22.03	21.18	16.29	21.01	14.79	16.87	13.48	11.46	19.58	18.43	10.19	7.65	9.5	6.78
peak144	chr1	14332699	14340788	.	8090	70.03	82.78	70.16	64.39	80.52	58.66	55.66	67.48	40.44	42.71	31.81	34.55	33.97	26.23	28.51	38.45
peak145	chr1	14365167	14367278	.	2112	26.48	17.8	15.5	23.72	16.29	14.88	19.13	20.89	15.93	10.42	14.68	23.04	27.17	22.95	17.82	10.18
peak146	chr1	14373451	14380695	.	7245	89.67	71.21	66.89	64.39	72.38	69.17	53.05	66.68	37.99	41.67	33.04	50.68	45.29	41.52	46.33	23.75
peak147	chr1	14384659	14404127	.	19469	108.46	139.75	115.02	122.85	127.57	91.06	93.93	114.07	98.03	92.71	81.98	89.84	84.92	85.23	100.98	81.42
peak148	chr1	14441902	14454677	.	12776	129.81	139.75	127.26	155.89	122.14	133.08	115.67	130.14	122.53	130.21	107.67	135.91	99.64	111.46	102.17	100.64
peak149	chr1	14475412	14483944	.	8533	70.89	79.22	77.5	78.79	78.71	76.17	65.23	82.74	68.62	72.92	74.64	76.02	76.99	62.29	73.66	81.42
peak150	chr1	14534115	14538463	.	4349	46.97	38.28	41.6	40.67	47.05	46.4	32.18	36.15	25.73	21.88	22.02	28.79	27.17	28.41	39.2	26.01
peak151	chr1	14605769	14608777	.	3009	23.06	21.36	20.39	17.79	16.29	24.51	13.05	13.66	14.7	16.67	19.58	13.82	9.06	14.21	14.26	9.05
peak153	chr1	14716689	14723844	.	7156	100.78	104.15	94.63	84.72	76	90.18	72.19	85.95	31.86	28.13	47.72	35.71	41.89	42.62	48.71	33.92
peak155	chr1	14804255	14808511	.	4257	32.45	44.51	35.08	38.97	37.09	34.15	37.4	24.9	20.83	13.54	14.68	24.19	13.59	19.67	20.2	20.35
peak156	chr1	14936898	14944578	.	7681	42.7	44.51	31	45.75	45.24	34.15	51.31	42.58	20.83	18.75	20.8	19.58	22.64	24.04	28.51	21.49
peak157	chr1	14956513	14978255	.	21743	210.1	215.41	213.73	204.18	205.38	207.5	211.34	208.06	149.49	150	119.91	173.92	148.32	156.26	156.82	163.97
peak158	chr1	14984062	14994561	.	10500	95.65	115.72	106.87	133.86	97.71	87.55	105.23	101.22	99.25	105.21	118.68	100.21	104.17	111.46	95.04	91.6
