peakN	Chr	Start	End	Strand	Length	Arm_P14_Day30_H3K9me3_Rep1_S3	Arm_P14_Day30_H3K9me3_Rep2_S4	Arm_P14_Day30_H3K9me3_Rep3_S1	Arm_P14_Day30_H3K9me3_Rep4_S2
peak176	chr1	16030668	16043420	.	12753	89.45	115.63	90.54	111.72
peak178	chr1	16139826	16143250	.	3425	18.38	26.04	28.14	27.64
peak179	chr1	16163801	16169672	.	5872	67.39	61.46	75.86	66.8
peak180	chr1	16314687	16324285	.	9599	36.76	27.08	39.15	33.4
peak181	chr1	16342330	16351908	.	9579	30.63	19.79	26.92	24.19
peak182	chr1	16379468	16383007	.	3540	24.51	20.83	22.02	18.43
peak184	chr1	16422804	16428058	.	5255	44.11	32.29	45.27	31.1
peak185	chr1	16448532	16458128	.	9597	75.97	93.75	78.31	97.9
peak186	chr1	16472076	16480318	.	8243	51.46	40.63	55.06	51.83
peak187	chr1	16524262	16529656	.	5395	29.41	35.42	30.59	25.34
peak188	chr1	16553175	16557002	.	3828	26.96	17.71	28.14	21.88
peak189	chr1	16619091	16625776	.	6686	30.63	39.58	25.69	42.62
peak190	chr1	16630355	16632701	.	2347	33.08	21.88	31.81	29.95
peak193	chr1	16689131	16692000	.	2870	22.06	28.13	13.46	14.97
peak194	chr1	16711166	16713933	.	2768	34.31	22.92	34.26	36.86
peak195	chr1	16728386	16734130	.	5745	28.18	46.88	42.82	43.77
peak196	chr1	16738350	16746339	.	7990	138.46	156.25	124.8	118.64
peak197	chr1	16772897	16777733	.	4837	35.53	22.92	26.92	34.55
peak198	chr1	16802023	16807668	.	5646	25.73	26.04	15.91	28.79
peak199	chr1	16824439	16852392	.	27954	109.06	127.09	132.14	125.55
peak200	chr1	16856547	16928718	.	72172	390.88	353.13	356.05	359.36
peak201	chr1	16929635	17037669	.	108035	568.56	537.51	586.07	566.68
peak202	chr1	17038959	17068966	.	30008	140.91	150	173.74	147.43
peak203	chr1	17071986	17083045	.	11060	89.45	108.34	96.66	69.11
peak204	chr1	17086549	17089792	.	3244	19.61	10.42	14.68	19.58
peak205	chr1	17109058	17115045	.	5988	33.08	23.96	29.36	31.1
peak206	chr1	17131786	17150069	.	18284	110.28	93.75	89.32	79.47
peak207	chr1	17168656	17627475	.	458820	4088.96	4006.35	4193.03	4189.09
peak208	chr1	17630927	18054016	.	423090	4451.66	4244.9	4486.68	4477.04
peak209	chr1	18061755	18356517	.	294763	2741.08	2712.57	2872.84	2783.9
peak210	chr1	18362304	19095811	.	733508	7235.63	7128.31	7388.88	7488.99
peak211	chr1	19111191	19195288	.	84098	648.2	613.56	590.96	649.61
peak212	chr1	19245880	20506898	.	1261019	12554.82	12382.61	12858.05	12746.95
peak213	chr1	20514685	20551573	.	36889	174	196.88	183.53	196.96
peak214	chr1	20557747	20565533	.	7787	35.53	28.13	14.68	25.34
peak215	chr1	20569953	20588952	.	19000	122.53	123.96	128.47	110.57
peak216	chr1	20591514	20602429	.	10916	46.56	27.08	44.05	50.68
peak217	chr1	20636154	20639763	.	3610	25.73	22.92	35.48	24.19
peak218	chr1	20643163	20649229	.	6067	77.2	69.79	75.86	64.5
peak219	chr1	20656207	20662627	.	6421	13.48	20.83	18.35	19.58
peak220	chr1	20699759	20712324	.	12566	88.22	100	91.76	92.14
peak221	chr1	20770362	20773801	.	3440	8.58	17.71	19.58	24.19
peak222	chr1	20851617	20854506	.	2890	15.93	23.96	28.14	25.34
peak223	chr1	20962985	20966383	.	3399	24.51	17.71	12.24	19.58
peak224	chr1	21016806	21021985	.	5180	50.24	52.08	52.61	46.07
peak226	chr1	21115286	21121727	.	6442	72.3	88.54	99.11	76.02
peak227	chr1	21128376	21138095	.	9720	63.72	53.13	41.6	51.83
peak228	chr1	21195687	21201798	.	6112	73.52	77.09	78.31	74.87
peak230	chr1	21336891	21339580	.	2690	8.58	8.33	11.01	10.37
peak231	chr1	21359006	21363676	.	4671	36.76	21.88	24.47	27.64
peak233	chr1	21514383	21519323	.	4941	35.53	19.79	17.13	24.19
peak234	chr1	21574645	21588516	.	13872	148.27	138.55	132.14	154.34
peak235	chr1	21622945	21628495	.	5551	40.44	26.04	22.02	24.19
peak236	chr1	21692511	21695724	.	3214	19.61	11.46	13.46	6.91
peak238	chr1	21784968	21790904	.	5937	20.83	9.38	14.68	16.13
peak239	chr1	21878030	21882939	.	4910	22.06	20.83	26.92	16.13
peak240	chr1	21994795	22006137	.	11343	167.87	152.09	118.68	150.89
peak241	chr1	22011886	22018652	.	6767	51.46	40.63	48.94	47.22
peak242	chr1	22054230	22067225	.	12996	94.35	103.13	92.99	96.75
peak243	chr1	22077141	22085100	.	7960	67.39	57.29	80.75	54.13
peak244	chr1	22087130	22101355	.	14226	95.58	89.59	97.88	96.75
peak245	chr1	22136352	22139626	.	3275	3.68	3.13	9.79	10.37
peak246	chr1	22143758	22165143	.	21386	209.53	204.17	221.46	210.78
peak247	chr1	22169382	22176738	.	7357	17.15	21.88	20.8	25.34
peak248	chr1	22180073	22189298	.	9226	17.15	16.67	24.47	19.58
peak249	chr1	22210804	22227255	.	16452	52.69	51.04	48.94	52.98
peak250	chr1	22230886	22236879	.	5994	88.22	89.59	89.32	84.08
peak251	chr1	22299706	22302731	.	3026	4.9	9.38	9.79	12.67
peak252	chr1	22318165	22330986	.	12822	62.49	63.54	58.73	58.74
peak253	chr1	22334265	22345797	.	11533	60.04	42.71	59.95	69.11
peak254	chr1	22348626	22357876	.	9251	41.66	31.25	44.05	46.07
peak255	chr1	22360356	22396265	.	35910	218.11	207.3	211.67	185.44
peak256	chr1	22397090	22433038	.	35949	247.52	225.01	216.56	232.66
peak257	chr1	22466627	22524296	.	57670	355.35	347.93	351.15	329.41
peak258	chr1	22539171	22606892	.	67722	335.74	297.92	337.69	328.26
peak259	chr1	22607979	22645953	.	37975	218.11	292.72	267.95	269.52
peak260	chr1	22646985	22785216	.	138232	942.29	933.36	995.95	947.93
peak261	chr1	22786677	22800784	.	14108	67.39	56.25	69.74	70.26
peak262	chr1	22809726	23188311	.	378586	2900.38	2837.57	2958.49	2960.12
peak263	chr1	23189743	23199247	.	9505	52.69	47.92	52.61	52.98
peak264	chr1	23201046	23226526	.	25481	140.91	129.17	149.27	127.85
peak265	chr1	23235316	23242024	.	6709	22.06	26.04	35.48	25.34
peak266	chr1	23247836	23252826	.	4991	22.06	22.92	18.35	19.58
peak267	chr1	23293748	23316535	.	22788	188.7	204.17	212.89	222.3
peak269	chr1	23403871	23408086	.	4216	18.38	17.71	23.25	18.43
peak270	chr1	23423575	23427046	.	3472	46.56	32.29	30.59	49.53
peak271	chr1	23434934	23441777	.	6844	49.01	52.08	66.07	55.29
peak272	chr1	23448136	23458862	.	10727	72.3	79.17	72.19	76.02
peak273	chr1	23464667	23473991	.	9325	42.89	59.38	57.51	48.38
peak274	chr1	23492614	23494805	.	2192	4.9	4.17	18.35	10.37
peak275	chr1	23501088	23504740	.	3653	19.61	23.96	18.35	21.88
peak276	chr1	23508997	23513179	.	4183	15.93	18.75	22.02	19.58
peak277	chr1	23518987	23555793	.	36807	237.72	271.88	252.05	293.71
peak278	chr1	23557180	23745909	.	188730	1546.38	1429.2	1476.8	1478.91
peak279	chr1	23778797	23788824	.	10028	74.75	79.17	74.64	61.05
peak280	chr1	23811432	23815722	.	4291	8.58	13.54	19.58	24.19
peak281	chr1	23885393	23891089	.	5697	63.72	82.29	86.87	69.11
peak282	chr1	23923697	23928463	.	4767	45.34	50	35.48	48.38
peak283	chr1	23936195	23941567	.	5373	56.37	61.46	55.06	59.89
peak284	chr1	23989647	23991176	.	1530	11.03	13.54	25.69	21.88
peak285	chr1	24075138	24081493	.	6356	78.42	70.84	79.53	74.87
peak286	chr1	24146174	24157922	.	11749	72.3	54.17	61.18	67.96
peak287	chr1	24159966	24167493	.	7528	15.93	13.54	30.59	21.88
peak288	chr1	24175886	24246891	.	71006	510.97	491.68	538.35	516.01
peak289	chr1	24250541	24571837	.	321297	3171.18	3163.62	3028.23	3219.28
peak291	chr1	24616389	24621448	.	5060	30.63	27.08	37.93	26.49
peak292	chr1	24638640	24661373	.	22734	144.59	117.71	155.39	142.82
peak293	chr1	24715383	24717367	.	1985	12.25	17.71	19.58	9.21
peak294	chr1	24721850	24728465	.	6616	74.75	94.79	70.96	69.11
peak295	chr1	24778323	25824060	.	1045738	13063.34	12594.07	12836.03	12874.8
peak296	chr1	25832758	25859293	.	26536	258.55	196.88	232.47	240.73
peak297	chr1	25859973	26686281	.	826309	9935.05	9760.67	9882.43	10049.44
peak298	chr1	26687877	30584978	.	3897102	45099.83	44400.1	45485.87	45714.88
peak299	chr1	30589234	30698553	.	109320	1073.4	1050.03	1070.59	1147.19
peak300	chr1	30702348	30754037	.	51690	466.85	455.22	500.42	451.5
peak301	chr1	30757042	30767258	.	10217	75.97	92.71	69.74	82.93
peak302	chr1	30853671	30859781	.	6111	51.46	64.58	72.19	73.72
peak303	chr1	30892403	30897597	.	5195	46.56	42.71	30.59	47.22
peak304	chr1	30918059	30923430	.	5372	61.27	44.79	52.61	47.22
peak305	chr1	30958913	30964585	.	5673	51.46	56.25	41.6	47.22
peak306	chr1	30966163	30974070	.	7908	28.18	35.42	55.06	44.92
peak307	chr1	30987387	30990844	.	3458	3.68	2.08	11.01	8.06
peak308	chr1	31002449	31010667	.	8219	52.69	46.88	63.62	64.5
peak309	chr1	31020164	31033458	.	13295	40.44	30.21	36.71	28.79
peak310	chr1	31034107	31041336	.	7230	39.21	33.33	40.38	21.88
peak311	chr1	31051655	31099090	.	47436	238.94	267.72	304.66	322.5
peak312	chr1	31099652	31115097	.	15446	79.65	66.67	67.29	77.17
peak313	chr1	31121110	31129485	.	8376	29.41	29.17	24.47	33.4
peak315	chr1	31163172	31172708	.	9537	47.79	36.46	53.84	51.83
peak316	chr1	31178964	31203023	.	24060	112.73	88.54	102.78	96.75
peak317	chr1	31216141	31459929	.	243789	2451.9	2422.98	2465.41	2447.57
peak318	chr1	31460601	32171262	.	710662	7160.88	6928.3	7168.65	7042.1
peak319	chr1	32176468	33188366	.	1011899	9990.19	9550.24	9953.4	10122
peak320	chr1	33190809	33197096	.	6288	41.66	41.67	51.39	34.55
peak321	chr1	33198787	33238358	.	39572	301.43	286.47	320.56	290.25
peak322	chr1	33239502	33242556	.	3055	19.61	21.88	17.13	17.28
peak323	chr1	33242962	33263684	.	20723	181.35	178.13	189.65	184.29
peak324	chr1	33272251	33281706	.	9456	75.97	69.79	62.4	65.65
peak325	chr1	33299760	33311861	.	12102	132.34	139.59	124.8	126.7
peak326	chr1	33317887	33323563	.	5677	14.7	16.67	17.13	19.58
peak327	chr1	33339375	33347262	.	7888	29.41	36.46	37.93	36.86
peak328	chr1	33405880	33418905	.	13026	118.86	136.46	127.25	122.09
peak329	chr1	33429781	33434515	.	4735	33.08	35.42	44.05	32.25
peak330	chr1	33439570	33445006	.	5437	37.99	34.38	23.25	35.71
peak331	chr1	33477533	33479905	.	2373	24.51	30.21	25.69	14.97
peak332	chr1	33536093	33540038	.	3946	33.08	43.75	30.59	31.1
peak333	chr1	33549277	33550869	.	1593	23.28	14.58	19.58	12.67
peak335	chr1	33597489	33599947	.	2459	18.38	17.71	18.35	13.82
peak336	chr1	33678668	33680891	.	2224	20.83	25	15.91	23.04
peak337	chr1	33823524	33831629	.	8106	37.99	36.46	30.59	33.4
peak339	chr1	34078473	34086009	.	7537	64.94	68.75	61.18	80.63
peak340	chr1	34340790	34344391	.	3602	18.38	17.71	19.58	24.19
peak341	chr1	34347882	34351204	.	3323	47.79	34.38	64.85	46.07
peak342	chr1	34418320	34433593	.	15274	207.08	185.42	227.58	188.89
peak343	chr1	34449712	34451492	.	1781	39.21	36.46	15.91	32.25
peak344	chr1	34547597	34550254	.	2658	24.51	20.83	29.36	28.79
peak345	chr1	34564978	34568266	.	3289	30.63	48.96	44.05	38.01
peak346	chr1	34602763	34605591	.	2829	24.51	27.08	22.02	21.88
peak347	chr1	34644939	34653703	.	8765	61.27	73.96	66.07	63.35
peak348	chr1	34734795	34738185	.	3391	15.93	29.17	30.59	28.79
peak349	chr1	34775885	34778060	.	2176	41.66	47.92	35.48	56.44
peak350	chr1	34867339	34875604	.	8266	24.51	28.13	25.69	42.62
peak351	chr1	34880607	34888593	.	7987	80.87	86.46	68.52	70.26
peak352	chr1	34913918	34920037	.	6120	84.55	83.34	84.42	81.78
peak353	chr1	34928120	34933037	.	4918	14.7	15.63	18.35	19.58
peak354	chr1	34944288	34952726	.	8439	34.31	50	51.39	54.13
peak355	chr1	34957263	34965106	.	7844	34.31	38.54	28.14	39.16
peak356	chr1	34974257	34983104	.	8848	71.07	64.58	51.39	66.8
peak357	chr1	34999960	35251729	.	251770	2205.61	2197.97	2225.6	2254.07
peak359	chr1	35256126	35330458	.	74333	594.29	583.35	609.32	597.78
peak360	chr1	35333870	35337422	.	3553	30.63	40.63	28.14	20.73
peak361	chr1	35356425	35360148	.	3724	20.83	22.92	15.91	31.1
peak363	chr1	35405664	35416062	.	10399	90.68	110.42	111.34	97.9
peak364	chr1	35430057	35432476	.	2420	26.96	41.67	22.02	18.43
peak365	chr1	35470390	35478321	.	7932	63.72	45.83	52.61	59.89
peak366	chr1	35485390	35494207	.	8818	51.46	63.54	72.19	48.38
peak367	chr1	35561700	35566802	.	5103	24.51	19.79	23.25	32.25
peak368	chr1	35599199	35601351	.	2153	6.13	5.21	7.34	10.37
peak369	chr1	35732395	35733955	.	1561	14.7	10.42	11.01	12.67
peak370	chr1	35788580	35795866	.	7287	126.21	116.67	116.24	140.52
peak371	chr1	35801067	35803365	.	2299	15.93	12.5	7.34	10.37
peak372	chr1	35867561	35872048	.	4488	17.15	27.08	19.58	18.43
peak373	chr1	35893509	35899417	.	5909	52.69	64.58	56.28	49.53
peak374	chr1	35906799	35908430	.	1632	17.15	5.21	15.91	18.43
peak375	chr1	35913050	35915539	.	2490	8.58	11.46	11.01	5.76
peak376	chr1	35950029	35951103	.	1075	3.68	1.04	6.12	8.06
peak377	chr1	35989303	35992332	.	3030	28.18	21.88	18.35	14.97
peak378	chr1	36000838	36002609	.	1772	0	4.17	3.67	2.3
peak380	chr1	36031440	36047691	.	16252	115.18	139.59	134.59	176.23
peak381	chr1	36253063	36258525	.	5463	18.38	8.33	12.24	13.82
peak383	chr1	36277112	36286715	.	9604	26.96	23.96	44.05	38.01
peak384	chr1	36748373	36751771	.	3399	15.93	32.29	14.68	25.34
peak386	chr1	36951363	36957389	.	6027	79.65	72.92	77.08	70.26
peak387	chr1	36972417	36975959	.	3543	22.06	30.21	15.91	27.64
peak388	chr1	37046590	37048684	.	2095	13.48	11.46	9.79	12.67
peak389	chr1	37146379	37149439	.	3061	12.25	6.25	12.24	6.91
peak390	chr1	37159381	37165143	.	5763	85.77	86.46	90.54	97.9
peak391	chr1	37208072	37209940	.	1869	6.13	9.38	4.89	9.21
peak392	chr1	37228108	37230485	.	2378	9.8	13.54	12.24	9.21
peak393	chr1	37257245	37258257	.	1013	14.7	11.46	15.91	5.76
