peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K9me3_Rep1_S1	Naive_P14_Day30_H3K9me3_Rep2_S2	Naive_P14_Day30_H3K9me3_Rep3_S1	Naive_P14_Day30_H3K9me3_Rep4_S2	Naive_P14_Day32_H3K9me3_Rep1_S5	Naive_P14_Day32_H3K9me3_Rep2_S6	Naive_P14_Day32_H3K9me3_Rep3_S7	Naive_P14_Day32_H3K9me3_Rep4_S8
peak110	chr1	12720282	12818072	.	97791	840.38	851.86	850.85	840.43	819.69	904.42	884.49	857.94
peak111	chr1	12896775	12900893	.	4119	46.12	42.73	39.97	40.67	47.95	42.03	46.96	44.99
peak112	chr1	13138514	13139798	.	1285	10.25	9.79	3.26	14.4	12.67	8.76	6.09	7.23
peak114	chr1	13207483	13213875	.	6393	59.78	58.75	56.29	49.14	62.43	51.66	55.66	54.63
peak115	chr1	13336951	13340337	.	3387	24.77	10.68	17.95	11.86	17.19	24.51	12.18	18.48
peak116	chr1	13456987	13463094	.	6108	70.89	86.34	83.21	92.35	108.57	100.69	87.84	98
peak117	chr1	13470071	13478178	.	8108	125.54	97.03	126.44	120.3	125.76	139.21	121.76	126.92
peak118	chr1	13508176	13510315	.	2140	23.91	25.81	21.21	14.4	22.62	18.39	21.74	19.28
peak119	chr1	13514253	13516205	.	1953	15.37	27.59	16.32	22.03	16.29	17.51	16.52	20.89
peak120	chr1	13547394	13559501	.	12108	228.88	196.72	172.13	165.21	187.28	181.24	205.25	175.12
peak121	chr1	13604736	13606195	.	1460	11.96	16.02	16.32	17.79	18.09	23.64	15.65	16.87
peak122	chr1	13616147	13620838	.	4692	119.57	107.71	117.47	119.46	125.76	98.06	113.06	114.87
peak124	chr1	13644782	13646139	.	1358	8.54	8.9	6.53	9.32	5.43	6.13	6.09	4.82
peak125	chr1	13686398	13688049	.	1652	18.79	16.91	20.39	29.65	20.81	17.51	21.74	30.53
peak126	chr1	13719637	13727705	.	8069	53.8	48.07	56.29	54.22	49.76	55.16	53.05	51.41
peak127	chr1	13731252	13736876	.	5625	57.22	66.76	75.87	63.54	58.81	65.66	66.97	59.45
peak128	chr1	13760068	13769476	.	9409	136.65	133.52	135.42	133.01	104.95	100.69	126.98	107.64
peak129	chr1	13791358	13793904	.	2547	25.62	18.69	31	22.87	28.05	17.51	24.35	20.89
peak130	chr1	13810017	13822470	.	12454	107.61	118.39	109.31	107.6	119.43	101.56	114.8	118.89
peak131	chr1	13884854	13888699	.	3846	36.72	28.48	28.55	25.42	38	34.15	31.31	28.92
peak132	chr1	13891483	13899085	.	7603	83.7	92.57	87.29	90.65	96.81	87.55	94.8	82.74
peak133	chr1	13906638	13909100	.	2463	23.06	26.7	21.21	23.72	25.33	26.27	21.74	24.9
peak134	chr1	13948877	13952800	.	3924	18.79	34.72	15.5	16.94	16.29	23.64	23.48	13.66
peak135	chr1	13958138	13967595	.	9458	59.78	57.86	49.76	61	59.71	58.66	55.66	55.43
peak136	chr1	13976150	13979745	.	3596	18.79	12.46	12.24	13.56	13.57	6.13	18.26	16.87
peak137	chr1	14028654	14035700	.	7047	58.93	47.18	67.71	61	75.09	56.91	67.84	55.43
peak138	chr1	14056157	14059812	.	3656	11.1	19.58	16.32	25.42	25.33	29.77	23.48	20.89
peak139	chr1	14062052	14069484	.	7433	46.97	50.74	54.66	45.75	37.09	55.16	42.62	42.58
peak140	chr1	14075245	14094577	.	19333	178.5	190.49	181.1	189.78	179.14	155.84	166.98	179.14
peak141	chr1	14101426	14108206	.	6781	41.85	35.61	35.08	39.82	38.9	34.15	36.53	36.95
peak142	chr1	14110877	14119954	.	9078	99.92	104.15	89.73	110.14	76.9	106.81	106.1	92.38
peak143	chr1	14127783	14132190	.	4408	23.06	15.13	22.03	21.18	16.29	21.01	14.79	16.87
peak144	chr1	14332699	14340788	.	8090	70.03	82.78	70.16	64.39	80.52	58.66	55.66	67.48
peak145	chr1	14365167	14367278	.	2112	26.48	17.8	15.5	23.72	16.29	14.88	19.13	20.89
peak146	chr1	14373451	14380695	.	7245	89.67	71.21	66.89	64.39	72.38	69.17	53.05	66.68
peak147	chr1	14384659	14404127	.	19469	108.46	139.75	115.02	122.85	127.57	91.06	93.93	114.07
peak148	chr1	14441902	14454677	.	12776	129.81	139.75	127.26	155.89	122.14	133.08	115.67	130.14
peak149	chr1	14475412	14483944	.	8533	70.89	79.22	77.5	78.79	78.71	76.17	65.23	82.74
peak150	chr1	14534115	14538463	.	4349	46.97	38.28	41.6	40.67	47.05	46.4	32.18	36.15
peak151	chr1	14605769	14608777	.	3009	23.06	21.36	20.39	17.79	16.29	24.51	13.05	13.66
peak153	chr1	14716689	14723844	.	7156	100.78	104.15	94.63	84.72	76	90.18	72.19	85.95
peak155	chr1	14804255	14808511	.	4257	32.45	44.51	35.08	38.97	37.09	34.15	37.4	24.9
peak156	chr1	14936898	14944578	.	7681	42.7	44.51	31	45.75	45.24	34.15	51.31	42.58
peak157	chr1	14956513	14978255	.	21743	210.1	215.41	213.73	204.18	205.38	207.5	211.34	208.06
peak158	chr1	14984062	14994561	.	10500	95.65	115.72	106.87	133.86	97.71	87.55	105.23	101.22
peak159	chr1	15019595	15026282	.	6688	86.26	104.15	81.58	97.43	90.47	87.55	97.41	89.97
peak160	chr1	15029996	15283345	.	253350	3062.61	3029.14	3077.08	2977.95	2931.35	3013.58	3014.41	2958.62
peak161	chr1	15290710	15620430	.	329721	3850.89	3873.88	3803.11	3826.86	3676.85	3783.18	3804.11	3756.31
peak162	chr1	15638334	15644040	.	5707	46.97	53.41	55.47	45.75	40.71	46.4	45.22	50.61
peak163	chr1	15657934	15664631	.	6698	53.8	51.63	39.97	43.21	44.33	44.65	45.22	39.36
peak164	chr1	15668303	15670877	.	2575	23.06	24.92	16.32	25.42	19.9	18.39	23.48	16.07
peak165	chr1	15684497	15689530	.	5034	33.31	25.81	21.21	25.42	14.48	21.01	24.35	24.9
peak166	chr1	15690092	15698089	.	7998	42.7	49.85	49.76	43.21	55.19	61.29	60.88	41.77
peak167	chr1	15699766	15705002	.	5237	33.31	38.28	31.81	38.97	31.67	31.52	28.7	34.54
peak168	chr1	15707682	15712697	.	5016	32.45	34.72	29.37	19.49	23.52	32.39	26.96	25.71
peak169	chr1	15726941	15747519	.	20579	219.49	240.34	247.18	243.15	263.28	240.77	269.61	244.21
peak170	chr1	15759826	15767286	.	7461	80.28	76.55	86.47	94.04	82.33	76.17	87.84	80.33
peak171	chr1	15860986	15871032	.	10047	147.75	113.05	124	128.78	114.9	113.82	120.89	124.51
peak173	chr1	15928306	15934104	.	5799	73.45	87.23	76.68	71.17	93.19	83.18	77.4	60.25
peak174	chr1	15947429	15959283	.	11855	121.27	118.39	121.55	117.76	124.85	138.33	114.8	116.48
peak175	chr1	15963698	15972822	.	9125	97.36	89.01	101.97	120.3	95	106.81	126.98	100.41
peak176	chr1	16030668	16043420	.	12753	159.71	125.51	148.47	144.87	168.28	139.21	126.11	165.48
peak178	chr1	16139826	16143250	.	3425	21.35	32.04	17.13	32.19	30.76	25.39	31.31	27.31
peak179	chr1	16163801	16169672	.	5872	74.3	72.99	69.34	71.17	71.47	76.17	65.23	66.68
peak180	chr1	16314687	16324285	.	9599	65.76	68.54	60.37	61	52.47	76.17	63.49	45.79
peak181	chr1	16342330	16351908	.	9579	76.01	67.65	74.23	91.5	90.47	95.43	85.23	81.14
peak182	chr1	16379468	16383007	.	3540	29.04	41.84	34.26	31.35	26.24	26.27	25.22	37.76
peak184	chr1	16422804	16428058	.	5255	51.24	58.75	57.92	66.08	52.47	50.78	56.53	53.82
peak185	chr1	16448532	16458128	.	9597	99.07	110.38	108.5	133.86	101.33	103.31	119.15	113.27
peak186	chr1	16472076	16480318	.	8243	76.86	80.11	100.34	89.8	75.09	74.42	57.4	69.89
peak187	chr1	16524262	16529656	.	5395	23.06	30.26	39.97	37.28	40.71	31.52	26.96	30.53
peak188	chr1	16553175	16557002	.	3828	33.31	38.28	25.29	35.58	27.14	30.64	35.66	25.71
peak189	chr1	16619091	16625776	.	6686	27.33	33.83	34.26	33.04	31.67	22.76	25.22	24.1
peak190	chr1	16630355	16632701	.	2347	11.96	24.03	16.32	21.18	27.14	12.26	27.83	24.1
peak193	chr1	16689131	16692000	.	2870	5.98	2.67	7.34	4.24	8.14	3.5	5.22	7.23
peak194	chr1	16711166	16713933	.	2768	25.62	27.59	21.21	22.87	29.86	25.39	29.57	37.76
peak195	chr1	16728386	16734130	.	5745	52.1	55.19	50.58	56.76	52.47	43.78	50.44	48.2
peak196	chr1	16738350	16746339	.	7990	100.78	99.7	104.42	97.43	104.04	95.43	107.84	117.28
peak197	chr1	16772897	16777733	.	4837	62.35	42.73	54.66	48.29	69.66	52.53	60.01	58.64
peak198	chr1	16802023	16807668	.	5646	35.87	48.07	36.71	31.35	30.76	38.52	39.14	37.76
peak199	chr1	16824439	16852392	.	27954	245.97	294.64	238.2	240.61	248.8	236.39	226.12	244.21
peak200	chr1	16856547	16928718	.	72172	744.73	727.24	703.19	766.73	694.84	710.93	768.82	670.77
peak201	chr1	16929635	17037669	.	108035	908.7	893.7	903.87	930.24	877.59	859.77	887.1	890.88
peak202	chr1	17038959	17068966	.	30008	251.94	258.14	274.91	226.21	261.47	243.4	240.04	233.77
peak203	chr1	17071986	17083045	.	11060	124.69	128.18	146.02	132.17	105.85	132.21	113.93	125.32
peak204	chr1	17086549	17089792	.	3244	28.18	24.03	17.13	15.25	19	26.27	26.96	17.67
peak205	chr1	17109058	17115045	.	5988	76.01	64.09	44.05	61	44.33	58.66	42.62	62.66
peak206	chr1	17131786	17150069	.	18284	161.41	143.31	153.36	131.32	131.19	125.2	154.81	157.45
peak207	chr1	17168656	17627475	.	458820	7025.38	6926.17	6873.66	6946.29	6953.8	6885.19	6882.88	6967.97
peak208	chr1	17630927	18054016	.	423090	6902.4	6831.82	6789.64	6789.56	6747.52	6782.75	6838.53	6899.69
peak209	chr1	18061755	18356517	.	294763	5358.28	5299.89	5273.94	5250.17	5388.61	5454.57	5507.87	5357.32
peak210	chr1	18362304	19095811	.	733508	13265.9	13083.26	13163.23	13345.28	13590.95	13753.74	13717.06	13632.29
peak211	chr1	19111191	19195288	.	84098	1073.54	1052.14	1050.71	1014.96	1082.97	1121.56	1062.79	1061.99
peak212	chr1	19245880	20506898	.	1261019	21578.33	21540.47	21508.53	21791.98	22422.99	22426.76	22516.78	22511.35
peak213	chr1	20514685	20551573	.	36889	380.05	319.56	353.23	350.75	373.66	334.45	342.67	351.85
peak214	chr1	20557747	20565533	.	7787	46.12	44.51	35.89	28.81	35.28	27.14	45.22	49
peak215	chr1	20569953	20588952	.	19000	170.81	153.1	184.36	161.82	191.8	145.34	166.11	142.19
peak216	chr1	20591514	20602429	.	10916	81.13	93.46	79.95	89.8	81.43	84.93	83.49	87.56
peak217	chr1	20636154	20639763	.	3610	31.6	39.17	38.34	29.65	25.33	20.14	39.14	24.1
peak218	chr1	20643163	20649229	.	6067	68.32	71.21	81.58	74.55	93.19	63.04	76.53	85.15
peak219	chr1	20656207	20662627	.	6421	54.66	50.74	43.24	38.97	45.24	41.15	44.36	43.38
peak220	chr1	20699759	20712324	.	12566	118.71	118.39	119.92	93.19	95	98.06	107.84	111.66
peak221	chr1	20770362	20773801	.	3440	15.37	21.36	21.21	17.79	21.71	14.88	20.87	21.69
peak222	chr1	20851617	20854506	.	2890	39.29	42.73	31	46.6	42.52	35.02	41.75	49
peak223	chr1	20962985	20966383	.	3399	23.91	25.81	18.76	27.96	16.29	24.51	25.22	31.33
peak224	chr1	21016806	21021985	.	5180	52.1	50.74	57.92	54.22	48.86	56.91	58.27	57.84
peak226	chr1	21115286	21121727	.	6442	52.1	85.45	70.97	70.32	69.66	76.17	86.1	71.5
peak227	chr1	21128376	21138095	.	9720	98.22	113.05	97.89	82.18	95	89.3	86.97	91.58
peak228	chr1	21195687	21201798	.	6112	81.99	80.11	84.02	77.94	75.09	64.79	79.14	77.92
peak230	chr1	21336891	21339580	.	2690	31.6	28.48	31	26.26	27.14	30.64	30.44	24.9
peak231	chr1	21359006	21363676	.	4671	35.02	40.95	40.79	42.36	33.48	41.15	41.75	37.76
peak233	chr1	21514383	21519323	.	4941	46.97	63.2	57.1	53.37	47.95	42.9	53.92	51.41
peak234	chr1	21574645	21588516	.	13872	169.96	176.25	184.36	174.53	169.19	185.61	195.68	171.11
peak235	chr1	21622945	21628495	.	5551	58.93	84.56	58.74	72.86	69.66	72.67	61.75	72.3
peak236	chr1	21692511	21695724	.	3214	17.93	13.35	17.13	16.1	19.9	13.13	16.52	12.05
peak238	chr1	21784968	21790904	.	5937	22.21	21.36	17.95	19.49	19.9	19.26	13.05	14.46
peak239	chr1	21878030	21882939	.	4910	30.75	31.15	26.92	26.26	24.43	31.52	26.09	24.1
peak240	chr1	21994795	22006137	.	11343	140.06	135.3	147.65	165.21	129.38	159.35	140.89	163.07
peak241	chr1	22011886	22018652	.	6767	75.16	84.56	78.31	75.4	76.9	64.79	78.27	64.27
peak242	chr1	22054230	22067225	.	12996	119.57	128.18	128.89	124.54	88.66	114.69	99.15	103.63
peak243	chr1	22077141	22085100	.	7960	90.53	75.66	66.08	71.17	66.05	76.17	84.36	67.48
peak244	chr1	22087130	22101355	.	14226	137.5	145.98	134.6	125.39	140.23	130.45	160.9	129.33
peak245	chr1	22136352	22139626	.	3275	17.93	31.15	14.68	17.79	12.67	17.51	13.92	17.67
peak246	chr1	22143758	22165143	.	21386	243.4	243.01	231.68	265.18	246.99	235.52	195.68	205.65
peak247	chr1	22169382	22176738	.	7357	50.39	63.2	50.58	46.6	43.43	54.28	40.01	49
peak248	chr1	22180073	22189298	.	9226	39.29	56.97	44.87	36.43	39.81	45.53	47.83	51.41
peak249	chr1	22210804	22227255	.	16452	117.86	111.27	102.79	94.04	111.28	98.06	96.54	91.58
peak250	chr1	22230886	22236879	.	5994	103.34	105.93	92.18	95.73	95	108.57	105.23	77.92
peak251	chr1	22299706	22302731	.	3026	23.91	25.81	25.29	25.42	14.48	18.39	24.35	16.87
peak252	chr1	22318165	22330986	.	12822	92.24	79.22	93.81	59.3	82.33	85.8	96.54	79.53
peak253	chr1	22334265	22345797	.	11533	80.28	105.04	98.71	69.47	76.9	85.8	75.66	77.92
peak254	chr1	22348626	22357876	.	9251	57.22	81.89	68.52	52.53	63.33	62.16	60.88	62.66
peak255	chr1	22360356	22396265	.	35910	313.43	301.76	296.12	311.77	304.9	281.92	303.53	312.49
peak256	chr1	22397090	22433038	.	35949	317.71	341.81	331.2	360.07	344.7	335.33	358.32	326.15
peak257	chr1	22466627	22524296	.	57670	511.57	484.24	491.09	457.49	504.84	482.42	497.47	535.01
peak258	chr1	22539171	22606892	.	67722	580.75	607.07	582.46	587.96	636.03	569.97	584.44	608.11
peak259	chr1	22607979	22645953	.	37975	404.82	427.27	434.8	384.63	386.32	396.62	404.42	388
peak260	chr1	22646985	22785216	.	138232	1515.08	1539.94	1537.72	1588.52	1512.72	1569.83	1494.16	1518.27
peak261	chr1	22786677	22800784	.	14108	98.22	94.35	98.71	90.65	99.52	98.94	113.93	102.02
peak262	chr1	22809726	23188311	.	378586	4875.75	4774.7	4759.19	4771.5	4748.96	4704.24	4771.23	4634.34
peak263	chr1	23189743	23199247	.	9505	76.86	67.65	71.79	71.17	58.81	55.16	68.71	62.66
peak264	chr1	23201046	23226526	.	25481	217.78	180.7	168.86	169.44	165.57	147.96	186.12	150.22
peak265	chr1	23235316	23242024	.	6709	46.12	51.63	44.87	38.97	35.28	34.15	40.01	37.76
peak266	chr1	23247836	23252826	.	4991	36.72	23.14	27.74	20.33	21.71	17.51	20.87	16.07
peak267	chr1	23293748	23316535	.	22788	190.45	218.08	222.7	197.4	202.66	208.38	182.64	204.85
