peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K4me3_Rep1_S1	Naive_P14_Day30_H3K4me3_Rep2_S2	Naive_P14_Day30_H3K4me3_Rep3_S3	Naive_P14_Day30_H3K4me3_Rep4_S4	Naive_P14_Day32_H3K4me3_Rep1_S9	Naive_P14_Day32_H3K4me3_Rep2_S10	Naive_P14_Day32_H3K4me3_Rep3_S11	Naive_P14_Day32_H3K4me3_Rep4_S12	Arm_P14_Day30_H3K4me3_Rep1_S5
peak18	chr1	6440091	6442940	.	2850	186.35	237.66	224.15	215.21	127.03	125.9	133.14	124.44	217.8
peak19	chr1	6452559	6455091	.	2533	195.72	245.62	213.26	222.94	152.95	160.72	154.58	154.97	195.82
peak20	chr1	6466334	6468039	.	1706	77.04	71.64	56.04	62.91	49.26	46.21	50.93	44.28	150.86
peak21	chr1	7087789	7091236	.	3448	1052.49	1047.29	1025.81	1080.48	1424.96	1370.16	1328.67	1382.56	1156.92
peak22	chr1	7095463	7096995	.	1533	142.62	138.73	130.76	107.05	92.46	105.81	102.76	96.19	78.93
peak23	chr1	7099299	7100649	.	1351	37.48	40.94	43.59	44.15	17.28	18.08	30.38	20.61	41.96
peak25	chr1	7139993	7141806	.	1814	39.56	35.25	68.49	41.94	26.79	24.11	28.59	19.09	47.96
peak26	chr1	7146049	7147975	.	1927	84.32	77.32	94.95	79.46	42.34	54.24	60.76	37.41	156.85
peak28	chr1	7205615	7207251	.	1637	167.61	178.53	149.44	152.3	137.4	150.01	135.82	135.13	126.88
peak29	chr1	7396601	7398994	.	2394	351.87	287.69	317.55	339.93	438.98	409.17	444.98	422.17	409.62
peak30	chr1	7454387	7456363	.	1977	46.85	40.94	59.15	47.46	43.21	26.79	44.68	29.01	142.87
peak31	chr1	7477468	7479593	.	2126	36.44	38.66	29.58	55.18	27.65	24.78	48.25	20.61	91.91
peak32	chr1	7707978	7709818	.	1841	46.85	40.94	48.26	35.32	56.17	60.27	65.23	64.13	46.96
peak34	chr1	9235408	9238202	.	2795	157.2	153.51	136.98	115.88	197.89	184.83	171.56	204.6	94.91
peak35	chr1	9537601	9539646	.	2046	51.01	50.03	34.25	38.63	27.65	18.75	27.7	21.38	62.94
peak36	chr1	9544617	9548084	.	3468	728.73	712.98	678.69	737.24	834.76	791.56	837.23	830.6	695.35
peak37	chr1	9698892	9702063	.	3172	468.47	466.22	448.31	503.27	586.75	556.5	552.2	558.06	500.53
peak38	chr1	9711841	9713814	.	1974	57.26	45.48	43.59	45.25	17.28	27.46	28.59	29.01	62.94
peak39	chr1	9742008	9748964	.	6957	1805.16	1700	1752.75	1729.43	1890.73	1934.7	1905.89	1980.32	1614.5
peak40	chr1	9772342	9773539	.	1198	48.93	43.21	51.37	48.56	38.89	48.22	50.93	37.41	48.95
peak41	chr1	9796733	9799695	.	2963	518.44	504.88	498.12	517.62	471.82	440.65	447.66	475.61	480.55
peak42	chr1	9805624	9808336	.	2713	111.39	106.89	112.08	126.92	59.63	75.67	68.8	80.92	54.95
peak43	chr1	9822456	9824440	.	1985	416.42	392.31	418.73	411.66	362.94	360.96	375.28	349.65	178.83
peak44	chr1	9847605	9851411	.	3807	956.71	989.3	938.64	1019.78	1130.29	1122.38	1201.79	1152.77	437.59
peak46	chr1	9862544	9864343	.	1800	120.76	123.95	126.09	119.2	82.96	77.01	85.78	85.5	49.95
peak47	chr1	9881631	9884087	.	2457	172.81	186.49	182.12	167.76	125.3	120.54	128.67	134.36	119.89
peak49	chr1	9942153	9944763	.	2611	485.12	498.06	527.69	506.58	709.46	644.9	681.76	657.31	573.47
peak50	chr1	9965817	9969522	.	3706	621.5	614.05	630.43	667.71	668.84	590.66	584.36	611.5	693.35
peak51	chr1	9980978	9983256	.	2279	53.09	35.25	56.04	44.15	24.2	27.46	27.7	24.43	43.96
peak54	chr1	10036544	10040959	.	4416	718.32	707.29	688.03	707.45	1060.3	1007.87	962.33	1010.77	762.29
peak57	chr1	10219250	10221752	.	2503	90.57	80.74	90.28	93.81	69.13	47.55	53.61	54.2	91.91
peak58	chr1	10230739	10234349	.	3611	694.37	690.23	725.38	743.87	865	829.06	862.25	851.22	705.34
peak60	chr1	10324929	10326194	.	1266	78.08	79.6	87.17	81.67	55.3	58.26	52.72	64.13	53.95
peak63	chr1	11228886	11230450	.	1565	81.2	85.28	65.38	76.15	57.9	61.61	61.65	72.53	23.98
peak64	chr1	11622564	11624838	.	2275	34.35	37.53	34.25	33.11	38.89	36.16	43.78	40.46	75.93
peak66	chr1	12863829	12865938	.	2110	107.23	88.7	93.4	119.2	82.09	87.06	92.03	80.92	90.92
peak67	chr1	12874899	12876731	.	1833	93.69	94.38	88.73	94.91	69.13	64.29	65.23	66.42	68.94
peak68	chr1	12990200	12993304	.	3105	271.71	244.48	214.81	260.46	176.28	160.05	191.21	182.46	236.78
peak70	chr1	13051687	13053061	.	1375	123.88	133.04	152.55	112.57	104.56	108.49	105.44	106.88	138.87
peak71	chr1	13103198	13105389	.	2192	122.84	127.36	132.31	143.48	66.54	81.7	85.78	63.36	142.87
peak72	chr1	13124669	13129086	.	4418	641.28	658.39	624.2	708.55	472.68	506.28	458.38	487.06	436.59
peak73	chr1	13154390	13156297	.	1908	41.64	21.61	35.8	26.49	24.2	28.13	19.66	16.03	78.93
peak74	chr1	13161128	13163577	.	2450	159.28	172.84	150.99	148.99	103.7	93.09	117.95	112.22	169.84
peak75	chr1	13170600	13172168	.	1569	60.38	55.72	73.16	64.01	38.02	31.47	39.32	33.59	42.96
peak76	chr1	13231126	13233852	.	2727	110.35	88.7	110.52	97.12	62.22	56.92	54.5	61.84	92.91
peak77	chr1	13244793	13246157	.	1365	84.32	68.23	85.61	70.63	51.85	60.27	46.46	48.1	16.98
peak78	chr1	13266100	13268885	.	2786	341.46	405.95	382.93	391.8	318.87	340.87	331.5	339.72	418.61
peak79	chr1	13286899	13289732	.	2834	224.86	234.25	241.28	240.6	178.88	163.4	190.32	141.23	189.82
peak80	chr1	13292705	13295794	.	3090	697.5	706.15	686.47	688.68	734.52	733.97	769.32	784.04	784.27
peak81	chr1	13300817	13302807	.	1991	415.37	362.74	407.83	368.62	319.73	310.73	322.56	349.65	413.61
peak82	chr1	13308112	13309689	.	1578	100.98	105.75	122.97	99.33	52.71	68.98	55.4	67.18	95.91
peak83	chr1	13311366	13312690	.	1325	142.62	142.14	165	165.55	91.6	93.09	117.05	96.95	67.94
peak84	chr1	13318975	13321246	.	2272	80.16	56.86	82.5	78.36	46.66	45.54	33.95	29.01	68.94
peak86	chr1	13335461	13337145	.	1685	166.57	226.29	171.23	208.59	159.87	158.04	137.6	151.92	223.79
peak88	chr1	13351591	13353721	.	2131	68.71	69.36	118.3	83.88	55.3	45.54	55.4	50.39	75.93
peak89	chr1	13363595	13364996	.	1402	83.28	81.87	71.6	68.43	48.39	45.54	46.46	35.88	48.95
peak90	chr1	13371624	13373186	.	1563	415.37	427.56	390.71	401.73	578.97	587.98	610.28	629.82	351.67
peak91	chr1	13373862	13375569	.	1708	344.58	313.85	358.02	343.24	445.03	456.72	443.19	432.86	318.7
peak92	chr1	13381121	13384023	.	2903	47.89	44.35	46.7	48.56	26.79	29.47	30.38	22.9	549.49
peak93	chr1	13388176	13389505	.	1330	35.4	31.84	29.58	20.97	13.83	17.41	14.3	17.56	74.93
peak94	chr1	13425474	13427917	.	2444	375.82	396.86	333.12	338.82	462.31	460.07	426.21	452.71	469.56
peak95	chr1	13480682	13482270	.	1589	33.31	23.88	28.02	16.55	8.64	13.39	17.87	9.16	30.97
peak96	chr1	13492786	13496051	.	3266	219.66	228.56	273.97	264.88	211.71	210.28	226.96	223.68	254.76
peak97	chr1	13513057	13514639	.	1583	255.05	244.48	252.17	262.67	235.05	230.37	224.27	242.77	254.76
peak98	chr1	13520691	13522795	.	2105	86.41	61.4	76.27	83.88	68.27	47.55	57.19	47.33	150.86
peak101	chr1	13558738	13560640	.	1903	407.05	425.28	362.69	477.88	368.99	397.79	409.23	401.56	496.54
peak102	chr1	13573706	13576315	.	2610	122.84	143.28	122.97	134.65	84.69	89.74	85.78	82.45	23.98
peak103	chr1	13585625	13590810	.	5186	1027.51	1079.13	986.9	1038.54	1139.8	1074.83	1131.2	1124.52	995.07
peak104	chr1	13592855	13594300	.	1446	147.83	159.2	141.65	142.37	139.13	125.23	124.2	148.1	211.8
peak105	chr1	13599588	13601543	.	1956	83.28	85.28	77.83	66.22	52.71	49.56	41.1	39.7	77.93
peak106	chr1	13638802	13640413	.	1612	32.27	29.57	42.03	23.18	12.1	16.07	25.02	6.87	123.88
peak107	chr1	13650836	13652175	.	1340	18.74	19.33	15.57	23.18	11.23	9.38	14.3	7.63	56.95
peak108	chr1	13658644	13661157	.	2514	585.06	633.38	551.04	570.59	722.42	756.74	746.99	709.22	679.37
peak110	chr1	13788572	13789807	.	1236	74.95	84.15	82.5	88.29	80.36	63.62	60.76	76.34	60.94
peak111	chr1	14306891	14311084	.	4194	240.48	260.4	266.18	220.73	147.77	169.43	157.26	156.5	65.94
peak112	chr1	14504796	14507554	.	2759	83.28	138.73	80.94	111.47	61.35	61.61	72.38	58.78	113.89
peak113	chr1	14754666	14758686	.	4021	36.44	29.57	45.14	36.42	21.6	16.74	29.49	17.56	478.55
peak114	chr1	14761939	14763528	.	1590	7.29	4.55	10.9	4.41	2.59	5.36	0.89	2.29	66.94
peak115	chr1	14917829	14919424	.	1596	27.07	21.61	48.26	35.32	24.2	16.74	20.55	21.38	86.92
peak118	chr1	15798744	15799907	.	1164	20.82	14.78	24.91	25.38	12.1	9.38	14.3	9.16	83.92
peak119	chr1	15804915	15808135	.	3221	648.57	693.64	683.36	682.06	841.67	826.38	829.19	906.18	751.3
peak121	chr1	15882632	15884238	.	1607	54.13	55.72	56.04	64.01	75.18	64.96	63.44	72.53	41.96
peak122	chr1	15892392	15894763	.	2372	108.27	89.83	102.74	99.33	47.53	45.54	58.08	51.91	41.96
peak123	chr1	16091629	16094547	.	2919	159.28	138.73	150.99	134.65	65.67	56.92	68.8	61.84	108.9
peak124	chr1	16102612	16106920	.	4309	857.82	847.16	899.73	884.03	1307.44	1209.44	1222.34	1269.57	880.18
peak125	chr1	16176914	16179621	.	2708	223.82	253.58	228.82	241.7	179.74	191.53	180.49	187.04	321.7
peak126	chr1	16227123	16229174	.	2052	261.3	249.03	263.07	233.98	216.9	200.9	203.72	203.83	331.69
peak127	chr1	16517405	16521526	.	4122	445.56	469.63	505.9	522.03	429.48	402.48	399.41	441.26	475.56
peak128	chr1	16533684	16535146	.	1463	121.8	127.36	91.84	131.34	80.36	74.33	78.63	85.5	172.84
peak129	chr1	16606006	16607685	.	1680	62.46	84.15	63.82	45.25	31.97	38.17	36.63	35.12	45.96
peak130	chr1	16616409	16620202	.	3794	772.45	839.2	731.61	826.64	895.25	886.65	884.59	900.84	686.36
peak131	chr1	16641524	16643386	.	1863	204.04	205.82	208.59	220.73	147.77	169.43	154.58	158.79	113.89
peak132	chr1	16655691	16657844	.	2154	586.1	560.6	481	543	707.73	727.94	744.31	700.82	610.43
peak133	chr1	16664628	16666882	.	2255	454.93	498.06	544.82	482.3	642.92	616.1	583.47	585.55	460.57
peak134	chr1	16687209	16689794	.	2586	574.65	577.66	507.46	589.35	650.7	634.19	634.4	642.04	601.44
peak135	chr1	16745614	16748139	.	2526	72.87	55.72	57.59	64.01	48.39	37.5	46.46	38.93	160.85
peak136	chr1	17096256	17097966	.	1711	42.68	54.58	37.36	38.63	23.33	23.44	19.66	22.9	65.94
peak140	chr1	20818575	20821073	.	2499	421.62	421.87	400.05	386.28	527.99	500.25	541.48	510.73	455.58
peak141	chr1	20824761	20825842	.	1082	124.92	135.32	141.65	141.27	101.97	118.53	89.35	101.54	75.93
peak142	chr1	20889886	20892534	.	2649	513.23	553.78	571.28	565.07	740.57	717.23	751.45	745.1	573.47
peak144	chr1	20911370	20913647	.	2278	171.77	161.47	185.24	183.21	155.54	123.89	145.64	138.18	93.91
peak147	chr1	20950628	20952531	.	1904	175.94	151.24	163.45	172.17	184.93	162.06	174.24	161.85	123.88
peak148	chr1	20985876	20987182	.	1307	80.16	80.74	84.06	91.6	60.49	53.57	51.82	41.22	31.97
peak149	chr1	21028620	21029995	.	1376	99.94	106.89	119.86	105.95	76.04	96.43	97.39	82.45	55.95
peak150	chr1	21051661	21053102	.	1442	110.35	120.53	101.18	110.37	88.14	99.11	82.2	88.56	18.98
peak151	chr1	21076804	21080239	.	3436	446.61	478.73	449.86	485.61	579.84	541.77	515.56	535.16	390.64
peak153	chr1	21165178	21167529	.	2352	187.39	169.43	155.66	190.93	148.63	144.65	131.35	152.68	78.93
peak154	chr1	21217971	21219875	.	1905	333.13	309.3	305.1	376.35	400.96	414.53	413.7	405.38	366.66
peak155	chr1	21270420	21273025	.	2606	187.39	205.82	189.91	157.82	211.71	208.94	188.53	205.36	117.89
peak156	chr1	21277017	21278270	.	1254	38.52	55.72	46.7	40.84	24.2	28.13	24.13	22.14	15.99
peak157	chr1	21288130	21292143	.	4014	69.75	73.91	85.61	64.01	42.34	36.83	50.04	35.88	38.96
peak158	chr1	21303601	21305149	.	1549	20.82	29.57	29.58	27.59	9.51	11.38	15.19	12.21	16.98
peak159	chr1	21316249	21317927	.	1679	19.78	15.92	31.13	25.38	11.23	11.38	19.66	12.98	24.98
peak160	chr1	21323048	21325499	.	2452	57.26	38.66	37.36	46.35	35.43	29.47	36.63	36.64	23.98
peak161	chr1	21332902	21334839	.	1938	342.5	328.63	298.87	328.89	286.89	318.77	325.24	329.8	135.87
peak166	chr1	21780207	21781855	.	1649	114.51	114.85	110.52	104.85	70	77.01	71.48	54.97	26.97
peak167	chr1	21828933	21831270	.	2338	313.35	288.83	297.31	293.57	340.47	304.7	326.14	322.16	131.88
peak168	chr1	21869562	21871736	.	2175	9.37	14.78	10.9	7.73	2.59	4.02	10.72	8.4	110.9
peak169	chr1	21959542	21964033	.	4492	1038.96	1088.23	997.79	1049.58	1369.66	1252.3	1315.27	1336.75	1120.96
peak171	chr1	23255351	23258936	.	3586	370.61	338.86	336.23	377.45	368.12	336.18	373.49	358.81	302.72
peak172	chr1	23271321	23273489	.	2169	171.77	170.57	177.45	165.55	144.31	141.3	142.96	142.76	101.91
peak173	chr1	23320767	23322424	.	1658	116.6	108.03	85.61	108.16	94.19	97.77	112.58	85.5	57.95
peak174	chr1	23379419	23384251	.	4833	429.95	387.76	364.25	430.43	324.92	308.72	344.9	334.38	295.72
peak175	chr1	23398459	23401243	.	2785	154.07	112.58	126.09	130.23	103.7	97.1	94.71	96.95	143.87
peak176	chr1	23761110	23763889	.	2780	92.65	96.66	84.06	101.54	56.17	64.29	50.93	62.6	136.87
peak177	chr1	23882286	23885170	.	2885	105.14	88.7	98.07	86.09	50.98	66.97	48.25	47.33	123.88
peak178	chr1	23915068	23918362	.	3295	301.9	350.23	280.19	306.82	194.43	232.38	199.26	226.74	892.17
peak179	chr1	23919147	23923034	.	3888	462.22	491.24	445.19	449.19	460.58	469.44	457.48	471.03	644.4
peak180	chr1	23934191	23936340	.	2150	22.9	28.43	21.79	29.8	18.15	17.41	20.55	15.27	197.82
peak181	chr1	23958533	23960085	.	1553	70.79	71.64	74.72	69.53	45.8	60.27	67.01	54.2	167.84
peak182	chr1	24004252	24006952	.	2701	487.21	476.45	435.85	501.06	526.26	554.49	616.53	578.67	496.54
peak184	chr1	24088246	24089939	.	1694	23.94	26.15	26.46	28.7	21.6	16.07	15.19	14.51	49.95
peak185	chr1	24098123	24101358	.	3236	334.17	358.19	325.33	346.55	290.35	263.85	284.14	270.25	402.63
peak186	chr1	24107205	24110757	.	3553	29.15	28.43	21.79	24.28	13.83	16.74	10.72	16.03	105.9
peak187	chr1	24677483	24680325	.	2843	449.73	423.01	423.4	426.01	577.24	523.69	534.33	563.41	535.5
peak189	chr1	25015985	25019646	.	3662	134.29	113.71	98.07	124.71	135.67	139.96	136.71	167.19	112.89
peak191	chr1	30839048	30840951	.	1904	104.1	112.58	90.28	99.33	51.85	55.58	71.48	49.62	57.95
peak194	chr1	30860384	30863683	.	3300	120.76	105.75	133.87	120.3	54.44	64.96	77.74	66.42	141.87
peak195	chr1	30871319	30875270	.	3952	796.39	822.14	758.07	820.02	907.34	865.89	923.9	880.99	794.26
peak197	chr1	30947403	30950956	.	3554	617.34	582.21	547.93	600.39	701.68	716.56	750.56	697.01	584.46
peak199	chr1	33452285	33454187	.	1903	11.45	4.55	7.78	1.1	6.91	3.35	11.62	1.53	78.93
peak201	chr1	33566963	33571290	.	4328	148.87	148.96	193.02	161.13	134.81	105.81	134.03	107.64	139.87
peak202	chr1	33577716	33579305	.	1590	190.51	214.92	161.89	245.01	155.54	170.1	174.24	189.33	110.9
peak204	chr1	33668944	33671062	.	2119	421.62	402.54	420.29	396.21	565.15	555.83	587.05	609.98	422.61
peak205	chr1	33719345	33721388	.	2044	246.73	238.8	219.48	258.26	233.32	213.63	231.42	210.7	288.73
peak206	chr1	33738639	33739725	.	1087	54.13	61.4	59.15	67.32	59.63	54.24	50.93	48.1	28.97
peak207	chr1	33756055	33759135	.	3081	556.96	546.96	554.16	522.03	580.7	562.53	586.15	591.65	594.45
peak208	chr1	33797463	33799111	.	1649	41.64	46.62	54.48	49.66	23.33	24.78	32.17	28.25	45.96
peak209	chr1	33812886	33815209	.	2324	438.28	453.71	396.94	451.4	572.92	561.86	566.49	567.99	455.58
peak210	chr1	33882179	33884267	.	2089	332.09	370.7	353.35	363.1	303.31	303.36	324.35	319.87	298.72
peak211	chr1	33898369	33899709	.	1341	96.82	118.26	90.28	92.71	81.23	83.71	77.74	81.69	31.97
peak212	chr1	33906395	33910050	.	3656	509.07	508.29	532.36	520.93	484.78	455.38	449.44	449.66	414.61
peak213	chr1	33993414	33995412	.	1999	124.92	120.53	90.28	110.37	69.13	65.63	67.01	72.53	29.97
peak214	chr1	34005004	34006934	.	1931	311.27	335.45	319.11	325.58	293.81	309.39	287.71	300.79	153.86
peak215	chr1	34010288	34013168	.	2881	443.48	402.54	395.38	371.93	356.89	354.93	344.01	356.52	315.71
peak218	chr1	34235990	34238313	.	2324	272.75	266.09	283.3	283.64	323.19	277.25	260.91	303.08	156.85
peak219	chr1	34408908	34410532	.	1625	37.48	42.07	66.93	57.39	32.84	35.49	30.38	22.9	57.95
peak220	chr1	34432637	34435777	.	3141	676.68	658.39	664.68	661.09	972.15	1021.26	969.47	1010.01	675.37
peak221	chr1	34438877	34441063	.	2187	555.91	574.25	533.92	544.1	774.27	771.47	775.58	819.15	605.44
peak222	chr1	34458133	34460949	.	2817	562.16	548.09	575.95	586.04	693.9	686.42	696.95	679.45	564.47
peak223	chr1	34471837	34474320	.	2484	478.88	558.33	490.34	514.3	753.53	749.37	685.33	702.35	441.59
peak224	chr1	34478407	34479898	.	1492	136.38	151.24	157.22	154.51	127.03	113.85	127.77	127.49	146.86
peak225	chr1	34480435	34481443	.	1009	143.66	155.79	140.1	133.54	136.53	138.62	126.88	151.92	131.88
peak226	chr1	34483885	34486446	.	2562	387.27	411.64	412.5	453.6	461.45	453.37	428	467.22	371.65
peak227	chr1	34503503	34504778	.	1276	45.81	29.57	51.37	49.66	19.88	15.4	17.87	13.74	51.95
peak228	chr1	34509858	34511791	.	1934	190.51	159.2	127.64	150.1	144.31	161.39	149.22	150.39	224.79
peak229	chr1	34516882	34518600	.	1719	70.79	76.19	57.59	60.7	28.52	41.52	39.32	29.77	92.91
peak231	chr1	34533718	34537678	.	3961	217.58	208.09	216.37	252.74	124.44	112.51	130.45	129.78	155.85
peak232	chr1	34553340	34555315	.	1976	92.65	102.34	98.07	100.43	53.58	46.21	58.08	50.39	59.94
peak235	chr1	34800859	34803191	.	2333	445.56	471.91	415.62	413.87	558.23	505.61	541.48	534.4	431.6
peak236	chr1	34831037	34833135	.	2099	180.1	197.86	165	222.94	140.85	138.62	101.86	100.77	113.89
peak237	chr1	34834849	34835868	.	1020	138.46	156.92	161.89	162.24	120.98	132.6	130.45	138.18	44.96
peak238	chr1	34838055	34838927	.	873	158.24	160.33	177.45	177.69	139.99	135.94	127.77	122.15	85.92
peak239	chr1	34840817	34844037	.	3221	805.76	794.85	786.09	834.37	1049.93	953.62	1040.06	975.65	743.31
peak240	chr1	34849293	34850299	.	1007	227.99	191.04	199.25	207.49	254.06	265.86	294.86	251.93	253.76
peak241	chr1	34850553	34853035	.	2483	316.48	338.86	323.78	357.59	323.19	302.03	322.56	329.04	960.11
peak244	chr1	35652383	35655275	.	2893	593.39	627.69	596.19	572.8	621.31	655.62	644.23	647.38	201.81
peak245	chr1	35708202	35709902	.	1701	78.08	89.83	70.05	76.15	50.12	52.23	40.21	46.57	12.99
peak247	chr1	35860655	35863105	.	2451	358.12	347.96	351.8	338.82	304.18	323.45	305.59	319.87	603.44
peak248	chr1	35889587	35891614	.	2028	252.97	256.99	277.08	240.6	220.35	227.69	230.53	213.76	137.87
peak249	chr1	35934796	35937262	.	2467	174.89	194.45	197.69	194.24	134.81	132.6	123.31	112.22	48.95
peak250	chr1	35971232	35973573	.	2342	167.61	175.12	130.76	156.72	94.19	81.03	112.58	96.19	39.96
peak251	chr1	35982990	35984133	.	1144	52.05	60.27	56.04	69.53	42.34	34.82	37.53	49.62	6.99
peak252	chr1	36024144	36026261	.	2118	320.64	374.11	314.44	366.41	249.74	304.03	254.65	287.81	234.78
peak253	chr1	36064620	36065633	.	1014	117.64	129.63	99.62	114.78	110.61	114.52	116.16	124.44	133.88
peak254	chr1	36067694	36071967	.	4274	705.82	724.35	674.02	763.73	816.61	780.18	783.62	768.77	509.53
peak256	chr1	36130749	36132060	.	1312	102.02	100.07	94.95	73.95	57.9	61.61	75.06	50.39	28.97
peak257	chr1	36148318	36149871	.	1554	206.13	252.44	280.19	235.08	224.68	224.34	209.08	209.94	54.95
peak258	chr1	36159775	36161461	.	1687	140.54	185.35	155.66	168.86	120.12	129.25	110.8	132.07	101.91
peak262	chr1	36241507	36244968	.	3462	707.91	618.59	641.33	704.13	770.81	780.85	741.63	767.24	651.39
peak263	chr1	36261622	36262894	.	1273	139.5	133.04	135.43	139.06	114.93	120.54	124.2	96.95	183.83
peak264	chr1	36263605	36265038	.	1434	362.28	347.96	372.03	343.24	373.31	384.4	357.41	414.54	399.63
peak265	chr1	36271371	36274910	.	3540	775.57	728.89	770.53	741.66	1133.75	1060.1	1057.93	1121.47	676.37
peak266	chr1	36281468	36282838	.	1371	45.81	40.94	42.03	52.98	40.61	43.53	33.95	36.64	30.97
peak267	chr1	36293307	36295731	.	2425	310.23	318.39	308.21	306.82	273.93	285.28	272.52	267.2	452.58
peak268	chr1	36296216	36297652	.	1437	252.97	241.07	236.61	257.15	262.7	243.09	242.15	268.72	282.74
peak269	chr1	36302526	36303845	.	1320	55.18	68.23	63.82	55.18	67.4	68.31	45.57	71.76	87.92
peak270	chr1	36307247	36310830	.	3584	654.81	675.45	611.75	688.68	1035.24	1037.33	1007	1025.28	691.36
peak271	chr1	36367003	36369883	.	2881	442.44	411.64	451.42	439.26	449.35	435.29	433.36	450.42	415.61
peak272	chr1	36443909	36445791	.	1883	354.99	369.56	404.72	366.41	415.65	402.48	427.1	398.51	343.68
peak273	chr1	36461444	36462960	.	1517	219.66	247.89	196.13	207.49	193.57	232.38	226.96	227.5	24.98
peak274	chr1	36470578	36476137	.	5560	820.34	833.51	881.05	853.13	902.16	913.44	864.04	841.29	1047.03
peak276	chr1	36511073	36514118	.	3046	457.02	412.78	438.97	420.49	497.74	459.4	493.23	451.95	419.61
peak277	chr1	36545252	36547809	.	2558	574.65	610.63	557.27	545.21	695.63	723.25	704.1	727.54	601.44
peak278	chr1	36556029	36560170	.	4142	686.04	773.24	686.47	793.53	878.83	894.69	885.48	877.94	870.19
peak279	chr1	36571281	36572622	.	1342	31.23	21.61	28.02	16.55	9.51	12.05	11.62	12.21	31.97
peak281	chr1	36603048	36605332	.	2285	123.88	150.1	127.64	114.78	68.27	67.64	73.27	83.21	35.97
peak284	chr1	36690914	36692980	.	2067	316.48	296.79	295.76	309.02	345.65	340.2	325.24	358.81	294.73
peak285	chr1	36708165	36710757	.	2593	381.02	415.05	358.02	396.21	474.41	496.9	445.87	512.26	417.61
peak286	chr1	36719053	36720887	.	1835	239.44	271.77	267.74	249.43	182.33	206.26	220.7	205.36	402.63
peak287	chr1	36722535	36723910	.	1376	109.31	127.36	118.3	118.09	97.65	74.33	92.03	80.16	117.89
peak288	chr1	36736913	36738135	.	1223	51.01	42.07	34.25	34.21	32.84	34.82	31.27	28.25	43.96
peak289	chr1	36743137	36745188	.	2052	68.71	61.4	80.94	66.22	49.26	62.28	68.8	51.15	52.95
peak290	chr1	36760962	36765224	.	4263	1182.62	1217.86	1103.64	1191.95	1612.48	1565.71	1517.2	1551.28	1297.79
peak291	chr1	36766177	36768058	.	1882	544.46	503.74	438.97	488.92	546.13	545.12	525.39	565.7	492.54
peak292	chr1	36768429	36769104	.	676	23.94	17.06	15.57	28.7	19.88	20.09	14.3	19.85	60.94
peak293	chr1	36784157	36785883	.	1727	168.65	155.79	149.44	157.82	170.23	172.11	165.3	162.61	38.96
peak294	chr1	36797082	36798508	.	1427	85.37	80.74	63.82	77.26	63.08	49.56	77.74	67.94	31.97
peak297	chr1	36872309	36873715	.	1407	33.31	14.78	43.59	27.59	21.6	15.4	16.08	16.03	46.96
peak299	chr1	36882734	36885828	.	3095	336.26	360.47	387.6	346.55	221.22	206.93	212.66	222.92	308.71
