peakN	Chr	Start	End	Strand	Length	Arm_P14_Day30_H3K4me3_Rep1_S5	Arm_P14_Day30_H3K4me3_Rep2_S6	Arm_P14_Day30_H3K4me3_Rep3_S7	Arm_P14_Day30_H3K4me3_Rep4_S8
peak115	chr1	14917829	14919424	.	1596	86.92	106.72	151.11	93.23
peak118	chr1	15798744	15799907	.	1164	83.92	83	66.37	69.65
peak119	chr1	15804915	15808135	.	3221	751.3	782.6	785.17	681.53
peak121	chr1	15882632	15884238	.	1607	41.96	40.65	40.84	40.72
peak122	chr1	15892392	15894763	.	2372	41.96	44.89	44.93	54.65
peak123	chr1	16091629	16094547	.	2919	108.9	121.12	115.38	139.31
peak124	chr1	16102612	16106920	.	4309	880.18	892.71	986.31	904.42
peak125	chr1	16176914	16179621	.	2708	321.7	322.7	337.96	317.19
peak126	chr1	16227123	16229174	.	2052	331.69	330.32	292.01	308.62
peak127	chr1	16517405	16521526	.	4122	475.56	514.96	503.37	522.93
peak128	chr1	16533684	16535146	.	1463	172.84	162.62	131.71	158.59
peak129	chr1	16606006	16607685	.	1680	45.96	51.67	55.14	60.01
peak130	chr1	16616409	16620202	.	3794	686.36	680.96	628.95	646.17
peak131	chr1	16641524	16643386	.	1863	113.89	161.77	142.94	147.88
peak132	chr1	16655691	16657844	.	2154	610.43	605.58	572.8	542.22
peak133	chr1	16664628	16666882	.	2255	460.57	469.22	484.99	442.56
peak134	chr1	16687209	16689794	.	2586	601.44	620.83	619.76	560.44
peak135	chr1	16745614	16748139	.	2526	160.85	158.38	146.01	151.09
peak136	chr1	17096256	17097966	.	1711	65.94	43.2	59.22	46.08
peak140	chr1	20818575	20821073	.	2499	455.58	448.05	469.67	431.85
peak141	chr1	20824761	20825842	.	1082	75.93	85.54	95.98	76.08
peak142	chr1	20889886	20892534	.	2649	573.47	534.44	560.54	563.65
peak144	chr1	20911370	20913647	.	2278	93.91	79.62	90.87	86.8
peak147	chr1	20950628	20952531	.	1904	123.88	153.3	156.22	139.31
peak148	chr1	20985876	20987182	.	1307	31.97	20.33	28.59	22.5
peak149	chr1	21028620	21029995	.	1376	55.95	54.21	61.26	66.44
peak150	chr1	21051661	21053102	.	1442	18.98	22.87	29.61	30
peak151	chr1	21076804	21080239	.	3436	390.64	426.03	446.19	421.13
peak153	chr1	21165178	21167529	.	2352	78.93	80.46	83.72	80.37
peak154	chr1	21217971	21219875	.	1905	366.66	370.13	342.04	343.98
peak155	chr1	21270420	21273025	.	2606	117.89	138.9	131.71	116.8
peak156	chr1	21277017	21278270	.	1254	15.99	22.02	21.44	19.29
peak157	chr1	21288130	21292143	.	4014	38.96	43.2	32.67	50.36
peak158	chr1	21303601	21305149	.	1549	16.98	11.86	24.5	27.86
peak159	chr1	21316249	21317927	.	1679	24.98	26.26	12.25	17.15
peak160	chr1	21323048	21325499	.	2452	23.98	19.48	25.53	27.86
peak161	chr1	21332902	21334839	.	1938	135.87	146.53	158.26	140.38
peak166	chr1	21780207	21781855	.	1649	26.97	40.65	36.76	37.51
peak167	chr1	21828933	21831270	.	2338	131.88	128.74	123.54	131.8
peak168	chr1	21869562	21871736	.	2175	110.9	108.41	109.25	115.73
peak169	chr1	21959542	21964033	.	4492	1120.96	1134.94	1154.78	1145.52
peak171	chr1	23255351	23258936	.	3586	302.72	267.64	275.68	285.04
peak172	chr1	23271321	23273489	.	2169	101.91	83.85	105.17	95.37
peak173	chr1	23320767	23322424	.	1658	57.95	60.13	63.3	80.37
peak174	chr1	23379419	23384251	.	4833	295.72	276.96	326.73	304.33
peak175	chr1	23398459	23401243	.	2785	143.87	142.29	136.82	148.95
peak176	chr1	23761110	23763889	.	2780	136.87	140.6	164.39	145.74
peak177	chr1	23882286	23885170	.	2885	123.88	130.43	124.57	120.02
peak178	chr1	23915068	23918362	.	3295	892.17	864.76	945.47	902.27
peak179	chr1	23919147	23923034	.	3888	644.4	653.01	662.65	641.88
peak180	chr1	23934191	23936340	.	2150	197.82	186.33	211.35	185.38
peak181	chr1	23958533	23960085	.	1553	167.84	149.07	167.45	160.74
peak182	chr1	24004252	24006952	.	2701	496.54	475.15	512.56	468.28
peak184	chr1	24088246	24089939	.	1694	49.95	63.52	41.86	55.72
peak185	chr1	24098123	24101358	.	3236	402.63	415.02	451.29	451.14
peak186	chr1	24107205	24110757	.	3553	105.9	103.33	102.1	94.3
peak187	chr1	24677483	24680325	.	2843	535.5	487.85	542.17	529.36
peak189	chr1	25015985	25019646	.	3662	112.89	96.55	93.93	114.66
peak191	chr1	30839048	30840951	.	1904	57.95	66.91	65.35	53.58
peak194	chr1	30860384	30863683	.	3300	141.87	138.06	130.69	125.38
peak195	chr1	30871319	30875270	.	3952	794.26	724.16	748.41	723.32
peak197	chr1	30947403	30950956	.	3554	584.46	584.41	666.73	580.8
peak199	chr1	33452285	33454187	.	1903	78.93	79.62	94.96	73.94
peak201	chr1	33566963	33571290	.	4328	139.87	145.68	132.73	145.74
peak202	chr1	33577716	33579305	.	1590	110.9	99.94	85.77	116.8
peak204	chr1	33668944	33671062	.	2119	422.61	354.03	402.28	385.77
peak205	chr1	33719345	33721388	.	2044	288.73	254.09	287.93	235.75
peak206	chr1	33738639	33739725	.	1087	28.97	33.03	33.69	31.08
peak207	chr1	33756055	33759135	.	3081	594.45	599.65	557.48	563.65
peak208	chr1	33797463	33799111	.	1649	45.96	57.59	37.78	65.37
peak209	chr1	33812886	33815209	.	2324	455.58	456.52	477.84	438.28
peak210	chr1	33882179	33884267	.	2089	298.72	343.87	332.85	341.84
peak211	chr1	33898369	33899709	.	1341	31.97	38.96	36.76	40.72
peak212	chr1	33906395	33910050	.	3656	414.61	441.27	403.31	438.28
peak213	chr1	33993414	33995412	.	1999	29.97	29.64	31.65	28.93
peak214	chr1	34005004	34006934	.	1931	153.86	143.14	134.78	157.52
peak215	chr1	34010288	34013168	.	2881	315.71	310.84	323.67	369.7
peak218	chr1	34235990	34238313	.	2324	156.85	180.4	203.18	177.88
peak219	chr1	34408908	34410532	.	1625	57.95	51.67	62.28	78.23
peak220	chr1	34432637	34435777	.	3141	675.37	656.4	654.48	630.09
peak221	chr1	34438877	34441063	.	2187	605.44	592.03	550.33	491.86
peak222	chr1	34458133	34460949	.	2817	564.47	540.37	529.91	516.5
peak223	chr1	34471837	34474320	.	2484	441.59	360.81	391.05	367.55
peak224	chr1	34478407	34479898	.	1492	146.86	167.7	153.15	155.38
peak225	chr1	34480435	34481443	.	1009	131.88	155	146.01	130.73
peak226	chr1	34483885	34486446	.	2562	371.65	387.07	349.19	388.99
peak227	chr1	34503503	34504778	.	1276	51.95	60.98	42.88	52.51
peak228	chr1	34509858	34511791	.	1934	224.79	222.75	231.77	213.25
peak229	chr1	34516882	34518600	.	1719	92.91	84.7	115.38	108.23
peak231	chr1	34533718	34537678	.	3961	155.85	142.29	164.39	174.67
peak232	chr1	34553340	34555315	.	1976	59.94	51.67	71.47	72.87
peak235	chr1	34800859	34803191	.	2333	431.6	431.95	404.33	397.56
peak236	chr1	34831037	34833135	.	2099	113.89	126.2	122.52	137.16
peak237	chr1	34834849	34835868	.	1020	44.96	41.5	57.18	51.44
peak238	chr1	34838055	34838927	.	873	85.92	108.41	101.08	93.23
peak239	chr1	34840817	34844037	.	3221	743.31	660.64	710.64	655.81
peak240	chr1	34849293	34850299	.	1007	253.76	231.22	210.33	203.6
peak241	chr1	34850553	34853035	.	2483	960.11	943.52	917.9	852.98
peak244	chr1	35652383	35655275	.	2893	201.81	168.55	176.64	197.17
peak245	chr1	35708202	35709902	.	1701	12.99	18.63	27.57	23.57
peak247	chr1	35860655	35863105	.	2451	603.44	503.95	505.41	513.29
peak248	chr1	35889587	35891614	.	2028	137.87	121.96	114.36	161.81
peak249	chr1	35934796	35937262	.	2467	48.95	49.97	43.9	51.44
peak250	chr1	35971232	35973573	.	2342	39.96	22.87	21.44	46.08
peak251	chr1	35982990	35984133	.	1144	6.99	19.48	15.32	17.15
peak252	chr1	36024144	36026261	.	2118	234.78	240.54	214.42	228.25
peak253	chr1	36064620	36065633	.	1014	133.88	133.82	135.8	132.88
peak254	chr1	36067694	36071967	.	4274	509.53	503.1	492.14	496.14
peak256	chr1	36130749	36132060	.	1312	28.97	27.1	32.67	18.22
peak257	chr1	36148318	36149871	.	1554	54.95	52.51	62.28	73.94
peak258	chr1	36159775	36161461	.	1687	101.91	96.55	92.91	92.16
peak262	chr1	36241507	36244968	.	3462	651.39	620.83	655.5	594.73
peak263	chr1	36261622	36262894	.	1273	183.83	164.31	204.21	150.02
peak264	chr1	36263605	36265038	.	1434	399.63	392.15	380.84	379.34
peak265	chr1	36271371	36274910	.	3540	676.37	628.45	606.49	551.87
peak266	chr1	36281468	36282838	.	1371	30.97	29.64	29.61	38.58
peak267	chr1	36293307	36295731	.	2425	452.58	465.83	499.28	438.28
peak268	chr1	36296216	36297652	.	1437	282.74	282.89	272.61	282.9
peak269	chr1	36302526	36303845	.	1320	87.92	77.92	70.45	84.66
peak270	chr1	36307247	36310830	.	3584	691.36	697.9	704.51	635.45
peak271	chr1	36367003	36369883	.	2881	415.61	394.69	419.64	408.27
peak272	chr1	36443909	36445791	.	1883	343.68	304.06	395.14	326.83
peak273	chr1	36461444	36462960	.	1517	24.98	26.26	36.76	19.29
peak274	chr1	36470578	36476137	.	5560	1047.03	937.6	986.31	956.93
peak276	chr1	36511073	36514118	.	3046	419.61	465.83	407.39	379.34
peak277	chr1	36545252	36547809	.	2558	601.44	564.08	598.32	542.22
peak278	chr1	36556029	36560170	.	4142	870.19	868.99	851.54	775.83
peak279	chr1	36571281	36572622	.	1342	31.97	32.18	23.48	23.57
peak281	chr1	36603048	36605332	.	2285	35.97	34.73	41.86	52.51
peak284	chr1	36690914	36692980	.	2067	294.73	276.11	287.93	270.04
peak285	chr1	36708165	36710757	.	2593	417.61	342.18	404.33	368.63
peak286	chr1	36719053	36720887	.	1835	402.63	387.07	429.85	377.2
peak287	chr1	36722535	36723910	.	1376	117.89	118.58	123.54	131.8
peak288	chr1	36736913	36738135	.	1223	43.96	56.75	56.16	52.51
peak289	chr1	36743137	36745188	.	2052	52.95	72.84	56.16	70.72
peak290	chr1	36760962	36765224	.	4263	1297.79	1188.3	1236.46	1144.45
peak291	chr1	36766177	36768058	.	1882	492.54	504.79	486.01	453.28
peak292	chr1	36768429	36769104	.	676	60.94	62.68	68.41	58.94
peak293	chr1	36784157	36785883	.	1727	38.96	55.9	53.09	61.08
peak294	chr1	36797082	36798508	.	1427	31.97	27.95	31.65	32.15
peak297	chr1	36872309	36873715	.	1407	46.96	58.44	62.28	53.58
peak299	chr1	36882734	36885828	.	3095	308.71	288.82	272.61	286.11
peak300	chr1	36903736	36905314	.	1579	46.96	46.58	37.78	35.36
peak301	chr1	36910534	36912581	.	2048	168.84	172.78	178.68	160.74
peak302	chr1	36914758	36915748	.	991	56.95	44.89	37.78	49.29
peak303	chr1	36919340	36920927	.	1588	90.92	93.17	106.19	121.09
peak304	chr1	36921532	36922967	.	1436	36.97	39.81	49.01	40.72
peak305	chr1	36928894	36929894	.	1001	52.95	54.21	60.24	50.36
peak306	chr1	36930629	36931786	.	1158	42.96	49.97	42.88	45.01
peak307	chr1	36936413	36940769	.	4357	790.26	780.06	712.68	747.97
peak308	chr1	36960009	36961471	.	1463	87.92	67.76	78.62	71.8
peak310	chr1	36999818	37001570	.	1753	250.77	287.12	293.03	274.33
peak311	chr1	37002161	37002864	.	704	34.97	27.1	21.44	45.01
peak312	chr1	37028108	37032034	.	3927	783.27	785.99	768.83	740.46
peak318	chr1	37299273	37302326	.	3054	584.46	545.45	561.57	552.94
peak319	chr1	37307271	37308575	.	1305	112.89	83.85	82.7	71.8
peak320	chr1	37309407	37312215	.	2809	172.84	183.79	180.72	185.38
peak321	chr1	37316400	37319078	.	2679	301.72	271.03	279.76	278.61
peak322	chr1	37326255	37328250	.	1996	206.81	190.57	232.79	191.81
peak324	chr1	37345810	37347978	.	2169	105.9	87.24	103.12	93.23
peak326	chr1	37428591	37431557	.	2967	558.48	564.08	542.17	539.01
peak327	chr1	37468681	37469663	.	983	77.93	82.16	87.81	96.44
peak328	chr1	37471132	37471929	.	798	43.96	41.5	42.88	45.01
peak329	chr1	37472737	37474772	.	2036	371.65	337.94	356.34	332.19
peak330	chr1	37477334	37479585	.	2252	688.36	669.95	680	622.59
peak331	chr1	37481004	37481762	.	759	104.9	84.7	87.81	92.16
peak332	chr1	37490841	37492453	.	1613	233.78	202.43	210.33	212.17
peak333	chr1	37494967	37497234	.	2268	580.46	527.66	547.27	490.79
peak334	chr1	37501875	37503828	.	1954	39.96	46.58	43.9	69.65
peak337	chr1	37539484	37542036	.	2553	375.65	392.15	377.78	382.56
peak338	chr1	37543711	37545170	.	1460	254.76	194.8	226.67	220.75
peak339	chr1	37585352	37586976	.	1625	162.85	171.09	180.72	159.67
peak340	chr1	37613609	37615842	.	2234	405.62	420.1	420.66	333.26
peak341	chr1	37696038	37697791	.	1754	25.98	26.26	22.46	37.51
peak342	chr1	37718737	37722071	.	3335	90.92	88.08	89.85	82.51
peak343	chr1	37846812	37849037	.	2226	42.96	48.28	35.74	47.15
peak344	chr1	37863939	37866726	.	2788	710.34	683.5	712.68	631.16
peak345	chr1	37871591	37873358	.	1768	386.64	346.41	351.23	365.41
peak346	chr1	37888918	37891949	.	3032	619.42	586.95	612.62	550.79
peak348	chr1	37996168	37999650	.	3483	982.09	919.81	930.16	886.2
peak350	chr1	38127037	38131135	.	4099	440.59	499.71	437	456.5
peak351	chr1	38394698	38396320	.	1623	33.97	25.41	30.63	27.86
peak352	chr1	38557325	38558914	.	1590	42.96	58.44	67.39	45.01
peak353	chr1	38579966	38582008	.	2043	77.93	73.69	79.64	78.23
peak354	chr1	38601396	38603376	.	1981	28.97	26.26	36.76	32.15
peak355	chr1	38627573	38629241	.	1669	120.89	133.82	140.9	153.24
peak356	chr1	38649149	38652192	.	3044	38.96	29.64	43.9	52.51
peak357	chr1	38657200	38659208	.	2009	286.73	268.49	258.32	261.47
peak358	chr1	38661838	38665404	.	3567	654.39	659.79	626.91	621.52
peak359	chr1	38693817	38696721	.	2905	316.71	309.99	300.18	298.97
peak361	chr1	38883142	38884683	.	1542	112.89	102.48	102.1	109.3
peak362	chr1	38885455	38886618	.	1164	77.93	73.69	81.68	86.8
peak363	chr1	38896181	38898903	.	2723	447.58	423.49	413.52	454.35
peak365	chr1	38986776	38989037	.	2262	453.58	420.1	445.17	402.92
peak366	chr1	39009880	39011313	.	1434	66.94	70.3	68.41	63.22
peak367	chr1	39024233	39026445	.	2213	406.62	405.7	382.89	362.2
peak368	chr1	39089399	39091792	.	2394	138.87	150.76	113.33	133.95
peak369	chr1	39096477	39098463	.	1987	171.84	180.4	146.01	175.74
peak370	chr1	39101739	39103142	.	1404	57.95	49.12	46.97	63.22
peak371	chr1	39105038	39105926	.	889	15.99	22.87	25.53	30
peak372	chr1	39185495	39186710	.	1216	12.99	18.63	17.36	12.86
peak373	chr1	39192252	39195483	.	3232	106.9	122.81	112.31	142.52
peak374	chr1	39196433	39197443	.	1011	49.95	51.67	39.82	32.15
peak375	chr1	39204243	39206115	.	1873	119.89	108.41	101.08	112.52
peak377	chr1	39280573	39281971	.	1399	13.99	10.16	16.34	17.15
peak379	chr1	39344257	39346116	.	1860	36.97	35.57	40.84	64.3
peak380	chr1	39366913	39369684	.	2772	577.46	576.79	598.32	544.36
peak384	chr1	39477448	39479974	.	2527	264.75	254.94	265.47	229.32
peak387	chr1	39534941	39537483	.	2543	419.61	456.52	429.85	442.56
peak388	chr1	39555057	39556739	.	1683	15.99	23.72	31.65	25.72
peak390	chr1	39574974	39578440	.	3467	686.36	691.13	713.7	699.74
peak391	chr1	39613556	39615720	.	2165	66.94	60.13	76.58	65.37
peak392	chr1	39649237	39651937	.	2701	138.87	137.21	159.28	152.17
peak394	chr1	39702229	39703518	.	1290	18.98	28.8	28.59	33.22
peak395	chr1	39710006	39711184	.	1179	27.97	16.09	27.57	25.72
peak396	chr1	39713549	39714893	.	1345	55.95	49.12	69.43	43.93
peak397	chr1	39719921	39721924	.	2004	34.97	35.57	37.78	45.01
peak398	chr1	39733659	39736749	.	3091	367.66	337.09	334.9	297.9
peak399	chr1	39746101	39747240	.	1140	38.96	42.35	39.82	42.86
peak400	chr1	39749114	39750467	.	1354	43.96	57.59	49.01	54.65
peak401	chr1	39760672	39762629	.	1958	134.87	141.44	116.4	146.81
peak403	chr1	39841819	39844113	.	2295	256.76	253.24	244.03	262.54
peak406	chr1	39895252	39897417	.	2166	178.83	184.64	217.48	190.74
peak407	chr1	39900027	39900863	.	837	96.91	84.7	78.62	92.16
peak408	chr1	39901217	39903658	.	2442	730.32	638.62	677.96	661.17
peak409	chr1	39904509	39905146	.	638	70.93	53.36	65.35	53.58
peak410	chr1	39906923	39907716	.	794	20.98	25.41	34.71	28.93
peak411	chr1	39910555	39912131	.	1577	47.96	55.9	42.88	63.22
peak412	chr1	39917195	39919175	.	1981	408.62	404	395.14	372.91
peak413	chr1	39922386	39924351	.	1966	519.52	490.4	455.38	495.07
peak414	chr1	39925607	39926572	.	966	50.95	46.58	51.05	58.94
peak415	chr1	39934642	39937205	.	2564	353.67	349.8	323.67	311.83
peak416	chr1	39941324	39943577	.	2254	103.9	102.48	87.81	96.44
peak418	chr1	39948581	39949894	.	1314	113.89	129.59	111.29	95.37
peak419	chr1	39953982	39955025	.	1044	53.95	60.13	52.07	48.22
peak421	chr1	39958768	39961886	.	3119	134.87	122.81	116.4	115.73
peak422	chr1	39975513	39977154	.	1642	40.96	49.97	32.67	46.08
peak424	chr1	39980449	39981581	.	1133	18.98	22.02	22.46	31.08
peak425	chr1	39986306	39987912	.	1607	230.79	233.76	256.28	262.54
peak429	chr1	40051312	40053626	.	2315	64.94	86.39	63.3	82.51
peak430	chr1	40084734	40087458	.	2725	375.65	387.07	390.03	396.49
peak433	chr1	40266362	40267703	.	1342	43.96	36.42	57.18	45.01
peak435	chr1	40270513	40272081	.	1569	86.92	91.47	78.62	93.23
peak438	chr1	40324073	40325839	.	1767	524.51	513.26	447.21	432.92
peak439	chr1	40359430	40361255	.	1826	55.95	58.44	66.37	58.94
peak440	chr1	40380008	40381638	.	1631	195.82	193.96	184.81	168.24
peak441	chr1	40382223	40383624	.	1402	224.79	206.66	200.12	219.67
peak442	chr1	40385628	40386824	.	1197	146.86	162.62	152.13	140.38
peak443	chr1	40391268	40394752	.	3485	406.62	449.74	414.54	395.41
peak444	chr1	40397082	40397930	.	849	78.93	82.16	68.41	63.22
peak445	chr1	40398936	40400418	.	1483	137.87	137.21	136.82	99.66
peak446	chr1	40465110	40470680	.	5571	1664.45	1616.02	1513.16	1426.28
peak447	chr1	40473281	40474545	.	1265	219.8	204.97	197.06	202.53
peak448	chr1	40475443	40477372	.	1930	328.69	300.67	264.45	262.54
peak449	chr1	40479081	40480353	.	1273	192.82	220.21	192.97	193.96
peak450	chr1	40500553	40502882	.	2330	305.72	271.03	270.57	260.4
peak451	chr1	40504008	40505110	.	1103	50.95	67.76	81.68	65.37
peak452	chr1	40513803	40519080	.	5278	1799.32	1627.03	1738.81	1596.66
peak453	chr1	40521713	40524808	.	3096	528.51	515.8	565.65	533.65
peak454	chr1	40542583	40545096	.	2514	88.92	95.71	88.83	100.73
peak456	chr1	40584985	40587307	.	2323	96.91	112.65	103.12	95.37
peak457	chr1	40623859	40625653	.	1795	31.97	58.44	40.84	45.01
peak459	chr1	40679652	40683370	.	3719	761.29	803.77	799.46	741.54
peak460	chr1	40687309	40689168	.	1860	58.95	44.89	58.2	54.65
peak461	chr1	40789419	40791421	.	2003	399.63	431.11	407.39	392.2
peak462	chr1	42693289	42696927	.	3639	218.8	225.29	194	216.46
peak463	chr1	42712325	42715163	.	2839	389.64	393.84	347.15	350.41
peak464	chr1	42794826	42796051	.	1226	34.97	49.97	43.9	40.72
peak465	chr1	42850502	42852742	.	2241	406.62	363.35	345.11	379.34
peak466	chr1	42951579	42954941	.	3363	298.72	283.73	287.93	327.9
peak467	chr1	43070078	43071577	.	1500	132.88	100.79	111.29	107.16
peak468	chr1	43091271	43093642	.	2372	335.69	329.47	351.23	337.55
peak469	chr1	43097430	43100006	.	2577	501.53	510.72	514.6	500.43
peak471	chr1	43127289	43128749	.	1461	102.9	99.1	109.25	100.73
peak472	chr1	43129362	43131149	.	1788	93.91	95.71	99.04	66.44
peak473	chr1	43138139	43139937	.	1799	92.91	107.57	101.08	106.09
peak474	chr1	43143541	43146509	.	2969	133.88	167.7	159.28	160.74
peak475	chr1	43162463	43165449	.	2987	459.57	466.68	456.4	488.64
