peakN	Chr	Start	End	Strand	Length	Arm_P14_Day30_H3K27me3_Rep1_S7	Arm_P14_Day30_H3K27me3_Rep2_S8	Arm_P14_Day30_H3K27me3_Rep3_S3	Arm_P14_Day30_H3K27me3_Rep4_S4
peak30	chr1	6176839	6196275	.	19437	367.92	404.87	386.11	413.79
peak31	chr1	6199989	6205892	.	5904	68.43	61.17	58.41	59.7
peak32	chr1	6279627	6336958	.	57332	1279.72	1284.52	1184.06	1216.68
peak33	chr1	6341514	6344892	.	3379	71.1	45.63	49.5	47.35
peak34	chr1	6346784	6373286	.	26503	875.36	900.04	893.99	836.85
peak35	chr1	6378486	6406564	.	28079	2295.5	2442.83	2390.89	2390.13
peak36	chr1	6419816	6423219	.	3404	38.21	41.75	51.48	39.11
peak37	chr1	6437599	6478175	.	40577	533.22	474.78	536.59	512.61
peak38	chr1	6479821	6564501	.	84681	1869.81	1869.01	1852.32	1873.4
peak39	chr1	6569731	6574825	.	5095	50.66	48.55	54.45	68.97
peak40	chr1	6576719	6629157	.	52439	599.87	576.72	619.75	657.75
peak41	chr1	6634009	6641961	.	7953	56.88	50.49	42.57	44.26
peak42	chr1	6645605	6649942	.	4338	42.66	24.27	31.68	40.14
peak43	chr1	6652540	6665264	.	12725	91.54	92.24	95.04	106.02
peak44	chr1	6667642	6672398	.	4757	44.43	30.1	46.53	20.59
peak45	chr1	6702876	6708782	.	5907	49.77	37.87	51.48	35
peak46	chr1	6710077	6742545	.	32469	199.96	219.43	221.76	199.69
peak47	chr1	6748509	6767660	.	19152	192.85	175.74	163.35	178.08
peak48	chr1	6769591	6784711	.	15121	116.42	116.51	95.04	93.67
peak50	chr1	6843693	6870342	.	26650	191.07	173.79	191.07	177.05
peak51	chr1	6875015	6894491	.	19477	124.42	111.66	124.74	108.08
peak52	chr1	6948091	6954134	.	6044	48.88	47.57	51.48	45.29
peak53	chr1	6962093	6981946	.	19854	167.96	166.03	160.38	172.93
peak54	chr1	6984543	7062819	.	78277	1207.74	1143.74	1092.98	1110.66
peak55	chr1	7067469	7089692	.	22224	790.05	719.45	731.62	807
peak56	chr1	7178605	7190173	.	11569	196.4	207.78	198.99	188.37
peak57	chr1	7193702	7228198	.	34497	456.79	449.53	488.08	452.91
peak58	chr1	7251573	7258574	.	7002	46.21	52.43	56.43	42.2
peak59	chr1	7395118	7455268	.	60151	2275.95	2155.43	2054.29	2106.03
peak60	chr1	7459114	7484319	.	25206	566.99	486.43	536.59	488.94
peak61	chr1	7489507	7496194	.	6688	120.86	97.09	99	84.41
peak62	chr1	7499874	7540932	.	41059	561.65	523.32	534.61	506.44
peak63	chr1	7544556	7549296	.	4741	58.65	53.4	53.46	73.08
peak64	chr1	7552406	7558937	.	6532	63.1	57.28	43.56	56.61
peak65	chr1	7616817	7620701	.	3885	49.77	50.49	49.5	51.47
peak66	chr1	7882045	7888029	.	5985	51.54	61.17	50.49	51.47
peak67	chr1	8190993	8195437	.	4445	34.66	44.66	35.64	45.29
peak69	chr1	9297072	9301708	.	4637	14.22	19.42	17.82	16.47
peak70	chr1	9452495	9467345	.	14851	98.65	111.66	121.77	120.43
peak71	chr1	9470063	9480148	.	10086	57.77	61.17	58.41	72.05
peak72	chr1	9489332	9545509	.	56178	1053.1	1057.33	1038.53	1114.78
peak73	chr1	9574518	9636804	.	62287	1008.67	1038.88	1036.55	993.31
peak74	chr1	9638027	9666455	.	28429	912.69	905.86	920.72	904.79
peak75	chr1	9694223	9720592	.	26370	559.88	568.96	561.34	542.46
peak76	chr1	9748302	9855978	.	107677	4155.53	4290.48	4147.18	4128.68
peak77	chr1	9861232	9865220	.	3989	55.1	70.88	62.37	63.82
peak78	chr1	9879382	9883286	.	3905	43.55	43.69	27.72	35
peak79	chr1	9901320	9929877	.	28558	1188.18	1241.8	1164.26	1156.98
peak80	chr1	9947379	9977223	.	29845	3867.6	3952.6	3970.96	3867.23
peak81	chr1	9980761	9984276	.	3516	207.07	225.25	215.82	180.13
peak82	chr1	9988251	10017567	.	29317	995.34	1007.81	1000.91	1071.54
peak83	chr1	10234464	10252985	.	18522	1002.45	1043.74	1001.9	1010.81
peak84	chr1	10254285	10285115	.	30831	867.37	949.56	842.5	889.35
peak85	chr1	10287230	10364163	.	76934	1195.29	1235.01	1197.92	1260.94
peak86	chr1	10369412	10375701	.	6290	46.21	30.1	45.54	28.82
peak87	chr1	10388049	10400639	.	12591	68.43	69.91	77.22	77.2
peak88	chr1	10411157	10423724	.	12568	87.09	62.14	66.33	80.29
peak90	chr1	10787588	10792957	.	5370	24.88	23.3	28.71	26.76
peak91	chr1	10817189	10821571	.	4383	79.09	64.08	81.18	84.41
peak92	chr1	10886941	10895979	.	9039	73.76	57.28	80.19	75.14
peak93	chr1	10974442	10981401	.	6960	52.43	62.14	47.52	41.17
peak94	chr1	10986709	10998518	.	11810	45.32	33.01	43.56	41.17
peak95	chr1	11008218	11014396	.	6179	8.89	2.91	5.94	3.09
peak97	chr1	11190230	11219388	.	29159	33.77	42.72	51.48	65.88
peak98	chr1	11236263	11254557	.	18295	41.77	37.87	46.53	45.29
peak99	chr1	11257851	11264206	.	6356	55.1	53.4	58.41	62.79
peak100	chr1	11411190	11416766	.	5577	18.66	16.51	10.89	15.44
peak101	chr1	11616003	11625239	.	9237	113.75	93.21	99.99	97.79
peak104	chr1	12688955	12697315	.	8361	52.43	52.43	54.45	46.32
peak105	chr1	12716776	12720643	.	3868	12.44	5.83	9.9	11.32
peak106	chr1	12812618	12817223	.	4606	15.11	6.8	9.9	12.35
peak107	chr1	12828204	12929843	.	101640	1418.36	1259.28	1332.56	1457.55
peak108	chr1	12931892	12977684	.	45793	357.26	329.14	311.86	326.3
peak109	chr1	12980099	13085549	.	105451	2413.69	2385.54	2380.99	2430.27
peak110	chr1	13091721	13134878	.	43158	3815.16	3841.92	3834.34	3852.82
peak111	chr1	13208017	13213933	.	5917	63.1	65.05	43.56	60.73
peak112	chr1	13376112	13420200	.	44089	836.26	834.02	887.06	822.44
peak114	chr1	13427025	13459478	.	32454	1115.31	1137.91	1093.97	1194.03
peak115	chr1	13463353	13514091	.	50739	2412.8	2411.76	2394.85	2518.8
peak116	chr1	13521936	13550204	.	28269	842.48	834.02	828.64	828.62
peak117	chr1	13595474	13614715	.	19242	472.79	500.02	446.5	493.05
peak118	chr1	13666068	13695687	.	29620	2129.31	2111.74	2063.2	2277.93
peak119	chr1	13698730	13730976	.	32247	1605.87	1547.64	1533.54	1532.69
peak120	chr1	13737412	13813389	.	75978	1087.76	1082.57	1083.08	1114.78
peak121	chr1	13818066	13850144	.	32079	356.37	359.24	372.25	348.95
peak122	chr1	13852556	13861699	.	9144	66.65	65.05	58.41	63.82
peak123	chr1	13867814	13888107	.	20294	187.51	182.53	162.36	177.05
peak124	chr1	13903691	13907778	.	4088	16.89	17.48	14.85	26.76
peak125	chr1	13927172	13939726	.	12555	63.99	75.73	93.06	70
peak128	chr1	14300693	14315697	.	15005	514.55	495.17	528.67	480.7
peak130	chr1	14499340	14513879	.	14540	812.27	768.97	800.92	769.95
peak132	chr1	14568974	14575301	.	6328	31.1	28.16	38.61	40.14
peak133	chr1	14666843	14687346	.	20504	173.3	164.08	171.27	173.96
peak134	chr1	14709173	14714320	.	5148	48.88	51.46	63.36	53.53
peak135	chr1	14720453	14796095	.	75643	813.16	739.84	799.93	803.91
peak136	chr1	14802659	14823322	.	20664	223.06	238.85	207.9	176.02
peak137	chr1	14826399	14876086	.	49688	497.67	496.14	481.15	539.37
peak138	chr1	14880424	14922944	.	42521	582.09	553.42	619.75	599.08
peak139	chr1	14929674	14950590	.	20917	260.39	279.62	284.13	296.45
peak140	chr1	14999108	15016369	.	17262	138.64	129.13	113.85	120.43
peak141	chr1	15023869	15030134	.	6266	23.99	38.84	38.61	36.03
peak143	chr1	15284916	15289047	.	4132	22.22	19.42	15.84	17.5
peak149	chr1	15712717	15723069	.	10353	67.54	61.17	59.4	51.47
peak150	chr1	15746981	15757107	.	10127	78.21	78.64	93.06	75.14
peak151	chr1	15765058	15801660	.	36603	1779.17	1767.07	1653.33	1699.44
peak152	chr1	15858929	15915354	.	56426	1301.05	1311.71	1370.18	1363.88
peak153	chr1	15919200	15930921	.	11722	101.31	86.41	94.05	93.67
peak154	chr1	15938148	15953658	.	15511	145.75	151.46	148.5	149.25
peak155	chr1	15973738	15994321	.	20584	161.74	155.35	153.45	160.58
peak156	chr1	15998590	16009953	.	11364	79.09	67.96	78.21	78.23
peak157	chr1	16018120	16035544	.	17425	113.75	133.99	106.92	126.61
peak159	chr1	16045760	16097505	.	51746	1158.86	1161.22	1151.39	1219.77
peak160	chr1	16104167	16107633	.	3467	24.88	14.56	24.75	17.5
peak161	chr1	16137178	16161148	.	23971	1116.2	1156.36	1118.72	1165.21
peak162	chr1	16164513	16176458	.	11946	247.06	252.44	246.51	252.19
peak163	chr1	16179534	16261031	.	81498	3772.51	3804.05	3667.02	3827.09
peak164	chr1	16264650	16346336	.	81687	2392.36	2480.69	2383.96	2492.03
peak165	chr1	16349557	16494565	.	145009	2977.13	3025.38	3086.87	2966.56
peak166	chr1	16506748	16540311	.	33564	3112.21	3363.25	3283.89	3182.72
peak167	chr1	16548186	16553526	.	5341	90.65	93.21	90.09	91.61
peak168	chr1	16616895	16637987	.	21093	596.31	567.02	568.27	563.05
peak169	chr1	16656807	16663920	.	7114	107.53	113.6	108.9	114.26
peak170	chr1	16697318	16700973	.	3656	54.21	55.34	26.73	40.14
peak171	chr1	16711963	16737375	.	25413	833.6	816.54	806.86	797.74
peak172	chr1	16749949	16842580	.	92632	2447.46	2443.8	2381.98	2277.93
peak173	chr1	16846047	16862699	.	16653	118.2	106.8	103.95	108.08
peak174	chr1	16892183	16898115	.	5933	69.32	46.6	52.47	48.38
peak175	chr1	16900731	16908478	.	7748	31.1	47.57	41.58	41.17
peak176	chr1	16937032	16941934	.	4903	56.88	36.89	46.53	35
peak177	chr1	17092111	17109528	.	17418	407.02	416.52	407.89	416.88
peak178	chr1	17121507	17124395	.	2889	12.44	10.68	19.8	11.32
peak181	chr1	18056514	18060432	.	3919	21.33	22.33	21.78	31.91
peak182	chr1	19100052	19111511	.	11460	70.21	65.05	76.23	64.85
peak183	chr1	19200936	19243562	.	42627	1201.51	1308.8	1272.17	1232.12
peak186	chr1	20598745	20631307	.	32563	207.07	216.51	217.8	235.72
peak187	chr1	20649334	20709286	.	59953	564.32	589.35	543.52	540.4
peak188	chr1	20712423	20795846	.	83424	4747.4	4817.69	4721.39	4646.44
peak189	chr1	20820389	20869420	.	49032	2015.56	2039.9	2051.32	1950.6
peak190	chr1	20873041	20904585	.	31545	1546.33	1509.77	1543.44	1567.68
peak191	chr1	20908344	20913720	.	5377	135.08	163.11	157.41	154.4
peak192	chr1	20916708	20997628	.	80921	1593.43	1559.29	1707.78	1522.39
peak193	chr1	21016661	21021886	.	5226	71.1	73.79	71.28	79.26
peak194	chr1	21024222	21031663	.	7442	55.99	50.49	40.59	40.14
peak195	chr1	21074349	21098303	.	23955	1096.65	1068.98	1148.42	1118.89
peak196	chr1	21101726	21121238	.	19513	337.7	295.16	337.6	331.45
peak197	chr1	21124114	21185254	.	61141	926.91	921.4	982.1	918.17
peak198	chr1	21188764	21221274	.	32511	689.63	637.89	640.54	623.78
peak199	chr1	21231538	21325067	.	93530	1684.08	1795.22	1710.75	1608.86
peak200	chr1	21332092	21343975	.	11884	119.97	131.07	119.79	121.46
peak201	chr1	21346163	21395936	.	49774	373.25	341.76	411.85	373.65
peak202	chr1	21415345	21423253	.	7909	34.66	44.66	31.68	37.06
peak203	chr1	21430621	21446901	.	16281	159.08	147.58	123.75	128.67
peak204	chr1	21489007	21493056	.	4050	22.22	42.72	29.7	33.97
peak205	chr1	21514550	21519747	.	5198	68.43	58.25	53.46	52.5
peak208	chr1	21555950	21564801	.	8852	62.21	62.14	62.37	58.67
peak209	chr1	21567098	21577942	.	10845	81.76	80.59	84.15	75.14
peak212	chr1	21722054	21736461	.	14408	107.53	91.27	101.97	78.23
peak213	chr1	21860238	21865721	.	5484	41.77	55.34	64.35	61.76
peak214	chr1	21957324	21996938	.	39615	1071.77	1060.24	1101.89	1062.28
peak215	chr1	22003176	22056387	.	53212	431.91	418.46	370.27	426.15
peak216	chr1	22065051	22074129	.	9079	38.21	51.46	49.5	46.32
peak217	chr1	22093547	22101370	.	7824	49.77	39.81	62.37	40.14
peak218	chr1	22102591	22117336	.	14746	81.76	84.47	81.18	68.97
peak219	chr1	22126664	22131883	.	5220	21.33	26.21	31.68	25.73
peak220	chr1	22168625	22172536	.	3912	15.11	10.68	9.9	8.23
peak222	chr1	22240349	22258817	.	18469	57.77	65.05	46.53	55.58
peak223	chr1	22262056	22283152	.	21097	76.43	61.17	77.22	74.11
peak224	chr1	22289116	22295955	.	6840	27.55	21.36	20.79	21.62
peak225	chr1	22529382	22537604	.	8223	76.43	78.64	79.2	74.11
peak226	chr1	22800602	22810331	.	9730	103.98	98.06	107.91	89.55
peak228	chr1	23198986	23210309	.	11324	32.88	29.13	26.73	26.76
peak229	chr1	23223284	23243239	.	19956	136.86	104.86	127.71	116.32
peak230	chr1	23247093	23297320	.	50228	1331.26	1356.37	1302.86	1347.41
peak231	chr1	23312109	23368068	.	55960	456.79	453.42	419.77	398.35
peak232	chr1	23376893	23396275	.	19383	530.55	553.42	540.55	542.46
peak233	chr1	23401500	23424211	.	22712	378.58	360.21	348.49	371.59
peak234	chr1	23428936	23442302	.	13367	137.75	136.9	132.66	167.78
peak235	chr1	23471001	23479357	.	8357	39.99	48.55	43.56	41.17
peak236	chr1	23494391	23504231	.	9841	42.66	38.84	44.55	51.47
peak237	chr1	23752584	23773766	.	21183	503.89	550.51	548.47	506.44
peak238	chr1	23788503	23837412	.	48910	598.09	609.74	615.79	604.22
peak239	chr1	23927732	23992052	.	64321	2542.55	2600.11	2536.42	2575.41
peak240	chr1	24004445	24067912	.	63468	2792.28	2783.62	2765.12	2629.96
peak241	chr1	24084071	24107323	.	23253	2187.08	2267.09	2173.09	2217.2
peak242	chr1	24124302	24147041	.	22740	250.61	246.61	248.49	216.16
peak243	chr1	24148405	24151083	.	2679	11.55	21.36	23.76	16.47
peak244	chr1	24156625	24172536	.	15912	74.65	62.14	77.22	66.91
peak246	chr1	24578859	24591520	.	12662	44.43	54.37	50.49	50.44
peak247	chr1	24627983	24639087	.	11105	41.77	48.55	35.64	36.03
peak248	chr1	24654715	24678721	.	24007	762.5	758.29	719.74	743.18
peak253	chr1	25827719	25832323	.	4605	13.33	16.51	10.89	9.26
peak255	chr1	29643273	29649656	.	6384	52.43	66.02	58.41	72.05
peak256	chr1	30767170	30798073	.	30904	582.98	609.74	566.29	605.25
peak257	chr1	30871815	30945432	.	73618	1745.4	1679.69	1724.61	1727.23
peak258	chr1	30951327	31016842	.	65516	1556.1	1539.87	1528.59	1567.68
peak259	chr1	31130254	31135689	.	5436	15.11	11.65	13.86	12.35
peak260	chr1	31139679	31144692	.	5014	8.89	18.45	8.91	11.32
peak261	chr1	31150266	31160024	.	9759	32.88	33.01	38.61	28.82
peak263	chr1	32170969	32175669	.	4701	20.44	18.45	17.82	15.44
peak267	chr1	33374538	33394398	.	19861	169.74	170.88	199.98	177.05
peak269	chr1	33413200	33445028	.	31829	345.7	326.23	332.65	347.92
peak270	chr1	33561725	33571006	.	9282	24.88	21.36	23.76	25.73
peak271	chr1	33670173	33721311	.	51139	2585.21	2537.98	2576.02	2588.79
peak272	chr1	33753661	33759757	.	6097	62.21	70.88	60.39	59.7
peak274	chr1	33817299	33837410	.	20112	838.93	800.04	786.07	818.33
peak275	chr1	33840622	33926006	.	85385	4774.07	4974.98	4990.68	4882.16
peak276	chr1	33931178	33987644	.	56467	885.14	926.25	919.73	942.88
peak277	chr1	33993775	34018239	.	24465	1216.62	1274.81	1185.05	1183.74
peak278	chr1	34022926	34032969	.	10044	162.63	161.17	153.45	150.28
peak279	chr1	34039010	34084704	.	45695	394.58	405.84	386.11	389.09
peak280	chr1	34096347	34108836	.	12490	119.09	100.98	90.09	84.41
peak281	chr1	34125899	34142081	.	16183	79.09	70.88	55.44	88.52
peak283	chr1	34214799	34223741	.	8943	73.76	56.31	56.43	51.47
peak285	chr1	34231176	34243887	.	12712	330.59	343.7	335.62	352.03
peak286	chr1	34312043	34346124	.	34082	260.39	232.05	257.4	271.75
peak287	chr1	34351771	34431804	.	80034	1691.19	1760.27	1632.54	1584.15
peak288	chr1	34449738	34469986	.	20249	766.05	789.36	806.86	792.59
peak289	chr1	34490672	34508304	.	17633	1020.22	999.07	951.41	960.37
peak290	chr1	34514035	34588502	.	74468	3121.09	3106.93	3088.85	3007.73
peak291	chr1	34590555	34663102	.	72548	819.38	820.42	823.69	777.15
peak292	chr1	34668928	34694484	.	25557	308.38	281.57	310.87	278.95
peak293	chr1	34695739	34723275	.	27537	300.38	230.11	293.05	282.04
peak294	chr1	34726609	34798556	.	71948	2389.7	2492.34	2428.51	2498.21
peak295	chr1	34881046	34911029	.	29984	782.05	782.56	812.8	813.18
peak296	chr1	34944940	34949821	.	4882	29.33	41.75	40.59	28.82
peak298	chr1	35285628	35313759	.	28132	41.77	31.07	42.57	40.14
peak299	chr1	35322489	35427877	.	105389	178.63	163.11	189.09	162.64
peak300	chr1	35432413	35469275	.	36863	127.97	114.57	123.75	132.78
peak301	chr1	35479182	35488959	.	9778	62.21	50.49	57.42	66.91
peak302	chr1	35492635	35560681	.	68047	392.8	348.56	338.59	362.33
peak303	chr1	35568956	35571822	.	2867	17.77	13.59	10.89	10.29
peak304	chr1	35589805	35598839	.	9035	89.76	76.7	74.25	82.35
peak305	chr1	35602106	35621230	.	19125	192.85	191.27	174.24	202.78
peak306	chr1	35624958	35651013	.	26056	411.47	408.76	393.04	405.56
peak307	chr1	35656488	35706229	.	49742	747.39	699.06	725.68	709.22
peak308	chr1	35707279	35757088	.	49810	744.73	771.88	757.36	756.56
peak309	chr1	35758342	35765044	.	6703	47.99	49.52	59.4	57.64
peak310	chr1	35769498	35788445	.	18948	243.5	238.85	217.8	218.22
peak311	chr1	35792767	35809572	.	16806	185.74	157.29	189.09	179.11
peak312	chr1	35823267	35847337	.	24071	330.59	305.84	278.19	314.98
peak313	chr1	35851435	35862729	.	11295	175.96	154.38	145.53	155.43
peak314	chr1	35866237	35933355	.	67119	1335.71	1322.39	1222.67	1299.03
peak315	chr1	35936607	35990573	.	53967	979.34	958.29	924.68	957.29
peak316	chr1	35993510	35997361	.	3852	71.1	76.7	79.2	68.97
peak317	chr1	36009186	36039444	.	30259	1455.68	1507.83	1513.74	1500.78
peak318	chr1	36042532	36072137	.	29606	1208.62	1272.87	1301.87	1373.14
peak319	chr1	36107387	36138144	.	30758	682.52	703.91	691.03	705.1
peak320	chr1	36245100	36255522	.	10423	243.5	252.44	241.56	259.39
peak321	chr1	36285452	36310787	.	25336	328.82	358.27	356.41	319.1
peak322	chr1	36367310	36406289	.	38980	1684.96	1669.01	1648.38	1669.59
peak323	chr1	36409785	36415874	.	6090	95.98	127.19	130.68	126.61
peak324	chr1	36444372	36469459	.	25088	876.25	889.36	843.49	823.47
peak325	chr1	36547264	36568025	.	20762	798.05	854.41	897.95	794.65
peak326	chr1	36575195	36612733	.	37539	807.82	782.56	727.66	739.07
peak327	chr1	36613993	36691472	.	77480	2202.18	2213.69	2194.87	2219.26
peak328	chr1	36719945	36758222	.	38278	1135.75	1197.14	1162.28	1125.07
peak329	chr1	36935242	36953609	.	18368	752.72	762.17	696.97	710.24
peak330	chr1	36964533	36995402	.	30870	836.26	811.69	829.63	830.68
peak331	chr1	37007071	37029825	.	22755	1292.16	1313.65	1313.75	1376.23
peak332	chr1	37034333	37125158	.	90826	2067.1	1968.05	1970.13	1950.6
peak333	chr1	37127367	37232622	.	105256	1836.93	1895.23	1915.68	1934.13
peak334	chr1	37233297	37352772	.	119476	3256.18	3325.39	3161.12	3317.56
peak335	chr1	37495842	37518125	.	22284	245.28	248.55	260.37	231.6
peak336	chr1	37537084	37614239	.	77156	2427.02	2453.51	2562.16	2505.41
peak337	chr1	37621593	37773903	.	152311	4256.85	4341.94	4324.39	4271.76
peak338	chr1	37778487	37826017	.	47531	1685.85	1642.79	1644.42	1759.14
peak339	chr1	37839408	37872316	.	32909	1501.89	1523.37	1502.85	1472.99
peak340	chr1	37901461	37985147	.	83687	2807.39	2855.47	2764.13	2880.09
peak341	chr1	38126814	38157479	.	30666	950.01	962.18	1006.85	963.46
peak342	chr1	38161188	38176016	.	14829	160.85	168.94	234.63	182.19
peak343	chr1	38371028	38377232	.	6205	57.77	49.52	50.49	33.97
peak344	chr1	38406901	38429316	.	22416	195.51	200.01	217.8	206.9
peak345	chr1	38458920	38464903	.	5984	47.1	36.89	51.48	36.03
peak346	chr1	38478811	38488426	.	9616	101.31	79.62	106.92	70
peak347	chr1	38550882	38562265	.	11384	117.31	132.04	105.93	125.58
peak348	chr1	38568394	38582963	.	14570	121.75	105.83	113.85	103.96
peak349	chr1	38588142	38604363	.	16222	155.52	159.23	155.43	171.9
peak350	chr1	38617779	38646151	.	28373	1212.18	1242.77	1311.77	1341.23
peak351	chr1	38656955	38704840	.	47886	4422.14	4551.66	4578.83	4688.64
peak352	chr1	38709155	38862950	.	153796	4217.74	4249.7	4404.59	4270.73
peak353	chr1	38874396	38880759	.	6364	67.54	61.17	46.53	48.38
peak354	chr1	38896749	38986868	.	90120	3887.15	3923.47	3946.21	3761.21
peak355	chr1	38999812	39042622	.	42811	1629.87	1676.77	1650.36	1656.21
peak356	chr1	39048364	39060168	.	11805	316.38	273.8	272.25	282.04
peak357	chr1	39060853	39133666	.	72814	2695.41	2782.65	2820.56	2648.49
peak358	chr1	39134221	39243799	.	109579	3017.12	3071.98	3153.2	2952.15
peak359	chr1	39246392	39284130	.	37739	491.45	482.55	545.5	501.29
peak360	chr1	39285733	39369274	.	83542	2146.2	2163.2	2169.13	2164.7
peak361	chr1	39379543	39441699	.	62157	720.73	667.02	724.69	721.57
peak362	chr1	39442361	39459722	.	17362	266.61	304.87	265.32	246.01
peak363	chr1	39464678	39538218	.	73541	2703.41	2773.91	2768.09	2833.77
peak364	chr1	39579623	39599876	.	20254	1238.84	1302.97	1166.24	1236.24
peak365	chr1	39603278	39638282	.	35005	1814.71	1852.51	1793.91	1739.58
peak366	chr1	39644116	39685957	.	41842	2238.62	2263.21	2192.89	2183.23
peak367	chr1	39686627	39706895	.	20269	670.96	721.39	692.02	699.95
peak368	chr1	39711365	39810144	.	98780	3180.64	3174.9	3164.09	3275.36
peak369	chr1	39811422	39839511	.	28090	1724.96	1827.26	1814.7	1780.76
peak370	chr1	39842387	39899886	.	57500	2956.69	3062.27	3084.89	3209.48
peak371	chr1	40036039	40040727	.	4689	36.44	34.95	32.67	38.09
peak372	chr1	40052226	40074284	.	22059	265.72	267.97	289.08	269.69
peak373	chr1	40075706	40153200	.	77495	1501.89	1528.22	1519.68	1569.74
peak374	chr1	40155014	40281070	.	126057	3557.44	3643.85	3598.71	3620.19
peak375	chr1	40284065	40482169	.	198105	2467.9	2441.85	2609.68	2556.88
peak376	chr1	40492867	40506965	.	14099	20.44	22.33	32.67	24.7
peak377	chr1	40521743	40531406	.	9664	10.66	14.56	17.82	17.5
peak378	chr1	40543240	40657164	.	113925	7218.86	7381.88	7311.28	7197.15
peak379	chr1	40663502	40693693	.	30192	2451.02	2409.81	2514.64	2450.86
peak380	chr1	40700526	40772809	.	72284	1929.36	1943.77	1879.05	1915.6
peak381	chr1	40786464	40898399	.	111936	2012	1942.8	2047.36	1930.01
peak382	chr1	40898979	40923161	.	24183	103.09	110.68	104.94	101.9
peak384	chr1	42672641	42721270	.	48630	4040.89	4339.03	4465.97	4190.44
peak385	chr1	42742385	42784146	.	41762	319.04	337.88	337.6	257.34
peak386	chr1	42788833	42804874	.	16042	137.75	142.72	127.71	138.96
peak387	chr1	42828101	42851676	.	23576	1659.19	1671.92	1615.71	1714.88
peak388	chr1	42909694	43047134	.	137441	3925.36	3878.81	3689.79	3746.8
peak389	chr1	43154213	43185555	.	31343	960.68	909.75	962.3	927.44
peak390	chr1	43190935	43198689	.	7755	215.95	194.18	210.87	213.07
peak391	chr1	43202899	43224646	.	21748	884.25	871.88	853.39	851.26
peak392	chr1	43231659	43356799	.	125141	4911.81	4856.52	4866.92	4927.45
peak393	chr1	43360762	43417320	.	56559	1482.34	1401.03	1419.68	1499.75
peak394	chr1	43418942	43443549	.	24608	725.17	670.9	683.11	686.57
peak395	chr1	43575229	43591722	.	16494	202.62	194.18	170.28	208.96
peak396	chr1	43593654	43668155	.	74502	4870.04	4862.35	4782.77	4899.66
peak397	chr1	43671466	43698464	.	26999	871.81	880.62	884.09	892.44
peak398	chr1	43703940	43732600	.	28661	1176.63	1238.89	1261.28	1244.47
peak399	chr1	43733010	43738571	.	5562	87.09	89.32	78.21	74.11
peak400	chr1	43827813	43848605	.	20793	790.05	767.99	765.28	814.21
peak401	chr1	43852397	43893614	.	41218	1489.45	1599.1	1559.28	1520.34
peak402	chr1	43897133	43936415	.	39283	1590.76	1676.77	1632.54	1607.83
peak403	chr1	44014574	44037912	.	23339	942.9	977.71	935.57	951.11
peak404	chr1	44039334	44072224	.	32891	1510.78	1572.88	1500.87	1527.54
peak405	chr1	44115613	44119169	.	3557	18.66	9.71	19.8	19.56
peak406	chr1	44183280	44211004	.	27725	1533	1559.29	1554.33	1536.8
peak407	chr1	44213556	44236072	.	22517	643.41	666.05	725.68	696.86
peak408	chr1	44238786	44244903	.	6118	97.76	111.66	127.71	125.58
peak409	chr1	44248596	44265302	.	16707	109.31	112.63	117.81	131.76
