peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K27ac_Rep1_S1	Naive_P14_Day30_H3K27ac_Rep2_S2	Naive_P14_Day30_H3K27ac_Rep3_S3	Naive_P14_Day30_H3K27ac_Rep4_S4	Naive_P14_Day32_H3K27ac_Rep1_S9	Naive_P14_Day32_H3K27ac_Rep2_S10	Naive_P14_Day32_H3K27ac_Rep3_S11	Naive_P14_Day32_H3K27ac_Rep4_S12
peak46	chr1	10230853	10234203	.	3351	150.75	132.52	141.7	132.38	174.66	163.31	172.43	146.5
peak47	chr1	10256509	10258343	.	1835	6.48	8.51	10.65	12.99	10.34	11.74	4.86	6.88
peak50	chr1	11228979	11230683	.	1705	49.44	43.77	38.5	38.98	44.81	29.89	35.21	46.21
peak51	chr1	12864152	12865937	.	1786	29.99	25.53	26.21	24.37	18.39	14.94	29.14	24.58
peak53	chr1	13154481	13156395	.	1915	19.45	32.83	32.76	31.67	34.47	30.95	30.36	29.5
peak54	chr1	13161102	13164174	.	3073	118.33	116.71	131.05	128.32	139.04	134.49	115.36	133.71
peak55	chr1	13170948	13173427	.	2480	39.71	49.85	44.23	39.8	47.11	55.5	63.14	53.09
peak56	chr1	13231132	13233157	.	2026	37.28	43.77	35.22	47.11	62.05	43.76	58.29	35.39
peak57	chr1	13244854	13246861	.	2008	50.25	38.9	50.78	32.49	58.6	52.3	51	58.01
peak58	chr1	13265317	13269838	.	4522	363.1	373.23	389.06	368.73	401.03	410.95	375.22	426.71
peak59	chr1	13279785	13280872	.	1088	25.94	21.88	26.21	17.87	37.92	27.75	15.79	19.66
peak60	chr1	13287530	13289794	.	2265	81.86	81.46	100.75	97.46	109.16	84.32	103.22	129.78
peak61	chr1	13292633	13295866	.	3234	440.9	448.61	457.05	484.06	494.1	496.34	444.43	493.56
peak62	chr1	13300997	13302941	.	1945	136.97	145.89	142.52	153.5	135.59	130.22	116.57	134.7
peak63	chr1	13311483	13312943	.	1461	58.35	52.28	57.34	54.42	50.56	67.25	65.57	55.06
peak64	chr1	13335600	13337335	.	1736	85.1	65.65	72.9	78.78	79.29	74.72	77.71	91.44
peak65	chr1	13351584	13352812	.	1229	22.69	18.24	29.49	26.8	24.13	30.95	23.07	24.58
peak66	chr1	13371727	13373280	.	1554	111.04	104.55	111.39	99.9	120.65	122.75	111.72	106.18
peak67	chr1	13373822	13375410	.	1589	85.1	85.1	81.91	68.22	71.24	72.58	85	63.91
peak68	chr1	13381511	13383905	.	2395	5.67	10.94	13.92	9.75	6.89	10.67	4.86	5.9
peak69	chr1	13425642	13427826	.	2185	60.79	44.98	53.24	70.66	57.45	57.64	68	70.79
peak71	chr1	13513162	13514643	.	1482	42.15	42.55	44.23	47.11	42.52	29.89	47.36	34.41
peak72	chr1	13520684	13522786	.	2103	54.3	35.26	46.69	32.49	51.71	42.7	61.93	48.18
peak73	chr1	13558801	13560796	.	1996	102.93	98.48	117.95	118.58	96.52	122.75	117.79	129.78
peak74	chr1	13572913	13576127	.	3215	46.2	43.77	58.97	59.29	41.37	56.57	53.43	66.86
peak75	chr1	13587786	13589289	.	1504	92.4	92.4	107.3	93.4	79.29	85.39	86.21	82.59
peak76	chr1	13589508	13590528	.	1021	40.52	41.34	29.49	25.18	27.58	48.03	26.71	49.16
peak77	chr1	13592698	13594372	.	1675	159.67	134.95	147.43	147.82	166.62	161.18	170	196.64
peak78	chr1	13638802	13640934	.	2133	8.1	12.16	16.38	12.18	16.09	11.74	17	10.82
peak79	chr1	13651128	13652717	.	1590	12.16	9.73	9.01	12.99	13.79	10.67	9.71	7.87
peak80	chr1	13658480	13661138	.	2659	183.17	177.5	171.19	187.61	202.24	203.87	190.64	198.61
peak81	chr1	14756489	14758795	.	2307	0.81	3.65	0	0	3.45	4.27	3.64	0.98
peak82	chr1	14761388	14763424	.	2037	0	2.43	0	2.44	2.3	1.07	6.07	6.88
peak83	chr1	14923608	14925527	.	1920	5.67	8.51	10.65	10.56	13.79	17.08	7.29	10.82
peak84	chr1	15543026	15545003	.	1978	2.43	0	0.82	0.81	5.75	3.2	3.64	0.98
peak85	chr1	15798527	15799756	.	1230	9.73	6.08	9.01	4.87	11.49	3.2	2.43	2.95
peak86	chr1	15804826	15807065	.	2240	228.56	226.13	227.7	251.77	221.77	228.42	199.14	189.76
peak87	chr1	15816772	15818902	.	2131	26.75	18.24	20.48	23.55	16.09	26.68	17	19.66
peak88	chr1	15849481	15851429	.	1949	29.18	32.83	30.31	29.24	28.73	23.48	31.57	22.61
peak89	chr1	16102821	16105311	.	2491	148.32	145.89	181.84	157.56	168.91	166.51	178.5	185.82
peak90	chr1	16176635	16179116	.	2482	39.71	32.83	37.68	47.92	73.54	33.09	42.5	30.48
peak91	chr1	16227104	16228773	.	1670	25.94	24.31	31.94	30.86	48.26	17.08	37.64	30.48
peak92	chr1	16606335	16607308	.	974	25.13	13.37	22.93	25.18	28.73	25.62	20.64	21.63
peak93	chr1	16616544	16620057	.	3514	163.72	170.2	145.8	174.62	159.72	160.11	166.36	192.71
peak94	chr1	16641394	16643997	.	2604	127.25	132.52	128.6	144.57	172.36	157.98	159.07	181.89
peak95	chr1	16655773	16657831	.	2059	223.69	226.13	215.42	235.53	194.19	212.41	205.22	189.76
peak96	chr1	16664678	16666495	.	1818	124	130.08	117.95	117.77	137.89	102.47	123.86	103.24
peak97	chr1	16687085	16689778	.	2694	165.34	211.54	170.37	209.54	203.39	197.47	222.22	230.07
peak99	chr1	16746319	16749054	.	2736	46.2	41.34	43.41	39.8	35.62	45.9	43.71	42.28
peak100	chr1	20818548	20820848	.	2301	63.22	55.92	69.62	72.28	74.69	56.57	82.57	58.01
peak101	chr1	20824846	20826233	.	1388	25.13	31.61	31.94	25.18	21.83	25.62	25.5	23.6
peak102	chr1	20890181	20891736	.	1556	55.92	49.85	63.89	65.79	52.86	76.85	49.79	48.18
peak103	chr1	20912018	20913566	.	1549	49.44	42.55	55.7	61.73	50.56	54.44	46.14	48.18
peak105	chr1	20950843	20952445	.	1603	34.85	21.88	27.03	31.67	22.98	24.55	21.86	22.61
peak107	chr1	21028777	21030012	.	1236	48.63	40.12	55.7	50.35	74.69	61.91	51	65.87
peak108	chr1	21051661	21053113	.	1453	85.1	77.81	75.36	77.97	85.03	77.92	70.43	83.57
peak109	chr1	21077805	21080060	.	2256	53.49	55.92	40.13	45.48	51.71	43.76	47.36	33.43
peak110	chr1	21218037	21219755	.	1719	154.8	145.89	154.81	183.55	142.49	130.22	143.29	129.78
peak111	chr1	21270514	21272251	.	1738	26.75	25.53	38.5	34.92	37.92	32.02	43.71	27.53
peak112	chr1	21276965	21278121	.	1157	17.02	25.53	23.75	21.93	21.83	14.94	21.86	18.68
peak113	chr1	21289954	21292058	.	2105	11.35	15.8	17.2	17.87	14.94	12.81	13.36	18.68
peak114	chr1	21303876	21305379	.	1504	9.73	9.73	14.74	11.37	10.34	13.88	12.14	13.76
peak115	chr1	21316304	21317922	.	1619	8.92	12.16	8.19	16.24	1.15	4.27	9.71	14.75
peak116	chr1	21323247	21326102	.	2856	24.31	31.61	25.39	27.61	39.07	22.42	38.86	31.46
peak117	chr1	21331578	21334800	.	3223	110.23	117.93	112.21	98.27	117.21	104.61	110.5	123.88
peak118	chr1	21343222	21344672	.	1451	12.16	17.02	5.73	6.5	11.49	7.47	7.29	6.88
peak120	chr1	21780539	21781806	.	1268	26.75	23.1	22.93	25.18	25.28	25.62	9.71	22.61
peak121	chr1	21829223	21830851	.	1629	38.09	32.83	36.04	53.6	55.16	44.83	55.86	53.09
peak123	chr1	21870153	21871696	.	1544	4.05	6.08	1.64	4.06	1.15	1.07	4.86	3.93
peak125	chr1	21959908	21961478	.	1571	35.66	36.47	42.59	46.29	35.62	41.63	48.57	39.33
peak126	chr1	21962459	21964489	.	2031	43.77	47.41	48.33	49.54	43.67	39.49	37.64	39.33
peak127	chr1	23271535	23273598	.	2064	32.42	34.04	32.76	25.99	35.62	26.68	20.64	27.53
peak128	chr1	23320395	23322175	.	1781	22.69	27.96	31.94	22.74	17.24	11.74	21.86	26.55
peak129	chr1	23399205	23401268	.	2064	45.39	58.36	46.69	51.98	57.45	44.83	48.57	57.03
peak130	chr1	23840779	23842735	.	1957	12.16	10.94	17.2	16.24	16.09	11.74	12.14	10.82
peak131	chr1	23882421	23885024	.	2604	43.77	55.92	49.96	59.29	40.22	53.37	40.07	36.38
peak132	chr1	23914890	23918411	.	3522	113.47	119.14	108.94	112.08	131	107.81	117.79	115.03
peak133	chr1	23920835	23925094	.	4260	78.62	87.53	71.26	78.78	75.84	69.38	69.21	81.61
peak134	chr1	23934334	23936474	.	2141	3.24	4.86	3.28	4.06	4.6	4.27	2.43	2.95
peak136	chr1	24004673	24006104	.	1432	80.24	83.89	73.72	74.72	74.69	70.45	72.86	60.96
peak137	chr1	24107420	24110630	.	3211	0.81	6.08	4.1	2.44	2.3	2.13	10.93	4.92
peak138	chr1	24677431	24680098	.	2668	152.37	134.95	122.86	144.57	127.55	148.37	142.07	163.21
peak139	chr1	24755679	24756869	.	1191	7.29	14.59	13.92	9.75	8.04	10.67	6.07	2.95
peak140	chr1	25016103	25017818	.	1716	32.42	24.31	28.67	27.61	48.26	49.1	48.57	45.23
peak141	chr1	30808938	30811300	.	2363	17.83	17.02	21.3	19.49	20.68	13.88	26.71	11.8
peak142	chr1	30832633	30834230	.	1598	21.07	27.96	22.12	16.24	22.98	13.88	19.43	19.66
peak143	chr1	30839095	30840897	.	1803	65.65	48.63	43.41	55.23	73.54	54.44	57.07	60.96
peak144	chr1	30851717	30853636	.	1920	41.33	27.96	41.77	34.11	27.58	32.02	35.21	43.26
peak145	chr1	30859859	30862443	.	2585	34.04	31.61	35.22	34.11	29.88	38.43	30.36	38.34
peak146	chr1	30871771	30875223	.	3453	265.84	269.9	241.63	283.45	268.88	266.85	253.79	285.13
peak147	chr1	30897829	30899557	.	1729	3.24	6.08	2.46	0.81	3.45	2.13	13.36	1.97
peak148	chr1	30948204	30951086	.	2883	334.73	320.96	268.66	328.12	356.21	334.1	280.5	334.29
peak149	chr1	33452108	33453703	.	1596	4.86	4.86	4.1	5.69	3.45	2.13	4.86	1.97
peak150	chr1	33567309	33571226	.	3918	35.66	51.06	60.61	64.16	79.29	60.84	69.21	73.74
peak151	chr1	33577340	33579473	.	2134	83.48	82.67	80.27	89.34	79.29	93.93	78.93	67.84
peak152	chr1	33594042	33596205	.	2164	27.56	31.61	24.57	31.67	20.68	23.48	25.5	22.61
peak155	chr1	33669024	33670984	.	1961	108.61	93.61	78.63	98.27	91.93	93.93	83.79	72.76
peak156	chr1	33718963	33721128	.	2166	8.92	19.45	19.66	15.43	17.24	11.74	19.43	13.76
peak157	chr1	33756460	33759038	.	2579	47.82	26.75	40.95	35.74	40.22	45.9	54.64	42.28
peak159	chr1	33797567	33799299	.	1733	24.31	29.18	27.85	31.67	16.09	13.88	18.21	14.75
peak160	chr1	33805889	33808031	.	2143	27.56	34.04	22.12	25.99	16.09	20.28	31.57	16.71
peak161	chr1	33813045	33815079	.	2035	83.48	91.18	90.1	78.78	81.58	108.87	89.86	93.4
peak162	chr1	33882486	33884185	.	1700	45.39	49.85	58.15	61.73	56.3	37.36	53.43	61.94
peak163	chr1	33993521	33995155	.	1635	25.13	25.53	31.13	16.24	27.58	14.94	23.07	18.68
peak164	chr1	34432809	34435786	.	2978	177.5	161.69	159.72	177.87	193.05	183.59	143.29	167.14
peak165	chr1	34439047	34440577	.	1531	123.19	139.81	137.61	130.76	140.19	120.62	138.43	126.83
peak166	chr1	34458883	34460562	.	1680	36.47	27.96	35.22	30.05	26.43	30.95	27.93	34.41
peak167	chr1	34471837	34473805	.	1969	156.42	158.05	192.48	143.75	148.23	139.83	143.29	140.6
peak168	chr1	34478259	34480039	.	1781	108.61	86.32	108.12	112.08	101.12	115.28	128.72	124.87
peak169	chr1	34480583	34481475	.	893	71.32	64.43	63.89	59.29	68.94	57.64	60.71	62.92
peak170	chr1	34484205	34486231	.	2027	68.08	74.16	85.18	81.22	98.82	74.72	75.29	74.72
peak171	chr1	34509846	34511717	.	1872	28.37	31.61	32.76	38.98	34.47	45.9	42.5	41.29
peak174	chr1	34800758	34803287	.	2530	102.12	92.4	99.11	98.27	103.42	111.01	119	101.27
peak175	chr1	34831113	34833338	.	2226	129.68	137.38	135.15	125.07	157.42	177.19	179.72	186.81
peak176	chr1	34834769	34836037	.	1269	111.04	99.69	116.31	106.39	151.68	154.77	151.79	131.75
peak177	chr1	34841776	34844220	.	2445	233.42	261.39	243.27	208.73	256.24	250.84	201.57	231.05
peak178	chr1	34849258	34853048	.	3791	154.8	173.85	181.02	173.81	183.85	198.54	156.64	184.84
peak180	chr1	35643225	35645132	.	1908	25.13	30.39	26.21	30.86	21.83	17.08	26.71	32.45
peak181	chr1	35651347	35655719	.	4373	399.57	363.51	416.91	408.52	488.36	509.15	439.57	492.58
peak182	chr1	35708012	35710021	.	2010	106.98	108.2	90.1	112.89	135.59	124.89	145.72	141.58
peak183	chr1	35860690	35863069	.	2380	110.23	124.01	148.25	136.45	155.13	159.04	153	176.97
peak184	chr1	35889888	35891104	.	1217	22.69	25.53	30.31	39.8	31.03	28.82	26.71	32.45
peak185	chr1	35934706	35937159	.	2454	55.11	53.49	48.33	27.61	40.22	52.3	51	45.23
peak186	chr1	35971478	35972661	.	1184	29.18	41.34	36.04	27.61	44.81	35.22	31.57	37.36
peak188	chr1	36024059	36026171	.	2113	64.84	69.3	60.61	70.66	91.93	76.85	66.79	65.87
peak189	chr1	36068555	36070353	.	1799	41.33	32.83	31.94	34.92	41.37	45.9	34	34.41
peak192	chr1	36148392	36150018	.	1627	75.38	86.32	69.62	85.28	79.29	97.13	74.07	78.66
peak193	chr1	36159925	36161449	.	1525	75.38	77.81	66.35	69.03	66.65	93.93	87.43	75.71
peak195	chr1	36164930	36166925	.	1996	77.81	44.98	67.16	71.47	74.69	68.31	72.86	76.69
peak196	chr1	36241522	36244903	.	3382	150.75	175.07	177.74	148.63	166.62	153.71	154.22	152.39
peak197	chr1	36261463	36263050	.	1588	133.73	124.01	149.89	135.63	143.63	145.17	145.72	174.03
peak198	chr1	36263616	36267623	.	4008	436.04	395.12	412	374.41	401.03	387.47	340	418.84
peak199	chr1	36272323	36274976	.	2654	321.76	316.09	357.94	347.61	351.62	436.57	370.36	388.36
peak200	chr1	36281526	36282821	.	1296	50.25	60.79	43.41	38.98	47.11	48.03	41.29	49.16
peak201	chr1	36293200	36295285	.	2086	83.48	60.79	73.72	75.53	91.93	80.05	92.29	77.67
peak202	chr1	36296406	36297251	.	846	22.69	19.45	24.57	25.18	26.43	24.55	36.43	19.66
peak203	chr1	36307127	36310796	.	3670	228.56	240.72	202.31	219.29	232.11	235.9	214.93	253.66
peak204	chr1	36367931	36369454	.	1524	31.61	30.39	46.69	46.29	36.77	51.24	31.57	41.29
peak205	chr1	36444116	36445877	.	1762	45.39	49.85	48.33	50.35	49.41	41.63	38.86	34.41
peak206	chr1	36461509	36462763	.	1255	80.24	86.32	79.45	75.53	85.03	105.67	91.07	98.32
peak207	chr1	36470638	36472626	.	1989	86.72	94.83	76.99	85.28	63.2	95	97.14	72.76
peak208	chr1	36474805	36476019	.	1215	15.4	23.1	18.84	18.68	22.98	21.35	18.21	25.56
peak209	chr1	36511162	36512300	.	1139	21.88	29.18	28.67	22.74	18.39	28.82	25.5	16.71
peak210	chr1	36545233	36547781	.	2549	59.98	65.65	74.54	59.29	47.11	61.91	54.64	64.89
peak211	chr1	36556461	36558883	.	2423	38.09	19.45	31.94	27.61	13.79	25.62	19.43	24.58
peak212	chr1	36571296	36572935	.	1640	11.35	12.16	7.37	9.75	6.89	13.88	7.29	7.87
peak215	chr1	36610439	36612100	.	1662	1.62	7.29	2.46	5.69	4.6	6.4	6.07	5.9
peak216	chr1	36690915	36692759	.	1845	45.39	58.36	59.79	51.17	79.29	58.71	47.36	58.99
peak217	chr1	36708854	36710773	.	1920	94.83	92.4	98.29	99.9	103.42	87.53	92.29	105.2
peak218	chr1	36718934	36720910	.	1977	81.86	68.08	76.17	84.47	93.08	81.12	103.22	81.61
peak219	chr1	36722495	36723842	.	1348	28.37	21.88	30.31	25.99	37.92	32.02	31.57	24.58
peak220	chr1	36760892	36765205	.	4314	514.66	455.9	493.91	486.49	491.81	562.52	511.22	536.82
peak221	chr1	36766232	36768247	.	2016	175.88	188.44	192.48	188.42	195.34	192.13	191.86	218.27
peak222	chr1	36768524	36769191	.	668	7.29	4.86	9.83	7.31	12.64	12.81	12.14	8.85
peak223	chr1	36797017	36798690	.	1674	47.82	55.92	59.79	42.23	80.44	73.65	54.64	75.71
peak224	chr1	36806078	36808725	.	2648	29.99	30.39	38.5	27.61	66.65	54.44	58.29	50.14
peak226	chr1	36861434	36862661	.	1228	21.88	18.24	27.85	23.55	22.98	21.35	27.93	19.66
peak228	chr1	36882829	36886343	.	3515	196.95	196.95	223.61	249.34	257.39	259.38	224.64	242.85
peak229	chr1	36904237	36905276	.	1040	20.26	31.61	27.85	28.43	17.24	20.28	24.29	28.51
peak230	chr1	36909920	36912425	.	2506	97.26	72.94	99.11	106.39	105.72	119.55	106.86	103.24
peak231	chr1	36919037	36920938	.	1902	212.35	204.25	199.86	221.72	275.78	228.42	228.29	252.68
peak232	chr1	36921609	36923007	.	1399	65.65	69.3	72.9	64.97	98.82	68.31	72.86	69.81
peak233	chr1	36928131	36929898	.	1768	41.33	31.61	42.59	45.48	48.26	39.49	38.86	39.33
peak234	chr1	36937740	36940655	.	2916	172.63	148.32	163	155.13	172.36	173.99	170	141.58
peak235	chr1	36959995	36961377	.	1383	69.7	65.65	76.17	56.85	57.45	72.58	53.43	58.99
peak236	chr1	36962155	36963299	.	1145	25.94	32.83	19.66	33.3	35.62	45.9	43.71	39.33
peak237	chr1	36995727	36996567	.	841	1.62	8.51	12.29	8.12	5.75	7.47	3.64	5.9
peak238	chr1	36999836	37002887	.	3052	75.38	87.53	70.44	87.71	81.58	90.73	91.07	105.2
peak239	chr1	37028119	37032264	.	4146	280.43	303.94	286.68	289.13	289.57	331.96	287.79	327.4
peak242	chr1	37299303	37301608	.	2306	44.58	36.47	40.13	35.74	34.47	43.76	35.21	28.51
peak243	chr1	37307223	37308490	.	1268	17.83	12.16	10.65	8.93	5.75	11.74	8.5	10.82
peak244	chr1	37316477	37318402	.	1926	29.18	23.1	33.58	25.18	28.73	27.75	30.36	31.46
peak245	chr1	37326233	37328296	.	2064	11.35	8.51	3.28	8.93	14.94	5.34	12.14	3.93
peak247	chr1	37429268	37431241	.	1974	172.63	192.09	173.65	166.5	187.3	179.32	179.72	162.23
peak248	chr1	37468659	37469711	.	1053	39.71	32.83	43.41	46.29	34.47	50.17	41.29	51.13
peak249	chr1	37471191	37472003	.	813	44.58	41.34	43.41	43.86	49.41	71.52	65.57	64.89
peak250	chr1	37472561	37474714	.	2154	207.48	216.4	208.87	220.1	236.71	231.63	246.5	227.12
peak251	chr1	37477176	37479490	.	2315	248.01	228.56	277.67	252.59	248.2	225.22	202.79	255.63
peak252	chr1	37480888	37482013	.	1126	91.58	108.2	107.3	102.33	102.27	91.8	110.5	86.52
peak253	chr1	37490855	37492543	.	1689	112.66	103.34	111.39	134.01	99.97	115.28	115.36	123.88
peak254	chr1	37495363	37497265	.	1903	168.58	181.15	171.19	191.67	202.24	200.67	178.5	175.99
peak255	chr1	37502135	37503592	.	1458	21.88	30.39	37.68	34.92	32.17	34.16	30.36	20.65
peak256	chr1	37521981	37523721	.	1741	36.47	31.61	33.58	38.98	34.47	24.55	47.36	35.39
peak257	chr1	37539921	37541823	.	1903	53.49	53.49	50.78	54.42	55.16	49.1	57.07	55.06
peak258	chr1	37543717	37545202	.	1486	68.89	54.71	62.25	49.54	58.6	69.38	43.71	73.74
peak259	chr1	37585555	37586889	.	1335	31.61	30.39	36.04	34.11	35.62	38.43	43.71	36.38
peak260	chr1	37613688	37615738	.	2051	120.76	144.67	118.77	121.83	148.23	143.03	122.64	147.48
peak261	chr1	37696421	37697676	.	1256	21.07	18.24	28.67	25.18	27.58	19.21	20.64	20.65
peak262	chr1	37847005	37849409	.	2405	9.73	10.94	9.83	7.31	12.64	12.81	15.79	11.8
peak263	chr1	37864101	37866149	.	2049	87.53	80.24	81.09	65.79	60.9	68.31	54.64	48.18
peak264	chr1	37871637	37873682	.	2046	49.44	74.16	78.63	63.35	62.05	66.18	69.21	46.21
peak265	chr1	37888930	37891657	.	2728	253.68	294.21	249	273.7	266.59	223.09	219.79	223.18
peak266	chr1	37981984	37983376	.	1393	19.45	27.96	30.31	21.93	10.34	18.15	24.29	22.61
peak267	chr1	37996192	37999106	.	2915	234.23	200.6	215.42	201.42	233.26	224.15	200.36	231.05
peak268	chr1	38011214	38012043	.	830	22.69	14.59	18.84	28.43	16.09	23.48	14.57	14.75
peak272	chr1	38394607	38396393	.	1787	36.47	43.77	31.13	33.3	41.37	33.09	48.57	39.33
peak273	chr1	38557421	38559052	.	1632	43.77	35.26	47.51	46.29	41.37	39.49	51	48.18
peak274	chr1	38580400	38582062	.	1663	34.04	37.69	27.03	27.61	49.41	41.63	42.5	32.45
peak275	chr1	38601526	38603668	.	2143	73.75	82.67	90.1	87.71	83.88	108.87	128.72	116.02
peak276	chr1	38649407	38651644	.	2238	26.75	27.96	28.67	23.55	37.92	29.89	27.93	24.58
peak277	chr1	38657154	38658364	.	1211	29.18	26.75	33.58	40.61	44.81	28.82	21.86	35.39
peak278	chr1	38662505	38666000	.	3496	393.9	406.06	402.17	415.02	381.49	424.83	410.43	482.75
peak280	chr1	38776845	38778314	.	1470	19.45	35.26	27.03	24.37	14.94	36.29	25.5	31.46
peak281	chr1	38883160	38884428	.	1269	41.33	48.63	40.95	47.11	71.24	56.57	41.29	58.99
peak282	chr1	38885338	38887268	.	1931	114.28	147.11	127.78	130.76	149.38	164.38	154.22	174.03
peak283	chr1	38896366	38898854	.	2489	56.73	52.28	49.96	60.91	45.96	58.71	57.07	57.03
peak284	chr1	38986845	38988744	.	1900	65.65	71.73	81.09	81.22	72.39	73.65	64.36	73.74
peak285	chr1	39024020	39026481	.	2462	24.31	31.61	22.12	28.43	24.13	20.28	26.71	33.43
peak287	chr1	39089526	39091813	.	2288	42.15	37.69	34.4	44.67	25.28	35.22	37.64	29.5
peak288	chr1	39096370	39098345	.	1976	71.32	76.59	70.44	73.91	70.09	73.65	57.07	81.61
peak289	chr1	39101753	39102990	.	1238	47.82	42.55	48.33	43.05	42.52	40.56	57.07	42.28
peak290	chr1	39105068	39105916	.	849	26.75	20.67	16.38	20.3	16.09	19.21	18.21	21.63
peak292	chr1	39280372	39282039	.	1668	74.56	86.32	73.72	95.84	78.14	101.4	86.21	96.35
peak293	chr1	39344218	39345900	.	1683	8.92	18.24	13.11	13.81	18.39	11.74	21.86	20.65
peak294	chr1	39367179	39369727	.	2549	149.13	139.81	162.18	173.81	168.91	186.79	148.14	162.23
peak295	chr1	39534919	39537293	.	2375	100.5	86.32	98.29	94.21	87.33	103.54	119	83.57
peak296	chr1	39545013	39546513	.	1501	20.26	27.96	32.76	27.61	25.28	26.68	23.07	31.46
peak297	chr1	39555164	39556706	.	1543	84.29	91.18	86.82	86.9	109.16	81.12	100.79	104.22
peak300	chr1	39575565	39578503	.	2939	63.22	57.14	68.8	65.79	62.05	68.31	52.21	58.99
peak303	chr1	39733979	39736828	.	2850	93.21	96.04	99.11	101.52	83.88	73.65	109.29	105.2
peak305	chr1	39749000	39750544	.	1545	34.04	25.53	39.32	30.05	32.17	44.83	35.21	26.55
peak306	chr1	39760741	39762492	.	1752	31.61	32.83	31.94	36.55	31.03	19.21	41.29	33.43
peak307	chr1	39840727	39844256	.	3530	286.91	282.05	276.85	304.57	241.31	325.56	265.93	294.96
peak308	chr1	39895204	39897427	.	2224	149.13	126.44	157.26	112.89	122.95	135.56	146.93	139.61
