peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K27me3_Rep1_S5	Naive_P14_Day30_H3K27me3_Rep2_S6	Naive_P14_Day30_H3K27me3_Rep3_S3	Naive_P14_Day30_H3K27me3_Rep4_S4	Naive_P14_Day32_H3K27me3_Rep1_S9	Naive_P14_Day32_H3K27me3_Rep2_S10	Naive_P14_Day32_H3K27me3_Rep3_S11	Naive_P14_Day32_H3K27me3_Rep4_S12
peak44	chr1	6667642	6672398	.	4757	13.31	10.98	11.01	13.46	17.08	7.67	16.89	16.48
peak45	chr1	6702876	6708782	.	5907	15.09	20.28	22.01	13.46	14.38	17.53	23.22	20.6
peak46	chr1	6710077	6742545	.	32469	90.54	119.97	99.96	100.24	93.49	98.59	111.88	103.02
peak47	chr1	6748509	6767660	.	19152	118.06	125.88	140.32	137.64	84.5	99.68	119.27	108.17
peak48	chr1	6769591	6784711	.	15121	55.92	46.47	50.44	50.12	51.24	39.44	54.89	50.48
peak50	chr1	6843693	6870342	.	26650	238.78	218.82	229.27	217.68	204.97	209.23	216.38	207.08
peak51	chr1	6875015	6894491	.	19477	107.41	76.88	86.21	73.31	87.2	82.16	77.05	93.75
peak52	chr1	6948091	6954134	.	6044	30.18	38.02	28.43	35.91	26.07	36.15	29.55	29.88
peak53	chr1	6962093	6981946	.	19854	184.63	202.76	188	154.1	174.4	141.31	137.21	173.08
peak54	chr1	6984543	7062819	.	78277	1004.82	1002.83	1080.34	1076.44	1001.47	1015.45	1072.38	1036.42
peak55	chr1	7067469	7089692	.	22224	248.54	259.37	260.46	273.04	256.21	272.76	252.26	287.44
peak56	chr1	7178605	7190173	.	11569	94.09	87.86	75.2	111.46	106.98	108.45	83.38	94.78
peak57	chr1	7193702	7228198	.	34497	433.17	460.44	464.97	501.94	475.57	494.03	447.53	425.49
peak58	chr1	7251573	7258574	.	7002	50.6	38.02	38.52	41.89	30.57	37.24	54.89	28.85
peak59	chr1	7395118	7455268	.	60151	837.05	827.95	862.07	866.24	885.5	842.38	943.61	943.7
peak60	chr1	7459114	7484319	.	25206	201.5	212.06	198.09	213.94	207.67	221.27	248.04	218.41
peak61	chr1	7489507	7496194	.	6688	39.06	34.64	38.52	43.39	35.96	42.72	40.11	50.48
peak62	chr1	7499874	7540932	.	41059	241.44	223.04	262.29	240.87	238.23	278.24	250.15	253.44
peak63	chr1	7544556	7549296	.	4741	28.4	43.09	42.19	51.62	53.04	61.34	47.5	47.39
peak64	chr1	7552406	7558937	.	6532	25.74	30.41	36.68	36.65	39.56	32.86	34.83	50.48
peak65	chr1	7616817	7620701	.	3885	34.62	37.17	44.02	50.87	35.96	39.44	49.61	48.42
peak66	chr1	7882045	7888029	.	5985	13.31	16.05	14.67	13.46	12.59	10.95	15.83	14.42
peak67	chr1	8190993	8195437	.	4445	37.28	38.86	23.84	29.17	33.26	28.48	29.55	42.24
peak69	chr1	9297072	9301708	.	4637	76.34	89.55	87.12	92.76	77.31	100.78	96.05	93.75
peak70	chr1	9452495	9467345	.	14851	116.28	124.19	99.96	121.93	89	79.97	105.55	69.03
peak71	chr1	9470063	9480148	.	10086	69.24	65.9	53.19	70.32	50.34	58.06	77.05	72.12
peak72	chr1	9489332	9545509	.	56178	895.63	931.87	907.01	934.31	873.82	923.44	850.73	822.13
peak73	chr1	9574518	9636804	.	62287	1477.93	1443.84	1492.12	1448.96	1424	1459.1	1477.69	1456.76
peak74	chr1	9638027	9666455	.	28429	1082.04	1050.15	1048.24	1059.23	1176.78	1118.42	1101.93	1085.87
peak75	chr1	9694223	9720592	.	26370	418.08	392.01	409.94	397.96	411.74	405.31	396.86	397.67
peak76	chr1	9748302	9855978	.	107677	1832.1	1851.91	1857.12	1828.97	2053.29	2068.15	2033.93	1952.3
peak77	chr1	9861232	9865220	.	3989	9.76	10.98	8.25	10.47	12.59	14.24	15.83	11.33
peak78	chr1	9879382	9883286	.	3905	7.1	10.98	11.01	10.47	12.59	8.76	12.67	9.27
peak79	chr1	9901320	9929877	.	28558	424.29	422.42	467.72	427.88	508.83	547.71	511.91	545
peak80	chr1	9947379	9977223	.	29845	2722.41	2662.11	2726.53	2666.78	3698.44	3757.29	3325.85	3555.35
peak81	chr1	9980761	9984276	.	3516	92.32	89.55	98.13	97.25	118.67	105.16	81.27	100.96
peak82	chr1	9988251	10017567	.	29317	621.35	672.5	620.87	645.56	602.32	638.63	623.8	631.54
peak83	chr1	10234464	10252985	.	18522	139.36	147	164.16	130.16	126.76	125.97	126.66	118.48
peak84	chr1	10254285	10285115	.	30831	150.9	151.23	155.91	139.88	141.14	129.26	145.66	151.44
peak85	chr1	10287230	10364163	.	76934	224.57	283.02	249.45	306.7	250.82	269.47	270.21	294.65
peak86	chr1	10369412	10375701	.	6290	12.43	6.76	12.84	15.71	14.38	17.53	11.61	20.6
peak87	chr1	10388049	10400639	.	12591	59.47	52.38	51.36	59.1	46.75	52.58	50.66	63.87
peak88	chr1	10411157	10423724	.	12568	62.14	55.76	55.03	62.84	55.74	65.73	70.72	72.12
peak90	chr1	10787588	10792957	.	5370	21.3	14.36	11.92	22.44	13.48	16.43	17.94	20.6
peak91	chr1	10817189	10821571	.	4383	66.57	63.36	63.28	68.82	75.52	64.63	78.11	77.27
peak92	chr1	10886941	10895979	.	9039	68.35	59.98	59.61	68.82	51.24	55.87	60.16	53.57
peak93	chr1	10974442	10981401	.	6960	44.38	32.95	40.35	45.63	50.34	30.67	50.66	48.42
peak94	chr1	10986709	10998518	.	11810	405.65	381.87	409.94	358.31	430.62	469.93	404.25	417.25
peak95	chr1	11008218	11014396	.	6179	52.37	47.31	53.19	59.84	35.06	52.58	50.66	53.57
peak97	chr1	11190230	11219388	.	29159	201.5	250.07	216.43	238.63	195.98	213.61	241.71	209.14
peak98	chr1	11236263	11254557	.	18295	173.09	151.23	162.33	181.03	154.63	196.08	186.82	172.05
peak99	chr1	11257851	11264206	.	6356	50.6	76.04	51.36	62.09	55.74	65.73	62.27	59.75
peak100	chr1	11411190	11416766	.	5577	101.19	89.55	97.21	96.5	88.1	98.59	85.49	77.27
peak101	chr1	11616003	11625239	.	9237	75.45	90.4	88.96	83.03	95.29	90.92	74.94	113.33
peak104	chr1	12688955	12697315	.	8361	123.38	149.54	147.65	145.12	144.74	133.64	186.82	150.41
peak105	chr1	12716776	12720643	.	3868	51.48	55.76	44.02	59.1	34.16	50.39	60.16	34
peak106	chr1	12812618	12817223	.	4606	47.93	50.69	43.1	47.13	50.34	54.77	36.94	24.73
peak107	chr1	12828204	12929843	.	101640	2128.57	2104.51	2079.98	2103.5	2012.84	1987.09	1979.05	2040.9
peak108	chr1	12931892	12977684	.	45793	611.59	621.81	536.5	596.19	557.37	574	565.74	585.17
peak109	chr1	12980099	13085549	.	105451	3988.19	4009.65	3959.11	3914.52	4611.81	4411.25	4278.96	4419.72
peak110	chr1	13091721	13134878	.	43158	4348.58	4181.15	4150.78	4215.24	5885.68	6055.48	5310.18	5813.63
peak111	chr1	13208017	13213933	.	5917	50.6	62.52	52.27	52.36	49.44	55.87	60.16	53.57
peak112	chr1	13376112	13420200	.	44089	481.1	453.68	440.21	460.05	408.14	394.35	356.76	415.19
peak114	chr1	13427025	13459478	.	32454	442.05	434.25	457.63	430.87	428.82	398.73	386.31	423.43
peak115	chr1	13463353	13514091	.	50739	734.08	707.14	788.7	774.23	714.7	763.51	731.46	769.59
peak116	chr1	13521936	13550204	.	28269	180.19	160.52	174.25	158.59	168.11	164.31	160.43	182.35
peak117	chr1	13595474	13614715	.	19242	72.79	80.26	65.11	72.56	77.31	75.58	74.94	87.57
peak118	chr1	13666068	13695687	.	29620	382.58	337.94	350.33	337.37	294.87	339.58	337.76	347.19
peak119	chr1	13698730	13730976	.	32247	707.45	749.38	748.35	709.15	721.89	701.07	662.85	653.17
peak120	chr1	13737412	13813389	.	75978	889.42	879.49	904.26	933.56	857.64	804.04	839.12	788.13
peak121	chr1	13818066	13850144	.	32079	380.8	342.16	362.25	371.03	311.95	300.14	319.81	305.98
peak122	chr1	13852556	13861699	.	9144	69.24	63.36	61.45	76.3	61.13	59.15	70.72	52.54
peak123	chr1	13867814	13888107	.	20294	108.29	115.74	105.47	122.68	110.58	109.54	120.33	115.39
peak124	chr1	13903691	13907778	.	4088	17.75	15.21	12.84	14.21	8.09	16.43	22.17	11.33
peak125	chr1	13927172	13939726	.	12555	54.15	45.62	58.69	57.6	54.84	42.72	58.05	37.09
peak128	chr1	14300693	14315697	.	15005	1001.26	1001.99	995.05	932.81	1162.39	1174.29	1102.99	1014.78
peak130	chr1	14499340	14513879	.	14540	957.77	1049.3	929.94	946.28	1240.61	1215.92	1187.43	1202.29
peak132	chr1	14568974	14575301	.	6328	37.28	31.26	27.51	37.4	22.47	27.39	35.89	35.03
peak133	chr1	14666843	14687346	.	20504	69.24	67.59	82.54	78.54	73.72	79.97	74.94	69.03
peak134	chr1	14709173	14714320	.	5148	35.51	32.95	46.77	26.18	23.37	26.29	35.89	42.24
peak135	chr1	14720453	14796095	.	75643	1367.86	1483.55	1389.4	1349.47	1614.58	1544.54	1633.9	1584.5
peak136	chr1	14802659	14823322	.	20664	66.57	82.8	91.71	86.77	75.52	84.35	98.16	80.36
peak137	chr1	14826399	14876086	.	49688	412.76	427.49	393.43	374.02	353.3	405.31	457.03	425.49
peak138	chr1	14880424	14922944	.	42521	458.03	455.37	497.07	481.74	471.97	469.93	505.58	488.33
peak139	chr1	14929674	14950590	.	20917	86.99	76.88	81.62	75.55	68.32	97.49	84.44	80.36
peak140	chr1	14999108	15016369	.	17262	229.01	211.21	186.17	206.46	205.87	194.98	218.49	200.9
peak141	chr1	15023869	15030134	.	6266	34.62	33.79	22.01	32.17	39.56	36.15	29.55	20.6
peak143	chr1	15284916	15289047	.	4132	79.89	81.11	78.87	61.34	79.11	83.25	86.55	78.3
peak149	chr1	15712717	15723069	.	10353	94.98	100.54	99.96	86.77	62.03	58.06	94.99	76.24
peak150	chr1	15746981	15757107	.	10127	98.53	102.23	113.72	103.23	114.17	97.49	93.94	104.05
peak151	chr1	15765058	15801660	.	36603	1074.94	1069.58	1088.59	1095.14	1155.2	1168.81	1025.94	1151.81
peak152	chr1	15858929	15915354	.	56426	955.11	964.82	973.04	1022.58	1047.32	962.87	972.11	1023.03
peak153	chr1	15919200	15930921	.	11722	141.14	160.52	149.49	159.33	182.49	153.36	169.93	168.96
peak154	chr1	15938148	15953658	.	15511	168.65	166.43	155.91	164.57	140.24	121.59	148.82	151.44
peak155	chr1	15973738	15994321	.	20584	208.6	210.37	197.18	224.41	201.37	185.13	200.54	165.87
peak156	chr1	15998590	16009953	.	11364	98.53	98	91.71	103.98	75.52	77.77	89.72	82.42
peak157	chr1	16018120	16035544	.	17425	102.97	119.12	122.89	121.93	84.5	125.97	137.21	89.63
peak159	chr1	16045760	16097505	.	51746	1288.86	1270.65	1327.04	1313.57	1491.42	1468.96	1344.7	1330.04
peak160	chr1	16104167	16107633	.	3467	39.06	46.47	28.43	29.17	38.66	32.86	36.94	44.3
peak161	chr1	16137178	16161148	.	23971	723.43	694.46	729.09	733.08	752.45	753.65	734.62	711.89
peak162	chr1	16164513	16176458	.	11946	59.47	82.8	81.62	75.55	76.41	65.73	77.05	79.33
peak163	chr1	16179534	16261031	.	81498	911.61	938.63	916.18	919.35	909.78	879.62	857.06	933.39
peak164	chr1	16264650	16346336	.	81687	1568.47	1621.26	1602.17	1577.63	1671.22	1717.62	1709.9	1699.89
peak165	chr1	16349557	16494565	.	145009	2188.93	2170.41	2151.51	2118.47	2114.42	2052.82	2036.04	2007.93
peak166	chr1	16506748	16540311	.	33564	2647.85	2664.65	2656.83	2577.02	3646.3	3824.11	3193.92	3521.35
peak167	chr1	16548186	16553526	.	5341	55.03	52.38	44.94	42.64	49.44	29.58	53.83	36.06
peak168	chr1	16616895	16637987	.	21093	151.79	170.66	153.16	151.85	162.72	166.5	136.16	158.66
peak169	chr1	16656807	16663920	.	7114	33.73	38.02	38.52	35.16	35.06	39.44	29.55	46.36
peak170	chr1	16697318	16700973	.	3656	18.64	27.04	15.59	20.95	15.28	14.24	19	24.73
peak171	chr1	16711963	16737375	.	25413	334.64	303.3	358.59	345.6	306.56	328.63	296.59	318.34
peak172	chr1	16749949	16842580	.	92632	1007.48	1058.59	1070.25	1045.02	1037.43	1053.79	998.5	1052.9
peak173	chr1	16846047	16862699	.	16653	67.46	61.67	62.36	58.35	62.03	51.48	66.5	63.87
peak174	chr1	16892183	16898115	.	5933	46.16	54.07	49.52	50.12	51.24	69.01	59.11	57.69
peak175	chr1	16900731	16908478	.	7748	28.4	36.33	28.43	27.68	24.27	18.62	32.72	32.97
peak176	chr1	16937032	16941934	.	4903	39.06	32.1	37.6	41.14	37.76	51.48	32.72	29.88
peak177	chr1	17092111	17109528	.	17418	617.8	609.13	607.12	602.92	720.09	666.01	659.68	716.01
peak178	chr1	17121507	17124395	.	2889	38.17	38.86	31.18	33.66	41.35	38.34	41.16	23.7
peak181	chr1	18056514	18060432	.	3919	72.79	75.19	86.21	74.8	77.31	95.3	94.99	75.21
peak182	chr1	19100052	19111511	.	11460	177.53	201.92	165.99	150.36	198.68	213.61	188.93	217.38
peak183	chr1	19200936	19243562	.	42627	1802.81	1758.97	1708.55	1712.28	2235.79	2257.66	2114.15	2342.76
peak186	chr1	20598745	20631307	.	32563	364.82	385.25	412.69	381.5	347.01	345.06	360.98	395.61
peak187	chr1	20649334	20709286	.	59953	680.82	712.21	694.24	694.19	618.5	604.67	651.24	606.81
peak188	chr1	20712423	20795846	.	83424	2455.23	2409.5	2469.74	2503.71	2545.04	2534.8	2390.69	2451.96
peak189	chr1	20820389	20869420	.	49032	669.28	639.55	608.04	660.52	649.97	682.45	625.91	623.29
peak190	chr1	20873041	20904585	.	31545	438.5	500.99	475.97	433.87	445.9	431.6	413.75	437.85
peak191	chr1	20908344	20913720	.	5377	32.84	28.72	28.43	28.43	23.37	31.77	32.72	37.09
peak192	chr1	20916708	20997628	.	80921	308.01	352.3	337.49	365.05	327.23	327.53	364.14	362.64
peak193	chr1	21016661	21021886	.	5226	24.85	23.66	29.35	34.41	30.57	27.39	20.05	24.73
peak194	chr1	21024222	21031663	.	7442	11.54	11.83	9.17	7.48	15.28	19.72	10.55	13.39
peak195	chr1	21074349	21098303	.	23955	222.8	201.92	214.6	223.67	204.97	193.89	236.43	230.77
peak196	chr1	21101726	21121238	.	19513	163.33	195.16	177.92	192.25	178	182.94	212.15	181.32
peak197	chr1	21124114	21185254	.	61141	712.78	785.71	768.53	758.52	765.94	719.69	729.34	730.44
peak198	chr1	21188764	21221274	.	32511	240.55	217.97	233.86	230.4	240.93	224.56	254.37	227.68
peak199	chr1	21231538	21325067	.	93530	616.03	630.26	625.46	615.64	580.75	563.05	585.8	606.81
peak200	chr1	21332092	21343975	.	11884	29.29	17.74	22.01	31.42	17.98	17.53	17.94	27.82
peak201	chr1	21346163	21395936	.	49774	148.24	162.21	159.57	173.55	159.12	165.41	173.1	182.35
peak202	chr1	21415345	21423253	.	7909	15.09	16.9	19.26	13.46	16.18	14.24	21.11	18.54
peak203	chr1	21430621	21446901	.	16281	39.94	32.1	43.1	28.43	31.46	31.77	50.66	40.18
peak204	chr1	21489007	21493056	.	4050	7.99	6.76	11.01	5.98	10.79	9.86	13.72	10.3
peak205	chr1	21514550	21519747	.	5198	15.09	11.83	9.17	18.7	12.59	19.72	15.83	24.73
peak208	chr1	21555950	21564801	.	8852	15.98	17.74	21.09	9.72	13.48	12.05	21.11	19.57
peak209	chr1	21567098	21577942	.	10845	16.87	16.9	18.34	18.7	20.68	18.62	34.83	29.88
peak212	chr1	21722054	21736461	.	14408	25.74	28.72	31.18	33.66	27.87	31.77	30.61	51.51
peak213	chr1	21860238	21865721	.	5484	16.87	7.6	17.42	11.22	15.28	18.62	25.33	11.33
peak214	chr1	21957324	21996938	.	39615	585.85	636.17	593.36	632.1	634.69	598.1	647.02	591.36
peak215	chr1	22003176	22056387	.	53212	492.64	490.01	526.41	498.2	444.1	431.6	489.75	471.85
peak216	chr1	22065051	22074129	.	9079	69.24	48.16	51.36	60.59	51.24	54.77	57	57.69
peak217	chr1	22093547	22101370	.	7824	26.63	29.57	31.18	25.43	27.87	20.81	40.11	36.06
peak218	chr1	22102591	22117336	.	14746	92.32	84.48	105.47	100.99	76.41	81.06	100.27	75.21
peak219	chr1	22126664	22131883	.	5220	29.29	15.21	26.6	21.69	19.78	25.19	33.78	21.63
peak220	chr1	22168625	22172536	.	3912	19.53	13.52	10.09	13.46	12.59	8.76	23.22	22.67
peak222	chr1	22240349	22258817	.	18469	175.75	172.35	157.74	170.55	159.12	141.31	169.93	127.75
peak223	chr1	22262056	22283152	.	21097	252.98	311.75	310.9	274.53	267	273.85	303.98	282.28
peak224	chr1	22289116	22295955	.	6840	60.36	68.43	65.11	60.59	58.43	59.15	48.55	48.42
peak225	chr1	22529382	22537604	.	8223	224.57	222.19	221.02	234.14	271.49	291.38	238.54	230.77
peak226	chr1	22800602	22810331	.	9730	200.61	203.61	190.76	192.25	209.46	211.42	203.71	229.74
peak228	chr1	23198986	23210309	.	11324	102.97	124.19	138.48	115.2	143.84	133.64	135.1	143.2
peak229	chr1	23223284	23243239	.	19956	417.19	419.04	434.7	430.87	535.8	520.32	491.86	533.66
peak230	chr1	23247093	23297320	.	50228	1731.8	1763.2	1757.16	1727.99	2230.39	2243.42	2043.43	2187.19
peak231	chr1	23312109	23368068	.	55960	667.51	715.59	705.25	721.12	761.44	724.07	720.9	730.44
peak232	chr1	23376893	23396275	.	19383	400.33	408.91	408.11	408.43	436.91	480.89	404.25	459.49
peak233	chr1	23401500	23424211	.	22712	239.66	281.33	256.79	238.63	238.23	209.23	231.15	252.41
peak234	chr1	23428936	23442302	.	13367	132.26	154.61	136.65	130.91	118.67	112.83	141.44	125.69
peak235	chr1	23471001	23479357	.	8357	82.55	87.02	80.7	71.81	71.02	69.01	68.61	60.78
peak236	chr1	23494391	23504231	.	9841	91.43	103.92	94.46	102.48	107.88	106.26	104.49	82.42
peak237	chr1	23752584	23773766	.	21183	729.64	684.33	767.61	740.57	910.68	875.24	854.95	827.28
peak238	chr1	23788503	23837412	.	48910	771.36	801.76	796.04	815.37	836.06	806.23	824.34	740.74
peak239	chr1	23927732	23992052	.	64321	1830.33	1772.49	1838.78	1800.55	1937.32	1864.4	1777.45	1768.92
peak240	chr1	24004445	24067912	.	63468	1539.18	1478.48	1479.28	1511.8	1470.75	1460.19	1458.69	1468.09
peak241	chr1	24084071	24107323	.	23253	2042.47	2058.89	2091.9	2022.72	2696.97	2837.14	2515.24	2581.77
peak242	chr1	24124302	24147041	.	22740	325.77	306.68	317.32	312.68	308.35	311.1	299.76	310.1
peak243	chr1	24148405	24151083	.	2679	19.53	20.28	17.42	14.21	13.48	9.86	11.61	19.57
peak244	chr1	24156625	24172536	.	15912	100.3	120.81	88.96	100.24	77.31	92.02	93.94	110.24
peak246	chr1	24578859	24591520	.	12662	322.22	329.49	332.91	307.45	347.01	357.11	371.53	354.4
peak247	chr1	24627983	24639087	.	11105	116.28	93.78	88.04	108.47	86.3	105.16	101.33	84.48
peak248	chr1	24654715	24678721	.	24007	800.66	783.17	820.8	768.24	917.87	916.87	826.45	867.46
peak253	chr1	25827719	25832323	.	4605	55.03	43.93	52.27	49.37	61.13	55.87	54.89	56.66
peak255	chr1	29643273	29649656	.	6384	56.81	58.29	55.03	55.36	47.65	43.82	50.66	69.03
peak256	chr1	30767170	30798073	.	30904	556.55	540.7	551.18	538.59	547.48	532.37	556.24	549.12
peak257	chr1	30871815	30945432	.	73618	1458.4	1433.71	1409.58	1485.62	1607.39	1458	1470.3	1440.27
peak258	chr1	30951327	31016842	.	65516	1319.04	1312.05	1349.05	1367.43	1412.31	1404.33	1306.7	1350.64
peak259	chr1	31130254	31135689	.	5436	54.15	57.45	66.95	66.58	35.06	51.48	53.83	54.6
peak260	chr1	31139679	31144692	.	5014	57.7	43.09	43.1	41.14	52.14	39.44	48.55	34
peak261	chr1	31150266	31160024	.	9759	128.71	146.16	139.4	134.65	126.76	131.45	146.71	147.32
peak263	chr1	32170969	32175669	.	4701	56.81	59.98	55.03	68.07	58.43	62.44	62.27	73.15
peak267	chr1	33374538	33394398	.	19861	131.37	120.81	108.22	107.72	94.39	119.4	116.1	109.21
peak269	chr1	33413200	33445028	.	31829	161.55	157.99	149.49	145.12	129.45	133.64	142.49	139.08
peak270	chr1	33561725	33571006	.	9282	79	65.05	56.86	71.81	79.11	81.06	84.44	77.27
peak271	chr1	33670173	33721311	.	51139	2465.88	2455.97	2459.65	2517.17	2655.61	2710.07	2611.29	2614.74
peak272	chr1	33753661	33759757	.	6097	81.66	81.95	88.96	89.02	96.19	93.11	71.77	105.08
peak274	chr1	33817299	33837410	.	20112	414.53	414.82	381.51	383.75	383.87	404.21	376.81	355.43
peak275	chr1	33840622	33926006	.	85385	4523.44	4497.12	4599.24	4580.28	5535.98	5641.41	5170.85	5323.24
peak276	chr1	33931178	33987644	.	56467	1464.62	1564.66	1593.92	1598.57	1688.3	1674.9	1493.52	1570.08
peak277	chr1	33993775	34018239	.	24465	838.83	798.38	878.58	777.97	863.93	871.95	763.12	824.19
peak278	chr1	34022926	34032969	.	10044	118.94	101.38	103.63	130.91	95.29	107.35	106.6	93.75
peak279	chr1	34039010	34084704	.	45695	495.31	469.74	468.64	451.07	417.13	414.07	470.75	411.06
peak280	chr1	34096347	34108836	.	12490	158	163.06	164.16	158.59	126.76	134.74	142.49	137.02
peak281	chr1	34125899	34142081	.	16183	140.25	115.74	127.48	134.65	107.88	113.92	113.99	110.24
peak283	chr1	34214799	34223741	.	8943	47.05	37.17	58.69	57.6	56.64	51.48	47.5	68
peak285	chr1	34231176	34243887	.	12712	442.05	384.41	402.61	399.46	421.63	395.45	390.53	364.7
peak286	chr1	34312043	34346124	.	34082	458.91	447.77	434.7	455.56	402.75	371.35	388.42	413.13
peak287	chr1	34351771	34431804	.	80034	1964.36	1900.91	1960.75	1965.12	1908.55	1846.88	1789.06	1912.12
peak288	chr1	34449738	34469986	.	20249	434.06	390.32	429.2	398.71	464.78	467.74	439.08	424.46
peak289	chr1	34490672	34508304	.	17633	258.3	271.2	277.88	247.6	249.02	240.99	256.48	228.71
peak290	chr1	34514035	34588502	.	74468	2791.65	2765.19	2851.26	2773.75	3177.03	3153.71	3045.09	2965.02
peak291	chr1	34590555	34663102	.	72548	1593.32	1532.55	1520.55	1564.91	1465.35	1470.05	1477.69	1477.36
peak292	chr1	34668928	34694484	.	25557	773.14	866.81	784.12	822.85	901.69	945.35	900.33	946.79
peak293	chr1	34695739	34723275	.	27537	780.24	734.17	758.44	746.55	673.34	714.21	659.68	701.59
peak294	chr1	34726609	34798556	.	71948	3923.39	3861.8	3918.76	3919.01	4557.88	4581.04	4240.97	4338.33
peak295	chr1	34881046	34911029	.	29984	1251.58	1232.63	1297.69	1306.09	1267.57	1394.47	1211.7	1236.28
peak296	chr1	34944940	34949821	.	4882	33.73	37.17	33.02	34.41	29.67	23	46.44	40.18
