peakN	Chr	Start	End	Strand	Length	Arm_P14_Day30_H3K27ac_Rep1_S5	Arm_P14_Day30_H3K27ac_Rep2_S6	Arm_P14_Day30_H3K27ac_Rep3_S7	Arm_P14_Day30_H3K27ac_Rep4_S8
peak140	chr1	25016103	25017818	.	1716	24.59	15.92	25.56	18.38
peak141	chr1	30808938	30811300	.	2363	23.77	36.82	22.15	33.57
peak142	chr1	30832633	30834230	.	1598	26.23	28.86	25.56	31.17
peak143	chr1	30839095	30840897	.	1803	30.32	36.82	29.82	43.16
peak144	chr1	30851717	30853636	.	1920	32.78	24.88	29.82	30.37
peak145	chr1	30859859	30862443	.	2585	31.14	33.83	31.52	30.37
peak146	chr1	30871771	30875223	.	3453	229.47	224.89	240.23	299.73
peak147	chr1	30897829	30899557	.	1729	5.74	1.99	5.96	4
peak148	chr1	30948204	30951086	.	2883	325.36	318.42	282.82	362.88
peak149	chr1	33452108	33453703	.	1596	14.75	16.92	31.52	11.99
peak150	chr1	33567309	33571226	.	3918	51.63	41.79	63.89	51.15
peak151	chr1	33577340	33579473	.	2134	57.37	52.74	43.45	47.16
peak152	chr1	33594042	33596205	.	2164	14.75	19.9	11.07	6.39
peak155	chr1	33669024	33670984	.	1961	90.15	96.52	103.93	95.91
peak156	chr1	33718963	33721128	.	2166	22.13	23.88	31.52	26.38
peak157	chr1	33756460	33759038	.	2579	29.5	36.82	47.71	47.96
peak159	chr1	33797567	33799299	.	1733	28.68	17.91	30.67	18.38
peak160	chr1	33805889	33808031	.	2143	24.59	33.83	33.22	31.17
peak161	chr1	33813045	33815079	.	2035	59.01	83.59	64.74	72.74
peak162	chr1	33882486	33884185	.	1700	68.84	51.74	67.3	62.34
peak163	chr1	33993521	33995155	.	1635	7.38	2.99	6.82	4.8
peak164	chr1	34432809	34435786	.	2978	194.23	197.02	218.08	204.62
peak165	chr1	34439047	34440577	.	1531	138.5	152.25	118.41	125.49
peak166	chr1	34458883	34460562	.	1680	23.77	22.89	18.74	20.78
peak167	chr1	34471837	34473805	.	1969	132.77	130.35	131.19	123.89
peak168	chr1	34478259	34480039	.	1781	168.01	180.11	163.56	192.63
peak169	chr1	34480583	34481475	.	893	52.45	68.66	51.11	47.96
peak170	chr1	34484205	34486231	.	2027	100.8	111.45	106.48	91.12
peak171	chr1	34509846	34511717	.	1872	66.38	67.66	67.3	89.52
peak174	chr1	34800758	34803287	.	2530	117.2	96.52	99.67	134.28
peak175	chr1	34831113	34833338	.	2226	94.25	105.48	112.45	115.9
peak176	chr1	34834769	34836037	.	1269	36.06	33.83	28.96	30.37
peak177	chr1	34841776	34844220	.	2445	145.06	118.41	149.93	171.05
peak178	chr1	34849258	34853048	.	3791	519.6	492.56	473.64	467.58
peak180	chr1	35643225	35645132	.	1908	2.46	2.99	4.26	3.2
peak181	chr1	35651347	35655719	.	4373	72.94	84.58	69	67.94
peak182	chr1	35708012	35710021	.	2010	10.65	8.96	6.82	9.59
peak183	chr1	35860690	35863069	.	2380	158.99	126.37	145.67	127.09
peak184	chr1	35889888	35891104	.	1217	11.47	7.96	8.52	10.39
peak185	chr1	35934706	35937159	.	2454	13.11	11.94	11.07	8.79
peak186	chr1	35971478	35972661	.	1184	4.1	1	3.41	1.6
peak188	chr1	36024059	36026171	.	2113	22.95	19.9	17.04	11.19
peak189	chr1	36068555	36070353	.	1799	18.03	22.89	17.89	14.39
peak192	chr1	36148392	36150018	.	1627	35.24	35.82	34.08	35.97
peak193	chr1	36159925	36161449	.	1525	58.19	53.73	48.56	47.96
peak195	chr1	36164930	36166925	.	1996	18.03	13.93	23	18.38
peak196	chr1	36241522	36244903	.	3382	120.47	119.41	129.49	120.69
peak197	chr1	36261463	36263050	.	1588	249.14	268.67	271.75	256.57
peak198	chr1	36263616	36267623	.	4008	451.57	439.82	427.64	415.63
peak199	chr1	36272323	36274976	.	2654	256.52	264.69	245.34	250.98
peak200	chr1	36281526	36282821	.	1296	24.59	26.87	15.33	33.57
peak201	chr1	36293200	36295285	.	2086	118.84	121.4	99.67	113.5
peak202	chr1	36296406	36297251	.	846	23.77	37.81	34.93	29.57
peak203	chr1	36307127	36310796	.	3670	183.58	193.04	224.9	214.21
peak204	chr1	36367931	36369454	.	1524	27.86	32.84	44.3	45.56
peak205	chr1	36444116	36445877	.	1762	27.86	33.83	27.26	29.57
peak206	chr1	36461509	36462763	.	1255	3.28	7.96	6.82	6.39
peak207	chr1	36470638	36472626	.	1989	59.83	84.58	76.67	79.13
peak208	chr1	36474805	36476019	.	1215	28.68	26.87	28.96	21.58
peak209	chr1	36511162	36512300	.	1139	25.41	17.91	21.3	27.98
peak210	chr1	36545233	36547781	.	2549	40.98	33.83	57.08	50.36
peak211	chr1	36556461	36558883	.	2423	20.49	17.91	24.7	24.78
peak212	chr1	36571296	36572935	.	1640	9.02	6.97	10.22	4.8
peak215	chr1	36610439	36612100	.	1662	4.1	5.97	9.37	3.2
peak216	chr1	36690915	36692759	.	1845	59.83	58.71	59.63	38.37
peak217	chr1	36708854	36710773	.	1920	76.22	81.6	73.26	83.93
peak218	chr1	36718934	36720910	.	1977	89.33	87.57	111.6	86.32
peak219	chr1	36722495	36723842	.	1348	15.57	25.87	15.33	19.98
peak220	chr1	36760892	36765205	.	4314	567.95	516.44	498.35	515.54
peak221	chr1	36766232	36768247	.	2016	225.38	232.85	205.3	210.21
peak222	chr1	36768524	36769191	.	668	18.85	19.9	22.15	30.37
peak223	chr1	36797017	36798690	.	1674	22.13	17.91	17.89	14.39
peak224	chr1	36806078	36808725	.	2648	47.53	57.71	56.22	51.95
peak226	chr1	36861434	36862661	.	1228	10.65	14.93	8.52	14.39
peak228	chr1	36882829	36886343	.	3515	223.74	211.95	180.6	183.84
peak229	chr1	36904237	36905276	.	1040	13.11	8.96	11.07	12.79
peak230	chr1	36909920	36912425	.	2506	50.81	59.7	51.96	60.75
peak231	chr1	36919037	36920938	.	1902	95.07	76.62	86.89	62.34
peak232	chr1	36921609	36923007	.	1399	9.02	12.94	18.74	11.99
peak233	chr1	36928131	36929898	.	1768	36.06	33.83	29.82	23.18
peak234	chr1	36937740	36940655	.	2916	86.05	124.38	107.34	105.51
peak235	chr1	36959995	36961377	.	1383	20.49	12.94	17.89	16.79
peak236	chr1	36962155	36963299	.	1145	15.57	9.95	11.93	7.99
peak237	chr1	36995727	36996567	.	841	8.2	8.96	7.67	10.39
peak238	chr1	36999836	37002887	.	3052	96.71	77.62	109.89	103.11
peak239	chr1	37028119	37032264	.	4146	120.47	122.39	115.86	100.71
peak242	chr1	37299303	37301608	.	2306	36.88	53.73	44.3	40.76
peak243	chr1	37307223	37308490	.	1268	24.59	21.89	19.59	25.58
peak244	chr1	37316477	37318402	.	1926	32.78	33.83	28.11	26.38
peak245	chr1	37326233	37328296	.	2064	59.01	54.73	49.41	45.56
peak247	chr1	37429268	37431241	.	1974	156.53	157.22	164.41	153.46
peak248	chr1	37468659	37469711	.	1053	66.38	71.65	87.74	64.74
peak249	chr1	37471191	37472003	.	813	38.52	26.87	34.93	27.18
peak250	chr1	37472561	37474714	.	2154	190.96	202	220.64	192.63
peak251	chr1	37477176	37479490	.	2315	258.98	242.8	230.86	246.18
peak252	chr1	37480888	37482013	.	1126	65.56	59.7	70.71	58.35
peak253	chr1	37490855	37492543	.	1689	53.27	71.65	73.26	58.35
peak254	chr1	37495363	37497265	.	1903	172.93	168.17	152.49	168.65
peak255	chr1	37502135	37503592	.	1458	8.2	7.96	7.67	11.99
peak256	chr1	37521981	37523721	.	1741	9.02	9.95	10.22	9.59
peak257	chr1	37539921	37541823	.	1903	27.86	27.86	41.74	43.16
peak258	chr1	37543717	37545202	.	1486	49.99	36.82	42.59	44.76
peak259	chr1	37585555	37586889	.	1335	17.21	14.93	17.89	10.39
peak260	chr1	37613688	37615738	.	2051	113.1	112.44	115.86	113.5
peak261	chr1	37696421	37697676	.	1256	1.64	2.99	5.11	4
peak262	chr1	37847005	37849409	.	2405	9.83	16.92	14.48	14.39
peak263	chr1	37864101	37866149	.	2049	65.56	86.57	72.41	62.34
peak264	chr1	37871637	37873682	.	2046	50.81	50.75	51.11	44.76
peak265	chr1	37888930	37891657	.	2728	174.56	156.23	192.52	156.66
peak266	chr1	37981984	37983376	.	1393	7.38	6.97	14.48	11.19
peak267	chr1	37996192	37999106	.	2915	213.08	184.09	218.08	215.01
peak268	chr1	38011214	38012043	.	830	20.49	14.93	10.22	13.59
peak272	chr1	38394607	38396393	.	1787	4.92	7.96	7.67	7.99
peak273	chr1	38557421	38559052	.	1632	5.74	13.93	9.37	10.39
peak274	chr1	38580400	38582062	.	1663	13.93	12.94	11.07	18.38
peak275	chr1	38601526	38603668	.	2143	2.46	3.98	4.26	4
peak276	chr1	38649407	38651644	.	2238	7.38	4.98	2.56	5.6
peak277	chr1	38657154	38658364	.	1211	17.21	13.93	11.93	11.19
peak278	chr1	38662505	38666000	.	3496	94.25	115.43	88.6	79.13
peak280	chr1	38776845	38778314	.	1470	7.38	8.96	13.63	7.99
peak281	chr1	38883160	38884428	.	1269	70.48	44.78	62.19	63.94
peak282	chr1	38885338	38887268	.	1931	99.99	86.57	101.37	96.71
peak283	chr1	38896366	38898854	.	2489	40.16	36.82	49.41	44.76
peak284	chr1	38986845	38988744	.	1900	65.56	88.56	77.52	67.14
peak285	chr1	39024020	39026481	.	2462	86.05	95.53	109.04	81.53
peak287	chr1	39089526	39091813	.	2288	24.59	27.86	34.93	28.77
peak288	chr1	39096370	39098345	.	1976	36.06	35.82	40.04	40.76
peak289	chr1	39101753	39102990	.	1238	8.2	9.95	6.82	5.6
peak290	chr1	39105068	39105916	.	849	3.28	2.99	5.11	4
peak292	chr1	39280372	39282039	.	1668	4.92	4.98	10.22	6.39
peak293	chr1	39344218	39345900	.	1683	8.2	2.99	12.78	7.99
peak294	chr1	39367179	39369727	.	2549	104.9	115.43	113.3	106.31
peak295	chr1	39534919	39537293	.	2375	76.22	88.56	88.6	95.12
peak296	chr1	39545013	39546513	.	1501	27.86	21.89	28.96	30.37
peak297	chr1	39555164	39556706	.	1543	11.47	9.95	11.07	7.19
peak300	chr1	39575565	39578503	.	2939	53.27	51.74	67.3	73.53
peak303	chr1	39733979	39736828	.	2850	59.01	60.7	78.37	57.55
peak305	chr1	39749000	39750544	.	1545	29.5	37.81	20.45	24.78
peak306	chr1	39760741	39762492	.	1752	11.47	18.91	8.52	13.59
peak307	chr1	39840727	39844256	.	3530	116.38	118.41	115.86	112.7
peak308	chr1	39895204	39897427	.	2224	76.22	73.64	51.11	52.75
peak309	chr1	39901182	39903521	.	2340	267.17	264.69	245.34	250.98
peak310	chr1	39904584	39905099	.	516	22.95	23.88	30.67	31.97
peak311	chr1	39916941	39919401	.	2461	386.83	358.23	320.31	371.67
peak312	chr1	39922360	39924206	.	1847	247.5	243.79	211.27	219.8
peak313	chr1	39934719	39937140	.	2422	103.26	115.43	107.34	127.09
peak314	chr1	39941560	39942306	.	747	18.85	16.92	13.63	15.19
peak315	chr1	39944073	39945411	.	1339	31.14	26.87	30.67	31.97
peak316	chr1	39948193	39949858	.	1666	54.91	59.7	59.63	70.34
peak317	chr1	39953889	39955001	.	1113	33.6	34.83	34.08	35.17
peak318	chr1	39960106	39961833	.	1728	22.13	20.9	28.96	16.79
peak319	chr1	39975665	39977024	.	1360	14.75	23.88	22.15	19.18
peak320	chr1	39978323	39979380	.	1058	9.02	10.95	5.96	11.99
peak321	chr1	39979840	39981627	.	1788	22.95	30.85	28.11	30.37
peak322	chr1	39985269	39988137	.	2869	271.27	302.5	289.64	271.76
peak323	chr1	40021886	40023303	.	1418	23.77	19.9	21.3	19.18
peak324	chr1	40045474	40047357	.	1884	40.98	41.79	39.19	45.56
peak325	chr1	40051681	40053804	.	2124	40.16	46.77	40.04	35.17
peak326	chr1	40059058	40060313	.	1256	12.29	11.94	14.48	15.19
peak327	chr1	40085006	40087550	.	2545	46.71	47.76	56.22	50.36
peak328	chr1	40270704	40271983	.	1280	22.13	18.91	14.48	22.38
peak331	chr1	40324141	40325733	.	1593	156.53	173.14	137.15	127.09
peak333	chr1	40380072	40383808	.	3737	320.44	292.55	319.45	282.95
peak334	chr1	40385900	40386778	.	879	43.44	50.75	49.41	48.76
peak335	chr1	40391472	40394238	.	2767	108.18	115.43	104.78	112.7
peak336	chr1	40397213	40398068	.	856	45.89	47.76	42.59	35.97
peak337	chr1	40399085	40400386	.	1302	81.14	86.57	58.78	67.14
peak338	chr1	40465205	40470859	.	5655	1221.95	1127.42	1270.15	1158.97
peak339	chr1	40472785	40474838	.	2054	344.21	363.2	350.97	312.52
peak340	chr1	40475217	40477381	.	2165	421.25	388.08	410.6	386.06
peak341	chr1	40479083	40480664	.	1582	309.79	280.61	301.56	315.72
peak342	chr1	40497192	40498033	.	842	39.34	35.82	41.74	34.37
peak343	chr1	40500488	40502967	.	2480	318.81	288.57	305.82	263.76
peak344	chr1	40513658	40519017	.	5360	976.91	939.35	1046.1	967.14
peak345	chr1	40521976	40524802	.	2827	253.24	257.72	249.6	219
peak346	chr1	40532882	40534573	.	1692	65.56	65.67	67.3	67.94
peak347	chr1	40539328	40540783	.	1456	81.14	84.58	83.48	70.34
peak348	chr1	40541793	40544489	.	2697	180.3	178.12	197.64	193.43
peak350	chr1	40687451	40689286	.	1836	11.47	9.95	13.63	5.6
peak351	chr1	40789850	40791382	.	1533	22.13	25.87	31.52	21.58
peak352	chr1	42850531	42851953	.	1423	36.88	47.76	49.41	51.15
peak353	chr1	43069627	43071757	.	2131	90.15	78.61	89.45	94.32
peak354	chr1	43091534	43093385	.	1852	42.62	48.76	38.33	59.15
peak355	chr1	43097606	43099543	.	1938	281.11	290.56	235.97	286.94
peak356	chr1	43127093	43131322	.	4230	210.62	199.01	225.75	189.43
peak357	chr1	43138189	43139936	.	1748	86.05	82.59	58.78	71.14
peak358	chr1	43143459	43146104	.	2646	60.65	49.75	63.89	67.14
peak359	chr1	43162736	43164373	.	1638	60.65	44.78	54.52	51.95
peak361	chr1	43182141	43183876	.	1736	15.57	17.91	21.3	11.99
peak362	chr1	43223642	43226107	.	2466	115.56	118.41	97.11	118.29
peak363	chr1	43239763	43241926	.	2164	51.63	51.74	46	53.55
peak364	chr1	43360157	43362903	.	2747	79.5	90.55	97.97	85.52
peak366	chr1	43444492	43447987	.	3496	77.04	90.55	92.85	73.53
peak367	chr1	43456331	43458018	.	1688	118.84	98.51	100.52	97.51
peak368	chr1	43462592	43466293	.	3702	508.12	565.2	486.42	462.79
peak369	chr1	43467385	43468462	.	1078	153.26	122.39	121.82	119.89
peak370	chr1	43473503	43475340	.	1838	81.14	70.65	93.71	57.55
peak371	chr1	43485543	43487163	.	1621	27.86	33.83	30.67	32.77
peak372	chr1	43499521	43501953	.	2433	90.97	94.53	77.52	88.72
peak373	chr1	43516190	43517023	.	834	44.26	42.79	39.19	35.17
peak374	chr1	43518087	43521598	.	3512	511.4	536.34	509.42	488.36
peak375	chr1	43533866	43535509	.	1644	399.12	436.84	416.57	382.86
peak376	chr1	43536094	43540816	.	4723	832.66	808	750.5	768.91
peak377	chr1	43541311	43544063	.	2753	579.42	566.2	537.53	543.52
peak378	chr1	43557971	43559339	.	1369	124.57	99.51	98.82	109.5
peak379	chr1	43560508	43564550	.	4043	436	428.88	465.12	430.82
peak382	chr1	43766385	43767202	.	818	7.38	4.98	11.93	3.2
peak383	chr1	43767557	43770297	.	2741	199.15	183.09	201.04	175.84
peak384	chr1	43788493	43790217	.	1725	13.93	21.89	23.85	23.98
peak385	chr1	43826632	43829015	.	2384	109.82	105.48	88.6	106.31
peak386	chr1	43843006	43844486	.	1481	31.14	40.8	35.78	39.17
peak388	chr1	43879520	43881417	.	1898	63.11	62.69	51.11	57.55
peak389	chr1	43888016	43889218	.	1203	27.05	37.81	31.52	26.38
peak390	chr1	43896127	43897944	.	1818	30.32	34.83	28.96	29.57
peak392	chr1	43932613	43935865	.	3253	445.02	446.79	444.68	434.81
peak393	chr1	43936003	43936657	.	655	42.62	31.84	42.59	36.77
peak394	chr1	43938872	43940277	.	1406	109.82	104.48	85.19	99.91
peak395	chr1	43989241	43990705	.	1465	21.31	17.91	30.67	18.38
peak396	chr1	43995633	43998773	.	3141	72.12	53.73	58.78	55.15
peak397	chr1	44031948	44033801	.	1854	49.17	31.84	36.63	41.56
peak398	chr1	44041553	44042923	.	1371	38.52	40.8	28.96	34.37
peak400	chr1	44101009	44102963	.	1955	60.65	69.65	65.59	92.72
peak401	chr1	44117984	44120260	.	2277	142.6	140.31	162.71	139.88
peak402	chr1	44120910	44123264	.	2355	135.23	142.3	126.93	129.48
peak403	chr1	44147028	44149276	.	2249	180.3	146.28	171.23	175.04
peak404	chr1	45794291	45796385	.	2095	221.28	234.84	241.08	244.58
peak405	chr1	45815413	45817419	.	2007	29.5	29.85	27.26	22.38
peak408	chr1	46849940	46850383	.	444	35.24	33.83	42.59	39.17
peak409	chr1	46851336	46855238	.	3903	589.26	596.05	539.24	645.02
peak410	chr1	46863392	46865337	.	1946	164.73	155.23	161	162.26
peak411	chr1	46873264	46875072	.	1809	8.2	19.9	13.63	11.99
peak412	chr1	46886289	46887765	.	1477	18.85	18.91	16.19	10.39
peak413	chr1	46891713	46892904	.	1192	37.7	41.79	42.59	36.77
peak414	chr1	46893524	46895835	.	2312	149.16	129.36	127.78	138.28
peak415	chr1	46908233	46909414	.	1182	14.75	20.9	16.19	18.38
peak416	chr1	46921397	46923518	.	2122	26.23	27.86	23.85	23.98
peak418	chr1	51104089	51106898	.	2810	6.56	2.99	4.26	5.6
peak419	chr1	51120619	51121929	.	1311	1.64	1.99	5.11	2.4
peak421	chr1	51466453	51469502	.	3050	190.14	182.1	207.86	219
peak422	chr1	51473097	51473812	.	716	40.98	41.79	50.26	49.56
peak423	chr1	51476149	51479398	.	3250	208.17	223.89	251.3	241.38
peak424	chr1	51500313	51502875	.	2563	369.62	350.26	320.31	328.51
peak425	chr1	51508620	51509746	.	1127	45.89	51.74	63.89	51.95
peak426	chr1	51513909	51515326	.	1418	94.25	121.4	112.45	123.09
peak427	chr1	51518705	51520842	.	2138	79.5	74.63	82.63	64.74
peak428	chr1	51529356	51530418	.	1063	56.55	44.78	36.63	44.76
peak429	chr1	51530652	51532955	.	2304	38.52	47.76	35.78	32.77
peak430	chr1	51535246	51537049	.	1804	35.24	36.82	28.96	31.97
peak431	chr1	51569391	51571327	.	1937	152.44	163.19	149.08	143.87
peak432	chr1	51571904	51573328	.	1425	145.88	148.27	124.37	147.87
peak433	chr1	51577037	51579228	.	2192	300.78	310.46	264.08	272.56
peak434	chr1	51584316	51587127	.	2812	555.66	538.33	544.35	524.33
peak435	chr1	51593194	51594999	.	1806	137.68	143.29	130.34	126.29
peak436	chr1	51597022	51597860	.	839	27.05	16.92	15.33	19.98
peak439	chr1	51819864	51821419	.	1556	13.11	14.93	10.22	11.19
peak440	chr1	51933806	51936031	.	2226	191.78	195.03	199.34	179.04
peak441	chr1	52007630	52011939	.	4310	504.84	500.52	493.24	531.53
peak442	chr1	52012218	52013415	.	1198	121.29	95.53	125.23	100.71
